"","date","TUSK"
"224","2017-09-05",13.59
"225","2017-09-06",14.16
"226","2017-09-07",14.02
"227","2017-09-08",13.57
"228","2017-09-11",13.9
"229","2017-09-12",14.42
"230","2017-09-13",14.65
"231","2017-09-14",15.05
"232","2017-09-15",14.93
"233","2017-09-18",15.18
"234","2017-09-19",15.14
"235","2017-09-20",15.43
"236","2017-09-21",15.55
"237","2017-09-22",15.91
"238","2017-09-25",16.15
"239","2017-09-26",16.790001
"240","2017-09-27",16.76
"241","2017-09-28",16.940001
"242","2017-09-29",16.860001
"243","2017-10-02",16.6
"244","2017-10-03",16.360001
"245","2017-10-04",15.58
"246","2017-10-05",15.91
"247","2017-10-06",15.66
"248","2017-10-09",15.86
"249","2017-10-10",16.469999
"250","2017-10-11",16.35
"251","2017-10-12",15.69
"252","2017-10-13",15.8
"253","2017-10-16",15.52
"254","2017-10-17",15.16
"255","2017-10-18",14.94
"256","2017-10-19",14.49
"257","2017-10-20",17.26
"258","2017-10-23",17.780001
"259","2017-10-24",17.51
"260","2017-10-25",17.48
"261","2017-10-26",18.16
"262","2017-10-27",18.48
"263","2017-10-30",18.440001
"264","2017-10-31",19.73
"265","2017-11-01",19.84
"266","2017-11-02",18.01
"267","2017-11-03",19.17
"268","2017-11-06",20.08
"269","2017-11-07",20.01
"270","2017-11-08",19.889999
"271","2017-11-09",20.18
"272","2017-11-10",20.889999
"273","2017-11-13",20.07
"274","2017-11-14",18.559999
"275","2017-11-15",17.719999
"276","2017-11-16",18.6
"277","2017-11-17",19.030001
"278","2017-11-20",18.93
"279","2017-11-21",18.76
"280","2017-11-22",18.9
"281","2017-11-24",18.85
"282","2017-11-27",18.709999
"283","2017-11-28",20.030001
"284","2017-11-29",18.99
"285","2017-11-30",18.85
"286","2017-12-01",19.540001
"287","2017-12-04",19.35
"288","2017-12-05",18.559999
"289","2017-12-06",17.309999
"290","2017-12-07",17.530001
"291","2017-12-08",17.559999
"292","2017-12-11",17.93
"293","2017-12-12",18.455
"294","2017-12-13",18.639999
"295","2017-12-14",18.67
"296","2017-12-15",18.690001
"297","2017-12-18",18.889999
"298","2017-12-19",18.889999
"299","2017-12-20",19.15
"300","2017-12-21",19.98
"301","2017-12-22",19.799999
"302","2017-12-26",19.940001
"303","2017-12-27",19.85
"304","2017-12-28",19.799999
"305","2017-12-29",19.629999
"306","2018-01-02",20.379999
"307","2018-01-03",21.01
"308","2018-01-04",22.030001
"309","2018-01-05",22.23
"310","2018-01-08",22.9
"311","2018-01-09",23.190001
"312","2018-01-10",22.51
"313","2018-01-11",23.35
"314","2018-01-12",23.459999
"315","2018-01-16",22.559999
"316","2018-01-17",23.16
"317","2018-01-18",23.139999
"318","2018-01-19",23.940001
"319","2018-01-22",24.049999
"320","2018-01-23",24.52
"321","2018-01-24",23.6
"322","2018-01-25",23.280001
"323","2018-01-26",22.23
"324","2018-01-29",21.82
"325","2018-01-30",22.639999
"326","2018-01-31",22.959999
"327","2018-02-01",23.76
"328","2018-02-02",21.82
"329","2018-02-05",21.559999
"330","2018-02-06",22.719999
"331","2018-02-07",21.530001
"332","2018-02-08",20.16
"333","2018-02-09",19.82
"334","2018-02-12",20.15
"335","2018-02-13",19.950001
"336","2018-02-14",20.870001
"337","2018-02-15",20.51
"338","2018-02-16",20.66
"339","2018-02-20",20.15
"340","2018-02-21",20.040001
"341","2018-02-22",21.15
"342","2018-02-23",24.4
"343","2018-02-26",24.860001
"344","2018-02-27",25.620001
"345","2018-02-28",26.18
"346","2018-03-01",26.450001
"347","2018-03-02",28.42
"348","2018-03-05",29.4
"349","2018-03-06",31.25
"350","2018-03-07",30.860001
"351","2018-03-08",30.66
"352","2018-03-09",32.299999
"353","2018-03-12",32.91
"354","2018-03-13",29.610001
"355","2018-03-14",28.92
"356","2018-03-15",28.690001
"357","2018-03-16",29.02
"358","2018-03-19",28.74
"359","2018-03-20",29.4
"360","2018-03-21",31.49
"361","2018-03-22",30.190001
"362","2018-03-23",30.41
"363","2018-03-26",30.200001
"364","2018-03-27",28.690001
"365","2018-03-28",29.77
"366","2018-03-29",32.060001
"367","2018-04-02",30.83
"368","2018-04-03",31.77
"369","2018-04-04",34.529999
"370","2018-04-05",33.349998
"371","2018-04-06",33.529999
"372","2018-04-09",33.41
"373","2018-04-10",33.939999
"374","2018-04-11",33.860001
"375","2018-04-12",33.380001
"376","2018-04-13",33.73
"377","2018-04-16",33.369999
"378","2018-04-17",32.970001
"379","2018-04-18",34.759998
"380","2018-04-19",31.33
"381","2018-04-20",32.18
"382","2018-04-23",32.98
"383","2018-04-24",32.360001
"384","2018-04-25",32.709999
"385","2018-04-26",33.880001
"386","2018-04-27",33.669998
"387","2018-04-30",32.48
"388","2018-05-01",32.23
"389","2018-05-02",32.669998
"390","2018-05-03",30.68
"391","2018-05-04",33.009998
"392","2018-05-07",32.740002
"393","2018-05-08",33.540001
"394","2018-05-09",34.57
"395","2018-05-10",34.360001
"396","2018-05-11",33.669998
"397","2018-05-14",33.73
"398","2018-05-15",33.759998
"399","2018-05-16",34.220001
"400","2018-05-17",35.630001
"401","2018-05-18",35.27
"402","2018-05-21",35.880001
"403","2018-05-22",34.599998
"404","2018-05-23",35.139999
"405","2018-05-24",33.860001
"406","2018-05-25",31.15
"407","2018-05-29",38.080002
"408","2018-05-30",37.57
"409","2018-05-31",37.759998
"410","2018-06-01",37.09
"411","2018-06-04",36.549999
"412","2018-06-05",38.07
"413","2018-06-06",40.119999
"414","2018-06-07",37.669998
"415","2018-06-08",36.830002
"416","2018-06-11",36.720001
"417","2018-06-12",36.91
"418","2018-06-13",38.169998
"419","2018-06-14",37.98
"420","2018-06-15",38.700001
"421","2018-06-18",38.98
"422","2018-06-19",38.939999
"423","2018-06-20",40.07
"424","2018-06-21",40.490002
"425","2018-06-22",40.880001
"426","2018-06-25",39.709999
"427","2018-06-26",39.779999
"428","2018-06-27",35.73
"429","2018-06-28",35.84
"430","2018-06-29",33.959999
"431","2018-07-02",34.220001
