"","date","LOGC"
"1","2018-10-19",11.5
"2","2018-10-22",11.05
"3","2018-10-23",10.1
"4","2018-10-24",7.88
"5","2018-10-25",7.98
"6","2018-10-26",8.58
"7","2018-10-29",10.73
"8","2018-10-30",10.96
"9","2018-10-31",10.69
"10","2018-11-01",11.1
"11","2018-11-02",11.37
"12","2018-11-05",11.52
"13","2018-11-06",11.5
"14","2018-11-07",12.59
"15","2018-11-08",12.8
"16","2018-11-09",15.11
"17","2018-11-12",13.72
"18","2018-11-13",13.9
"19","2018-11-14",15.03
"20","2018-11-15",14.1
"21","2018-11-16",14.16
"22","2018-11-19",13.97
"23","2018-11-20",14.14
"24","2018-11-21",14.96
"25","2018-11-23",17.98
"26","2018-11-26",15.95
"27","2018-11-27",13.2
"28","2018-11-28",13.88
"29","2018-11-29",14.73
"30","2018-11-30",15.72
"31","2018-12-03",14.51
"32","2018-12-04",14.02
"33","2018-12-06",13.5
"34","2018-12-07",15
"35","2018-12-10",15
"36","2018-12-11",13.99
"37","2018-12-12",12.32
"38","2018-12-13",9.7
"39","2018-12-14",9.51
"40","2018-12-17",8.75
"41","2018-12-18",7.98
"42","2018-12-19",8.99
"43","2018-12-20",8.87
"44","2018-12-21",10.06
"45","2018-12-24",9.27
"46","2018-12-26",9.96
"47","2018-12-27",9.07
"48","2018-12-28",10.07
"49","2018-12-31",10.4
"50","2019-01-02",10
"51","2019-01-03",10.08
"52","2019-01-04",9.69
"53","2019-01-07",10.14
"54","2019-01-08",9.71
"55","2019-01-09",9.49
"56","2019-01-10",9.04
"57","2019-01-11",8.62
"58","2019-01-14",8.8
"59","2019-01-15",8.42
"60","2019-01-16",7.99
"61","2019-01-17",8.32
"62","2019-01-18",8.12
"63","2019-01-22",7.94
"64","2019-01-23",7.93
"65","2019-01-24",8.19
"66","2019-01-25",8.4
"67","2019-01-28",8.22
"68","2019-01-29",8.6
"69","2019-01-30",8.77
"70","2019-01-31",8.84
"71","2019-02-01",8.49
"72","2019-02-04",8.52
"73","2019-02-05",9.13
"74","2019-02-06",8.87
"75","2019-02-07",8.79
"76","2019-02-08",8.78
"77","2019-02-11",8.99
"78","2019-02-12",9.49
"79","2019-02-13",9.38
"80","2019-02-14",9.09
"81","2019-02-15",9.44
"82","2019-02-19",9.39
"83","2019-02-20",9.06
"84","2019-02-21",9.14
"85","2019-02-22",9.47
"86","2019-02-25",9.87
"87","2019-02-26",10.04
"88","2019-02-27",9.71
"89","2019-02-28",9.17
"90","2019-03-01",9.61
"91","2019-03-04",9.57
"92","2019-03-05",9.78
"93","2019-03-06",9.5
"94","2019-03-07",10
"95","2019-03-08",10.41
"96","2019-03-11",10.26
"97","2019-03-12",9.99
"98","2019-03-13",9.9
"99","2019-03-14",10.06
"100","2019-03-15",10.2
"101","2019-03-18",10.1
"102","2019-03-19",10.1
"103","2019-03-20",9.86
"104","2019-03-21",9.7
"105","2019-03-22",9.64
"106","2019-03-25",9.76
"107","2019-03-26",9.8
"108","2019-03-27",9.68
"109","2019-03-28",10.27
"110","2019-03-29",9.88
"111","2019-04-01",9.77
"112","2019-04-02",10.1
"113","2019-04-03",10.01
"114","2019-04-04",10.11
"115","2019-04-05",10.45
"116","2019-04-08",10.26
"117","2019-04-09",10.27
"118","2019-04-10",11.05
"119","2019-04-11",10.41
"120","2019-04-12",10.65
"121","2019-04-15",10.8
"122","2019-04-16",13.25
"123","2019-04-17",12.56
"124","2019-04-18",12.15
"125","2019-04-22",12.29
"126","2019-04-23",12.22
"127","2019-04-24",12.71
"128","2019-04-25",13.44
"129","2019-04-26",13.74
"130","2019-04-29",15
"131","2019-04-30",13.61
"132","2019-05-01",13.9
"133","2019-05-02",13.81
"134","2019-05-03",14.61
"135","2019-05-06",14.23
"136","2019-05-07",14.11
"137","2019-05-08",13.46
"138","2019-05-09",13.75
"139","2019-05-10",13.9
"140","2019-05-13",14.16
"141","2019-05-14",14.02
"142","2019-05-15",14.54
"143","2019-05-16",14.75
"144","2019-05-17",14.75
"145","2019-05-20",14.75
"146","2019-05-21",15.06
"147","2019-05-22",15.03
"148","2019-05-23",14.81
"149","2019-05-24",16.209999
"150","2019-05-28",17.08
"151","2019-05-29",15.44
"152","2019-05-30",15.86
"153","2019-05-31",15.17
"154","2019-06-03",13.71
"155","2019-06-04",12.83
"156","2019-06-05",12.41
"157","2019-06-06",12.14
"158","2019-06-07",12
"159","2019-06-10",12.28
"160","2019-06-11",12.5
"161","2019-06-12",14.32
"162","2019-06-13",14.7
"163","2019-06-14",14.83
"164","2019-06-17",13.93
"165","2019-06-18",14.98
"166","2019-06-19",14.9
"167","2019-06-20",14.72
"168","2019-06-21",15.29
"169","2019-06-24",13.06
"170","2019-06-25",11.88
"171","2019-06-26",12.3
"172","2019-06-27",12.4
"173","2019-06-28",13
"174","2019-07-01",12.75
"175","2019-07-02",11.8
"176","2019-07-03",11.32
"177","2019-07-05",11.2
"178","2019-07-08",11.01
"179","2019-07-09",11.28
"180","2019-07-10",12.41
"181","2019-07-11",12.82
"182","2019-07-12",11.87
"183","2019-07-15",12.65
"184","2019-07-16",12.96
"185","2019-07-17",13.46
"186","2019-07-18",13.17
"187","2019-07-19",12.7
"188","2019-07-22",13.03
"189","2019-07-23",12.89
"190","2019-07-24",12.7
"191","2019-07-25",12.64
"192","2019-07-26",12.63
"193","2019-07-29",12.64
"194","2019-07-30",12.61
"195","2019-07-31",12.5
"196","2019-08-01",11.65
"197","2019-08-02",12.94
"198","2019-08-05",10.22
"199","2019-08-06",10.6
"200","2019-08-07",10.7
"201","2019-08-08",10.42
"202","2019-08-09",9.85
"203","2019-08-12",8.8
"204","2019-08-13",9.5
"205","2019-08-14",8.01
"206","2019-08-15",8.21
"207","2019-08-16",8.07
"208","2019-08-19",7.88
"209","2019-08-20",7.86
"210","2019-08-21",7.97
"211","2019-08-22",7.76
"212","2019-08-23",6.97
"213","2019-08-26",7.11
"214","2019-08-27",7.25
"215","2019-08-28",7.4
"216","2019-08-29",9.58
"217","2019-08-30",10
"218","2019-09-03",10.81
"219","2019-09-04",10.48
"220","2019-09-05",10.98
"221","2019-09-06",11.29
"222","2019-09-09",11.06
"223","2019-09-10",11.15
"224","2019-09-11",11.69
"225","2019-09-12",11.34
"226","2019-09-13",11.69
"227","2019-09-16",11.6
"228","2019-09-17",10.18
"229","2019-09-18",10.26
"230","2019-09-19",10.19
"231","2019-09-20",10.67
"232","2019-09-23",9.97
"233","2019-09-24",9.96
"234","2019-09-25",9.85
"235","2019-09-26",9.33
"236","2019-09-27",9.5
"237","2019-09-30",10.81
"238","2019-10-01",11.01
"239","2019-10-02",10.65
"240","2019-10-03",10.13
"241","2019-10-04",10.1
"242","2019-10-07",10.2
"243","2019-10-08",10.07
"244","2019-10-09",9.99
"245","2019-10-10",10.03
"246","2019-10-11",10.18
"247","2019-10-14",10.07
"248","2019-10-15",10.12
"249","2019-10-16",10.31
"250","2019-10-17",10.09
"251","2019-10-18",10.14
"252","2019-10-21",10.37
"253","2019-10-22",10
"254","2019-10-23",10.17
"255","2019-10-24",10.05
"256","2019-10-25",9.97
"257","2019-10-28",9.94
"258","2019-10-29",10
"259","2019-10-30",10
"260","2019-10-31",9.95
"261","2019-11-01",10.01
"262","2019-11-04",10.08
"263","2019-11-05",10.07
"264","2019-11-06",9.91
"265","2019-11-07",9.87
"266","2019-11-08",9.37
"267","2019-11-11",9.61
"268","2019-11-12",9.55
"269","2019-11-13",9.45
"270","2019-11-14",9.34
"271","2019-11-15",9.25
"272","2019-11-18",9.11
"273","2019-11-19",8.91
"274","2019-11-20",8.92
"275","2019-11-21",8.88
"276","2019-11-22",8.75
"277","2019-11-25",8.45
"278","2019-11-26",8.16
"279","2019-11-27",8.2
"280","2019-11-29",8.04
"281","2019-12-02",7.82
"282","2019-12-03",7.76
"283","2019-12-04",7.68
"284","2019-12-05",7.6
"285","2019-12-06",7.66
"286","2019-12-09",7.67
"287","2019-12-10",8.2
"288","2019-12-11",8.2
"289","2019-12-12",7.97
"290","2019-12-13",7.65
"291","2019-12-16",7.94
"292","2019-12-17",7.8
"293","2019-12-18",7.77
"294","2019-12-19",7.74
"295","2019-12-20",7.7
"296","2019-12-23",7.64
"297","2019-12-24",7.6
"298","2019-12-26",7.01
"299","2019-12-27",7.09
"300","2019-12-30",7.22
"301","2019-12-31",7.2
"302","2020-01-02",7.49
"303","2020-01-03",7.38
"304","2020-01-06",7.63
"305","2020-01-07",7.4
"306","2020-01-08",6.87
"307","2020-01-09",7.06
"308","2020-01-10",7.13
"309","2020-01-13",7.38
"310","2020-01-14",7.29
"311","2020-01-15",7.41
"312","2020-01-16",7.52
"313","2020-01-17",7.71
"314","2020-01-21",7.76
"315","2020-01-22",7.64
"316","2020-01-23",8.66
"317","2020-01-24",8.67
"318","2020-01-27",9.38
"319","2020-01-28",9.45
"320","2020-01-29",9.91
"321","2020-01-30",9.98
"322","2020-01-31",9.87
"323","2020-02-03",10.02
"324","2020-02-04",10.36
"325","2020-02-05",10.65
"326","2020-02-06",10.64
"327","2020-02-07",11
"328","2020-02-10",10.45
"329","2020-02-11",7.11
"330","2020-02-12",8.15
"331","2020-02-13",7.84
"332","2020-02-14",8.01
"333","2020-02-18",8.76
"334","2020-02-19",9.71
"335","2020-02-20",9.63
"336","2020-02-21",8.74
"337","2020-02-24",8.51
"338","2020-02-25",8.26
"339","2020-02-26",9.16
"340","2020-02-27",8.05
"341","2020-02-28",8.04
"342","2020-03-02",9.2
"343","2020-03-03",9.37
"344","2020-03-04",9.36
"345","2020-03-05",8.95
"346","2020-03-06",8.76
"347","2020-03-09",7.56
"348","2020-03-10",7.46
"349","2020-03-11",7.04
"350","2020-03-12",4.22
"351","2020-03-13",4.6
"352","2020-03-16",4.06
"353","2020-03-17",5.34
"354","2020-03-18",5.41
"355","2020-03-19",5.93
"356","2020-03-20",5.32
"357","2020-03-23",4.84
"358","2020-03-24",5.13
"359","2020-03-25",5.34
"360","2020-03-26",5.85
"361","2020-03-27",5.25
"362","2020-03-30",5.59
"363","2020-03-31",4.94
"364","2020-04-01",4.4
"365","2020-04-02",4.25
"366","2020-04-03",4.51
"367","2020-04-06",4.7
"368","2020-04-07",4.59
"369","2020-04-08",4.59
"370","2020-04-09",5.19
"371","2020-04-13",5.34
"372","2020-04-14",5.88
"373","2020-04-15",5.16
"374","2020-04-16",5.06
"375","2020-04-17",5.5
"376","2020-04-20",5.75
"377","2020-04-21",5.85
"378","2020-04-22",5.57
"379","2020-04-23",5.59
"380","2020-04-24",5.93
"381","2020-04-27",6.29
"382","2020-04-28",5.96
"383","2020-04-29",6.61
"384","2020-04-30",5.72
"385","2020-05-01",5.07
"386","2020-05-04",5.55
"387","2020-05-05",5.66
"388","2020-05-06",6.06
"389","2020-05-07",7.35
"390","2020-05-08",7.3
"391","2020-05-11",6.78
"392","2020-05-12",6.68
"393","2020-05-13",6.07
"394","2020-05-14",5.92
"395","2020-05-15",6.08
"396","2020-05-18",6.65
"397","2020-05-19",6.59
"398","2020-05-20",6.76
"399","2020-05-21",6.8
"400","2020-05-22",6.85
"401","2020-05-26",6.88
"402","2020-05-27",7.1
"403","2020-05-28",6.82
"404","2020-05-29",6.86
"405","2020-06-01",7.23
"406","2020-06-02",7.43
"407","2020-06-03",7.65
"408","2020-06-04",7.28
"409","2020-06-05",7.52
"410","2020-06-08",8.31
"411","2020-06-09",8.41
"412","2020-06-10",8.35
"413","2020-06-11",7.17
"414","2020-06-12",7.14
"415","2020-06-15",7.32
