"","date","AXP"
"1","2007-01-03",60.360001
"2","2007-01-04",59.919998
"3","2007-01-05",59.130001
"4","2007-01-08",59.689999
"5","2007-01-09",59.310001
"6","2007-01-10",59.27
"7","2007-01-11",59.450001
"8","2007-01-12",59.009998
"9","2007-01-16",59.130001
"10","2007-01-17",59.220001
"11","2007-01-18",59
"12","2007-01-19",58.09
"13","2007-01-22",58.060001
"14","2007-01-23",57.540001
"15","2007-01-24",58.93
"16","2007-01-25",57.77
"17","2007-01-26",57.849998
"18","2007-01-29",57.639999
"19","2007-01-30",58.009998
"20","2007-01-31",58.220001
"21","2007-02-01",58.07
"22","2007-02-02",58.16
"23","2007-02-05",58.200001
"24","2007-02-06",58.060001
"25","2007-02-07",58.68
"26","2007-02-08",58.490002
"27","2007-02-09",57.529999
"28","2007-02-12",57
"29","2007-02-13",57.599998
"30","2007-02-14",58.689999
"31","2007-02-15",58.849998
"32","2007-02-16",59.02
"33","2007-02-20",58.709999
"34","2007-02-21",58.529999
"35","2007-02-22",58.150002
"36","2007-02-23",58.02
"37","2007-02-26",57.139999
"38","2007-02-27",55.59
"39","2007-02-28",56.869999
"40","2007-03-01",56.549999
"41","2007-03-02",55.439999
"42","2007-03-05",54.900002
"43","2007-03-06",56.369999
"44","2007-03-07",55.860001
"45","2007-03-08",56.82
"46","2007-03-09",56.900002
"47","2007-03-12",56.709999
"48","2007-03-13",54.75
"49","2007-03-14",55.709999
"50","2007-03-15",56.110001
"51","2007-03-16",55.549999
"52","2007-03-19",56.040001
"53","2007-03-20",56.259998
"54","2007-03-21",57.490002
"55","2007-03-22",57.439999
"56","2007-03-23",57.43
"57","2007-03-26",57.200001
"58","2007-03-27",56.43
"59","2007-03-28",55.860001
"60","2007-03-29",56.459999
"61","2007-03-30",56.400002
"62","2007-04-02",55.860001
"63","2007-04-03",55.919998
"64","2007-04-04",56.310001
"65","2007-04-05",55.959999
"66","2007-04-09",56.360001
"67","2007-04-10",56.41
"68","2007-04-11",56.049999
"69","2007-04-12",56.509998
"70","2007-04-13",57.360001
"71","2007-04-16",58.560001
"72","2007-04-17",58.240002
"73","2007-04-18",58.439999
"74","2007-04-19",58.950001
"75","2007-04-20",61
"76","2007-04-23",61.150002
"77","2007-04-24",60.91
"78","2007-04-25",62.32
"79","2007-04-26",62.139999
"80","2007-04-27",62.139999
"81","2007-04-30",60.669998
"82","2007-05-01",61.32
"83","2007-05-02",62.740002
"84","2007-05-03",63.459999
"85","2007-05-04",63.389999
"86","2007-05-07",63.27
"87","2007-05-08",63.27
"88","2007-05-09",63.279999
"89","2007-05-10",62.75
"90","2007-05-11",62.970001
"91","2007-05-14",62.419998
