"","date","PK"
"1","2017-01-04",29.9
"2","2017-01-05",28.4
"3","2017-01-06",28.870001
"4","2017-01-09",29.33
"5","2017-01-10",29.219999
"6","2017-01-11",29.690001
"7","2017-01-12",29.18
"8","2017-01-13",29.09
"9","2017-01-17",26.35
"10","2017-01-18",26.190001
"11","2017-01-19",26.01
"12","2017-01-20",26.049999
"13","2017-01-23",26
"14","2017-01-24",26.83
"15","2017-01-25",27.23
"16","2017-01-26",27.530001
"17","2017-01-27",27.77
"18","2017-01-30",27.059999
"19","2017-01-31",27.139999
"20","2017-02-01",26.48
"21","2017-02-02",26.49
"22","2017-02-03",26.969999
"23","2017-02-06",26.6
"24","2017-02-07",26.719999
"25","2017-02-08",27.120001
"26","2017-02-09",27.530001
"27","2017-02-10",27.34
"28","2017-02-13",27.66
"29","2017-02-14",27.549999
"30","2017-02-15",27.709999
"31","2017-02-16",27.73
"32","2017-02-17",27.02
"33","2017-02-21",26.879999
"34","2017-02-22",26.73
"35","2017-02-23",26.219999
"36","2017-02-24",25.92
"37","2017-02-27",26
"38","2017-02-28",25.540001
"39","2017-03-01",26.030001
"40","2017-03-02",26.799999
"41","2017-03-03",27.01
"42","2017-03-06",27.1
"43","2017-03-07",26.370001
"44","2017-03-08",26.26
"45","2017-03-09",26.02
"46","2017-03-10",26
"47","2017-03-13",25.75
"48","2017-03-14",25.780001
"49","2017-03-15",26.459999
"50","2017-03-16",26.59
"51","2017-03-17",26.629999
"52","2017-03-20",26.450001
"53","2017-03-21",26.18
"54","2017-03-22",26.17
"55","2017-03-23",26.25
"56","2017-03-24",26.219999
"57","2017-03-27",26.17
"58","2017-03-28",26.139999
"59","2017-03-29",25.68
"60","2017-03-30",25.709999
"61","2017-03-31",25.67
"62","2017-04-03",25.780001
"63","2017-04-04",26.129999
"64","2017-04-05",25.83
"65","2017-04-06",26.290001
"66","2017-04-07",26.43
"67","2017-04-10",26.379999
"68","2017-04-11",26.440001
"69","2017-04-12",26.370001
"70","2017-04-13",26.209999
"71","2017-04-17",26.32
"72","2017-04-18",26.389999
"73","2017-04-19",26.68
"74","2017-04-20",26.5
"75","2017-04-21",26.43
"76","2017-04-24",26.59
"77","2017-04-25",26.610001
"78","2017-04-26",26.790001
"79","2017-04-27",26.790001
"80","2017-04-28",25.67
"81","2017-05-01",25.75
"82","2017-05-02",26.209999
"83","2017-05-03",26.129999
"84","2017-05-04",26.040001
"85","2017-05-05",26.17
"86","2017-05-08",25.32
"87","2017-05-09",25.66
"88","2017-05-10",25.610001
"89","2017-05-11",25.34
"90","2017-05-12",24.92
"91","2017-05-15",25.389999
"92","2017-05-16",25.77
"93","2017-05-17",25.15
"94","2017-05-18",25.440001
"95","2017-05-19",25.360001
"96","2017-05-22",25.5
"97","2017-05-23",25.690001
"98","2017-05-24",25.77
"99","2017-05-25",25.469999
"100","2017-05-26",25.620001
"101","2017-05-30",25.5
