"","date","MORN"
"1","2007-01-03",44.950001
"2","2007-01-04",45.32
"3","2007-01-05",44.84
"4","2007-01-08",44.880001
"5","2007-01-09",45.220001
"6","2007-01-10",45.52
"7","2007-01-11",47.09
"8","2007-01-12",46.82
"9","2007-01-16",46.040001
"10","2007-01-17",45.599998
"11","2007-01-18",44.990002
"12","2007-01-19",45.110001
"13","2007-01-22",45.110001
"14","2007-01-23",45.25
"15","2007-01-24",45.759998
"16","2007-01-25",45.330002
"17","2007-01-26",46.02
"18","2007-01-29",45.720001
"19","2007-01-30",46.330002
"20","2007-01-31",45.799999
"21","2007-02-01",46.16
"22","2007-02-02",46.279999
"23","2007-02-05",46
"24","2007-02-06",46.200001
"25","2007-02-07",46.290001
"26","2007-02-08",46.73
"27","2007-02-09",45.650002
"28","2007-02-12",45.25
"29","2007-02-13",45.259998
"30","2007-02-14",45.619999
"31","2007-02-15",45.220001
"32","2007-02-16",47.130001
"33","2007-02-20",49.619999
"34","2007-02-21",49.93
"35","2007-02-22",51.790001
"36","2007-02-23",53.77
"37","2007-02-26",53.310001
"38","2007-02-27",51.220001
"39","2007-02-28",51.23
"40","2007-03-01",50.110001
"41","2007-03-02",49.040001
"42","2007-03-05",48.32
"43","2007-03-06",49.970001
"44","2007-03-07",48.84
"45","2007-03-08",49.490002
"46","2007-03-09",50.459999
"47","2007-03-12",51.029999
"48","2007-03-13",49.049999
"49","2007-03-14",49.580002
"50","2007-03-15",50.830002
"51","2007-03-16",51.119999
"52","2007-03-19",51.759998
"53","2007-03-20",52.43
"54","2007-03-21",53.189999
"55","2007-03-22",52.799999
"56","2007-03-23",52.68
"57","2007-03-26",51.790001
"58","2007-03-27",51.630001
"59","2007-03-28",52.419998
"60","2007-03-29",52.099998
"61","2007-03-30",51.639999
"62","2007-04-02",51.59
"63","2007-04-03",52.419998
"64","2007-04-04",52.110001
"65","2007-04-05",52.110001
"66","2007-04-09",51.799999
"67","2007-04-10",51.77
"68","2007-04-11",51.720001
"69","2007-04-12",52.450001
"70","2007-04-13",52.52
"71","2007-04-16",53.450001
"72","2007-04-17",53.279999
"73","2007-04-18",52.790001
"74","2007-04-19",52.290001
"75","2007-04-20",53.580002
"76","2007-04-23",54.02
"77","2007-04-24",53.25
"78","2007-04-25",53.259998
"79","2007-04-26",53.59
"80","2007-04-27",53.189999
"81","2007-04-30",52.07
"82","2007-05-01",51.93
"83","2007-05-02",52.490002
"84","2007-05-03",51.119999
"85","2007-05-04",51.540001
"86","2007-05-07",51.130001
"87","2007-05-08",50.279999
"88","2007-05-09",49.990002
"89","2007-05-10",48.07
"90","2007-05-11",49.09
"91","2007-05-14",49.400002
"92","2007-05-15",48.599998
"93","2007-05-16",48.349998
"94","2007-05-17",48.110001
"95","2007-05-18",47.990002
"96","2007-05-21",48.5
"97","2007-05-22",48.25
"98","2007-05-23",47.57
"99","2007-05-24",46.639999
"100","2007-05-25",47
"101","2007-05-29",47.060001
"102","2007-05-30",47.240002
"103","2007-05-31",47.810001
"104","2007-06-01",48.049999
"105","2007-06-04",47.77
"106","2007-06-05",47.380001
"107","2007-06-06",46.950001
"108","2007-06-07",47
"109","2007-06-08",47.400002
"110","2007-06-11",47.509998
"111","2007-06-12",47
"112","2007-06-13",47.529999
"113","2007-06-14",47.48
"114","2007-06-15",48.919998
"115","2007-06-18",48.5
"116","2007-06-19",48.52
"117","2007-06-20",47.57
"118","2007-06-21",47.240002
"119","2007-06-22",47.02
"120","2007-06-25",46.73
"121","2007-06-26",46.779999
"122","2007-06-27",46.919998
"123","2007-06-28",47.98
"124","2007-06-29",47.029999
"125","2007-07-02",46.959999
"126","2007-07-03",46.959999
"127","2007-07-05",46.799999
"128","2007-07-06",47.610001
"129","2007-07-09",47.040001
"130","2007-07-10",46.720001
"131","2007-07-11",46.959999
"132","2007-07-12",47.939999
"133","2007-07-13",48.330002
"134","2007-07-16",48.080002
"135","2007-07-17",49.02
"136","2007-07-18",48.599998
"137","2007-07-19",49.360001
"138","2007-07-20",49.84
"139","2007-07-23",49.810001
"140","2007-07-24",49.09
"141","2007-07-25",48.880001
"142","2007-07-26",49.419998
"143","2007-07-27",49.240002
"144","2007-07-30",49.209999
"145","2007-07-31",48.98
"146","2007-08-01",48.91
"147","2007-08-02",58.68
"148","2007-08-03",58.77
"149","2007-08-06",62.369999
"150","2007-08-07",63.82
"151","2007-08-08",64.669998
"152","2007-08-09",64.459999
"153","2007-08-10",59.970001
"154","2007-08-13",59.740002
