"","date","XYL"
"1","2011-10-13",24.25
"2","2011-10-14",25.35
"3","2011-10-17",25.16
"4","2011-10-18",25.24
"5","2011-10-19",24.75
"6","2011-10-20",24.75
"7","2011-10-21",25.540001
"8","2011-10-24",25.77
"9","2011-10-25",25.75
"10","2011-10-26",25.02
"11","2011-10-27",25.620001
"12","2011-10-28",25.82
"13","2011-10-31",26.74
"14","2011-11-01",27.309999
"15","2011-11-02",26.620001
"16","2011-11-03",26.389999
"17","2011-11-04",25.190001
"18","2011-11-07",24.6
"19","2011-11-08",24.940001
"20","2011-11-09",23.889999
"21","2011-11-10",23.65
"22","2011-11-11",23.790001
"23","2011-11-14",23.93
"24","2011-11-15",23.99
"25","2011-11-16",24.120001
"26","2011-11-17",23.85
"27","2011-11-18",23.93
"28","2011-11-21",23.620001
"29","2011-11-22",23.629999
"30","2011-11-23",23.68
"31","2011-11-25",23
"32","2011-11-28",23.49
"33","2011-11-29",23.27
"34","2011-11-30",23.9
"35","2011-12-01",24.27
"36","2011-12-02",24.25
"37","2011-12-05",25.09
"38","2011-12-06",24.83
"39","2011-12-07",24.57
"40","2011-12-08",23.879999
"41","2011-12-09",24.35
"42","2011-12-12",23.92
"43","2011-12-13",23.85
"44","2011-12-14",23.41
"45","2011-12-15",23.92
"46","2011-12-16",24.67
"47","2011-12-19",24.25
"48","2011-12-20",24.309999
"49","2011-12-21",24.92
"50","2011-12-22",24.83
"51","2011-12-23",24.91
"52","2011-12-27",25.049999
"53","2011-12-28",25.559999
"54","2011-12-29",25.950001
"55","2011-12-30",25.690001
"56","2012-01-03",25.139999
"57","2012-01-04",25.969999
"58","2012-01-05",25.6
"59","2012-01-06",25.17
"60","2012-01-09",25.27
"61","2012-01-10",25.58
"62","2012-01-11",26.059999
"63","2012-01-12",25.700001
"64","2012-01-13",25.629999
"65","2012-01-17",25.629999
"66","2012-01-18",26.99
"67","2012-01-19",26.620001
"68","2012-01-20",26.360001
"69","2012-01-23",25.75
"70","2012-01-24",26.139999
"71","2012-01-25",26.6
"72","2012-01-26",25.940001
