"","date","OBCI"
"1","2007-01-03",1.92
"2","2007-01-04",1.95
"3","2007-01-05",1.8
"4","2007-01-08",1.85
"5","2007-01-09",1.83
"6","2007-01-10",5.11
"7","2007-01-11",4.85
"8","2007-01-12",4.68
"9","2007-01-16",4.72
"10","2007-01-17",4.96
"11","2007-01-18",4.64
"12","2007-01-19",4.4
"13","2007-01-22",4.22
"14","2007-01-23",4.18
"15","2007-01-24",3.89
"16","2007-01-25",3.75
"17","2007-01-26",3.83
"18","2007-01-29",3.5
"19","2007-01-30",3.77
"20","2007-01-31",3.54
"21","2007-02-01",3.69
"22","2007-02-02",3.67
"23","2007-02-05",3.66
"24","2007-02-06",3.55
"25","2007-02-07",3.59
"26","2007-02-08",3.68
"27","2007-02-09",3.68
"28","2007-02-12",3.63
"29","2007-02-13",3.67
"30","2007-02-14",3.87
"31","2007-02-15",3.85
"32","2007-02-16",3.92
"33","2007-02-20",3.75
"34","2007-02-21",3.63
"35","2007-02-22",3.68
"36","2007-02-23",3.67
"37","2007-02-26",3.63
"38","2007-02-27",3.16
"39","2007-02-28",3.05
"40","2007-03-01",2.83
"41","2007-03-02",2.76
"42","2007-03-05",2.64
"43","2007-03-06",3
"44","2007-03-07",2.84
"45","2007-03-08",3
"46","2007-03-09",2.94
"47","2007-03-12",2.88
"48","2007-03-13",2.89
"49","2007-03-14",2.81
"50","2007-03-15",2.76
"51","2007-03-16",2.79
"52","2007-03-19",2.78
"53","2007-03-20",2.78
"54","2007-03-21",3.38
"55","2007-03-22",3.59
"56","2007-03-23",3.57
"57","2007-03-26",3.73
"58","2007-03-27",3.57
"59","2007-03-28",3.4
"60","2007-03-29",3.29
"61","2007-03-30",2.88
"62","2007-04-02",2.78
"63","2007-04-03",2.6
"64","2007-04-04",2.65
"65","2007-04-05",2.54
"66","2007-04-09",2.63
"67","2007-04-10",2.54
"68","2007-04-11",2.64
"69","2007-04-12",2.15
"70","2007-04-13",2.1
"71","2007-04-16",2.2
"72","2007-04-17",2.17
"73","2007-04-18",2.16
"74","2007-04-19",2.09
"75","2007-04-20",2.11
"76","2007-04-23",2.11
"77","2007-04-24",2.02
"78","2007-04-25",1.97
"79","2007-04-26",2.04
"80","2007-04-27",2
"81","2007-04-30",1.95
"82","2007-05-01",2.1
"83","2007-05-02",2.04
"84","2007-05-03",2.03
"85","2007-05-04",2.03
"86","2007-05-07",2
"87","2007-05-08",2
"88","2007-05-09",1.88
"89","2007-05-10",1.9
"90","2007-05-11",1.85
"91","2007-05-14",1.88
"92","2007-05-15",1.74
"93","2007-05-16",1.68
"94","2007-05-17",1.8
"95","2007-05-18",1.84
"96","2007-05-21",1.96
"97","2007-05-22",1.9
"98","2007-05-23",1.9
"99","2007-05-24",1.8
"100","2007-05-25",1.76
"101","2007-05-29",1.64
"102","2007-05-30",1.68
"103","2007-05-31",1.75
"104","2007-06-01",1.85
"105","2007-06-04",1.84
"106","2007-06-05",1.81
"107","2007-06-06",1.76
"108","2007-06-07",1.73
"109","2007-06-08",1.76
"110","2007-06-11",1.72
"111","2007-06-12",1.78
"112","2007-06-13",1.84
"113","2007-06-14",1.8
"114","2007-06-15",1.85
"115","2007-06-18",1.77
"116","2007-06-19",1.74
"117","2007-06-20",1.72
"118","2007-06-21",1.72
"119","2007-06-22",1.74
"120","2007-06-25",1.7
"121","2007-06-26",1.75
"122","2007-06-27",1.73
"123","2007-06-28",1.78
"124","2007-06-29",1.83
"125","2007-07-02",1.78
"126","2007-07-03",1.78
"127","2007-07-05",1.73
"128","2007-07-06",1.8
"129","2007-07-09",1.73
"130","2007-07-10",2.55
"131","2007-07-11",2.44
"132","2007-07-12",2.39
"133","2007-07-13",2.33
"134","2007-07-16",2.29
"135","2007-07-17",2.42
"136","2007-07-18",2.19
"137","2007-07-19",2.2
"138","2007-07-20",2.25
"139","2007-07-23",2.22
"140","2007-07-24",2.16
"141","2007-07-25",2.13
"142","2007-07-26",2.24
"143","2007-07-27",2.3
"144","2007-07-30",2.22
"145","2007-07-31",2.27
"146","2007-08-01",2.35
"147","2007-08-02",2.45
"148","2007-08-03",2.49
"149","2007-08-06",2.51
"150","2007-08-07",2.41
"151","2007-08-08",2.38
"152","2007-08-09",2.33
"153","2007-08-10",2.44
"154","2007-08-13",2.45
"155","2007-08-14",2.24
"156","2007-08-15",2.2
"157","2007-08-16",2.08
"158","2007-08-17",2.1
"159","2007-08-20",2.08
"160","2007-08-21",2.06
"161","2007-08-22",2
"162","2007-08-23",1.93
"163","2007-08-24",2
"164","2007-08-27",1.93
"165","2007-08-28",1.98
"166","2007-08-29",1.93
"167","2007-08-30",1.89
"168","2007-08-31",1.87
