"","date","NP"
"1","2007-01-03",35.669998
"2","2007-01-04",35.549999
"3","2007-01-05",35.279999
"4","2007-01-08",35.23
"5","2007-01-09",34.990002
"6","2007-01-10",35.009998
"7","2007-01-11",34.98
"8","2007-01-12",35.25
"9","2007-01-16",35.049999
"10","2007-01-17",34.810001
"11","2007-01-18",34.48
"12","2007-01-19",34.490002
"13","2007-01-22",34.110001
"14","2007-01-23",34.380001
"15","2007-01-24",34.5
"16","2007-01-25",33.610001
"17","2007-01-26",33.330002
"18","2007-01-29",34.02
"19","2007-01-30",34.16
"20","2007-01-31",34.130001
"21","2007-02-01",34.970001
"22","2007-02-02",34.959999
"23","2007-02-05",35.049999
"24","2007-02-06",35.48
"25","2007-02-07",36.150002
"26","2007-02-08",36.619999
"27","2007-02-09",37.07
"28","2007-02-12",37.18
"29","2007-02-13",37.169998
"30","2007-02-14",37.400002
"31","2007-02-15",37.400002
"32","2007-02-16",37.41
"33","2007-02-20",37.939999
"34","2007-02-21",38.099998
"35","2007-02-22",37.970001
"36","2007-02-23",37.720001
"37","2007-02-26",37.470001
"38","2007-02-27",36.509998
"39","2007-02-28",37.099998
"40","2007-03-01",36.799999
"41","2007-03-02",36.73
"42","2007-03-05",37.68
"43","2007-03-06",38
"44","2007-03-07",37
"45","2007-03-08",37.029999
"46","2007-03-09",37.43
"47","2007-03-12",37.810001
"48","2007-03-13",36.630001
"49","2007-03-14",37.810001
"50","2007-03-15",37.639999
"51","2007-03-16",38.32
"52","2007-03-19",38.790001
"53","2007-03-20",39.68
"54","2007-03-21",39.5
"55","2007-03-22",39.740002
"56","2007-03-23",40
"57","2007-03-26",39.970001
"58","2007-03-27",39.599998
"59","2007-03-28",39.259998
"60","2007-03-29",39.700001
"61","2007-03-30",39.740002
"62","2007-04-02",40.049999
"63","2007-04-03",39.779999
"64","2007-04-04",39.310001
"65","2007-04-05",39.57
"66","2007-04-09",40.25
"67","2007-04-10",40.41
"68","2007-04-11",39.580002
"69","2007-04-12",39.860001
"70","2007-04-13",40.34
"71","2007-04-16",41.41
"72","2007-04-17",41.529999
"73","2007-04-18",40.630001
"74","2007-04-19",39.52
"75","2007-04-20",40.060001
"76","2007-04-23",39.32
"77","2007-04-24",39.25
"78","2007-04-25",39.880001
"79","2007-04-26",39.669998
"80","2007-04-27",39.119999
"81","2007-04-30",38.200001
"82","2007-05-01",38.48
"83","2007-05-02",39.009998
"84","2007-05-03",38.16
"85","2007-05-04",38.580002
"86","2007-05-07",38.5
"87","2007-05-08",38.099998
"88","2007-05-09",38.389999
"89","2007-05-10",40.970001
"90","2007-05-11",41.009998
"91","2007-05-14",41.509998
"92","2007-05-15",40.849998
"93","2007-05-16",42.549999
"94","2007-05-17",42.240002
"95","2007-05-18",42.34
"96","2007-05-21",43.720001
"97","2007-05-22",45.220001
"98","2007-05-23",44.650002
"99","2007-05-24",43.560001
"100","2007-05-25",43.98
"101","2007-05-29",43.779999
"102","2007-05-30",43.740002
"103","2007-05-31",43.799999
"104","2007-06-01",44.43
"105","2007-06-04",44.349998
"106","2007-06-05",43.549999
"107","2007-06-06",43.459999
"108","2007-06-07",42.029999
