"","date","LEA"
"1","2009-11-09",28.125
"2","2009-11-10",28.475
"3","2009-11-11",30.125
"4","2009-11-12",31.85
"5","2009-11-13",32.5
"6","2009-11-16",33.494999
"7","2009-11-17",33.41
"8","2009-11-18",32.875
"9","2009-11-19",31.75
"10","2009-11-20",31.875
"11","2009-11-23",32
"12","2009-11-24",31.85
"13","2009-11-25",31.950001
"14","2009-11-27",31.75
"15","2009-11-30",31.495001
"16","2009-12-01",31.555
"17","2009-12-02",31.504999
"18","2009-12-03",31.465
"19","2009-12-04",31.51
"20","2009-12-07",31.424999
"21","2009-12-08",31.32
"22","2009-12-09",31.4
"23","2009-12-10",31.129999
"24","2009-12-11",31.445
"25","2009-12-14",31.5
"26","2009-12-15",32.560001
"27","2009-12-16",33.005001
"28","2009-12-17",33.630001
"29","2009-12-18",34.235001
"30","2009-12-21",34.150002
"31","2009-12-22",34.139999
"32","2009-12-23",34
"33","2009-12-24",33.974998
"34","2009-12-28",34.119999
"35","2009-12-29",34.290001
"36","2009-12-30",34.025002
"37","2009-12-31",33.82
"38","2010-01-04",34.68
"39","2010-01-05",35.865002
"40","2010-01-06",36.209999
"41","2010-01-07",36.105
"42","2010-01-08",36.240002
"43","2010-01-11",36.064999
"44","2010-01-12",35.514999
"45","2010-01-13",35.669998
"46","2010-01-14",35.695
"47","2010-01-15",35.625
"48","2010-01-19",35.5
"49","2010-01-20",35.525002
"50","2010-01-21",35.049999
"51","2010-01-22",34.5
"52","2010-01-25",34.950001
"53","2010-01-26",35
"54","2010-01-27",34.525002
"55","2010-01-28",34.560001
"56","2010-01-29",34.400002
"57","2010-02-01",35.060001
"58","2010-02-02",35.48
"59","2010-02-03",36.959999
"60","2010-02-04",35.610001
"61","2010-02-05",34.325001
"62","2010-02-08",35.095001
"63","2010-02-09",35.494999
"64","2010-02-10",35.25
"65","2010-02-11",35.380001
"66","2010-02-12",35.150002
"67","2010-02-16",35.720001
"68","2010-02-17",35.215
"69","2010-02-18",35.035
"70","2010-02-19",35.150002
"71","2010-02-22",35.27
"72","2010-02-23",34.834999
"73","2010-02-24",34.755001
"74","2010-02-25",34.450001
"75","2010-02-26",34.634998
"76","2010-03-01",35.619999
"77","2010-03-02",36.080002
"78","2010-03-03",36.404999
"79","2010-03-04",36.115002
"80","2010-03-05",36.875
"81","2010-03-08",37.099998
"82","2010-03-09",36.924999
"83","2010-03-10",36.915001
"84","2010-03-11",36.869999
