"","date","C"
"1","2007-01-03",552.5
"2","2007-01-04",550.599976
"3","2007-01-05",547.700012
"4","2007-01-08",550.5
"5","2007-01-09",545.700012
"6","2007-01-10",541.299988
"7","2007-01-11",541.700012
"8","2007-01-12",543.799988
"9","2007-01-16",547.700012
"10","2007-01-17",543.900024
"11","2007-01-18",543.900024
"12","2007-01-19",545
"13","2007-01-22",546.799988
"14","2007-01-23",544.900024
"15","2007-01-24",548.299988
"16","2007-01-25",539.299988
"17","2007-01-26",546.700012
"18","2007-01-29",540.599976
"19","2007-01-30",542.700012
"20","2007-01-31",551.299988
"21","2007-02-01",547.299988
"22","2007-02-02",546.599976
"23","2007-02-05",547.5
"24","2007-02-06",549.5
"25","2007-02-07",549.5
"26","2007-02-08",544.400024
"27","2007-02-09",534
"28","2007-02-12",534.299988
"29","2007-02-13",537.099976
"30","2007-02-14",541.799988
"31","2007-02-15",542.099976
"32","2007-02-16",541
"33","2007-02-20",541.900024
"34","2007-02-21",537.5
"35","2007-02-22",535.900024
"36","2007-02-23",537.700012
"37","2007-02-26",526.799988
"38","2007-02-27",506
"39","2007-02-28",503.700012
"40","2007-03-01",510.799988
"41","2007-03-02",499.700012
"42","2007-03-05",492.5
"43","2007-03-06",505.799988
"44","2007-03-07",502.200012
"45","2007-03-08",505
"46","2007-03-09",503.299988
"47","2007-03-12",503.600006
"48","2007-03-13",487.5
"49","2007-03-14",490.799988
"50","2007-03-15",501.299988
"51","2007-03-16",495.299988
"52","2007-03-19",500.600006
"53","2007-03-20",506.399994
"54","2007-03-21",520.299988
"55","2007-03-22",518.400024
"56","2007-03-23",517.200012
"57","2007-03-26",515.400024
"58","2007-03-27",510.600006
"59","2007-03-28",509.600006
"60","2007-03-29",514
"61","2007-03-30",513.400024
"62","2007-04-02",510.5
"63","2007-04-03",514.099976
"64","2007-04-04",513.599976
"65","2007-04-05",515.700012
"66","2007-04-09",515.799988
"67","2007-04-10",524
"68","2007-04-11",518
"69","2007-04-12",516.5
"70","2007-04-13",516
"71","2007-04-16",529.299988
"72","2007-04-17",525.299988
"73","2007-04-18",529.900024
"74","2007-04-19",530.900024
"75","2007-04-20",534.200012
"76","2007-04-23",531.099976
"77","2007-04-24",528.099976
"78","2007-04-25",538
"79","2007-04-26",535.599976
"80","2007-04-27",533.700012
"81","2007-04-30",536.200012
"82","2007-05-01",542
"83","2007-05-02",543
"84","2007-05-03",539.5
"85","2007-05-04",540.900024
"86","2007-05-07",538.799988
"87","2007-05-08",537.200012
"88","2007-05-09",541.200012
"89","2007-05-10",532
"90","2007-05-11",531.099976
"91","2007-05-14",528.599976
"92","2007-05-15",527.900024
"93","2007-05-16",549.099976
"94","2007-05-17",548
"95","2007-05-18",550
"96","2007-05-21",548.400024
"97","2007-05-22",550.799988
"98","2007-05-23",550.099976
"99","2007-05-24",549.299988
"100","2007-05-25",551.200012
"101","2007-05-29",549.099976
"102","2007-05-30",552
"103","2007-05-31",544.900024
"104","2007-06-01",545.099976
"105","2007-06-04",541.5
"106","2007-06-05",539
"107","2007-06-06",533.299988
"108","2007-06-07",525.200012
"109","2007-06-08",533.299988
"110","2007-06-11",534.700012
"111","2007-06-12",526
"112","2007-06-13",536.799988
"113","2007-06-14",536.700012
"114","2007-06-15",539.799988
"115","2007-06-18",539.599976
"116","2007-06-19",542.599976
"117","2007-06-20",534.400024
"118","2007-06-21",536.599976
"119","2007-06-22",524.099976
"120","2007-06-25",516.900024
"121","2007-06-26",511.5
"122","2007-06-27",518.099976
"123","2007-06-28",518.099976
"124","2007-06-29",512.900024
"125","2007-07-02",516.400024
"126","2007-07-03",518.599976
"127","2007-07-05",515
"128","2007-07-06",517
"129","2007-07-09",516
"130","2007-07-10",510
"131","2007-07-11",514.099976
"132","2007-07-12",528.400024
"133","2007-07-13",525.200012
"134","2007-07-16",521.900024
"135","2007-07-17",524.599976
"136","2007-07-18",516
"137","2007-07-19",511.299988
"138","2007-07-20",507.299988
"139","2007-07-23",508.600006
"140","2007-07-24",493.100006
"141","2007-07-25",492.100006
"142","2007-07-26",478.100006
"143","2007-07-27",469.700012
"144","2007-07-30",471.899994
"145","2007-07-31",465.700012
"146","2007-08-01",468.5
"147","2007-08-02",472.399994
"148","2007-08-03",457.200012
"149","2007-08-06",483.5
"150","2007-08-07",485.899994
"151","2007-08-08",494.899994
"152","2007-08-09",469
"153","2007-08-10",470
"154","2007-08-13",465.399994
"155","2007-08-14",456.600006
"156","2007-08-15",456.100006
"157","2007-08-16",475.5
"158","2007-08-17",488.100006
"159","2007-08-20",483.899994
"160","2007-08-21",480.600006
"161","2007-08-22",484.299988
"162","2007-08-23",483.5
"163","2007-08-24",485
"164","2007-08-27",477.899994
"165","2007-08-28",461.399994
"166","2007-08-29",469.5
"167","2007-08-30",462.299988
"168","2007-08-31",468.799988
"169","2007-09-04",472.100006
"170","2007-09-05",460
"171","2007-09-06",456.600006
"172","2007-09-07",454.799988
"173","2007-09-10",453
"174","2007-09-11",460.100006
"175","2007-09-12",457.600006
"176","2007-09-13",463.600006
"177","2007-09-14",466.399994
"178","2007-09-17",460.299988
"179","2007-09-18",483.700012
"180","2007-09-19",482.700012
"181","2007-09-20",472
"182","2007-09-21",475.100006
"183","2007-09-24",465.899994
"184","2007-09-25",463.100006
"185","2007-09-26",465.5
"186","2007-09-27",468.799988
"187","2007-09-28",466.700012
"188","2007-10-01",477.200012
"189","2007-10-02",478.600006
"190","2007-10-03",478.899994
"191","2007-10-04",476.299988
"192","2007-10-05",483
"193","2007-10-08",478
"194","2007-10-09",476.200012
"195","2007-10-10",471.399994
"196","2007-10-11",483.200012
"197","2007-10-12",478.700012
"198","2007-10-15",462.399994
"199","2007-10-16",447.899994
"200","2007-10-17",446.600006
"201","2007-10-18",438.299988
"202","2007-10-19",423.600006
"203","2007-10-22",426.100006
"204","2007-10-23",424.399994
"205","2007-10-24",418.200012
"206","2007-10-25",412.299988
"207","2007-10-26",426.299988
"208","2007-10-29",426.899994
"209","2007-10-30",421.100006
"210","2007-10-31",419
"211","2007-11-01",385.100006
"212","2007-11-02",377.299988
"213","2007-11-05",359
"214","2007-11-06",350.799988
"215","2007-11-07",334.100006
"216","2007-11-08",329
"217","2007-11-09",331
"218","2007-11-12",335.700012
"219","2007-11-13",359
"220","2007-11-14",360.399994
"221","2007-11-15",345.799988
"222","2007-11-16",340
"223","2007-11-19",320
"224","2007-11-20",314
"225","2007-11-21",307.299988
"226","2007-11-23",317
"227","2007-11-26",307
"228","2007-11-27",303.200012
"229","2007-11-28",322.899994
"230","2007-11-29",322.899994
"231","2007-11-30",333
