"","date","SIMO"
"1","2007-01-03",15.77
"2","2007-01-04",16.139999
"3","2007-01-05",16.49
"4","2007-01-08",16.549999
"5","2007-01-09",17.23
"6","2007-01-10",17.9
"7","2007-01-11",18.120001
"8","2007-01-12",18.15
"9","2007-01-16",18.98
"10","2007-01-17",18.959999
"11","2007-01-18",18.42
"12","2007-01-19",18.200001
"13","2007-01-22",17.85
"14","2007-01-23",17.77
"15","2007-01-24",18
"16","2007-01-25",17.57
"17","2007-01-26",17.879999
"18","2007-01-29",18.49
"19","2007-01-30",18.6
"20","2007-01-31",18.43
"21","2007-02-01",19
"22","2007-02-02",19.940001
"23","2007-02-05",21.07
"24","2007-02-06",21.07
"25","2007-02-07",20.799999
"26","2007-02-08",20.9
"27","2007-02-09",19.790001
"28","2007-02-12",20.24
"29","2007-02-13",19.950001
"30","2007-02-14",20.459999
"31","2007-02-15",21.25
"32","2007-02-16",21.93
"33","2007-02-20",22.41
"34","2007-02-21",22.559999
"35","2007-02-22",21.9
"36","2007-02-23",21.870001
"37","2007-02-26",21.99
"38","2007-02-27",20.299999
"39","2007-02-28",20.860001
"40","2007-03-01",20.440001
"41","2007-03-02",20.030001
"42","2007-03-05",20.5
"43","2007-03-06",21.290001
"44","2007-03-07",20.73
"45","2007-03-08",21.280001
"46","2007-03-09",21.49
"47","2007-03-12",22.860001
"48","2007-03-13",23.5
"49","2007-03-14",24.24
"50","2007-03-15",23.76
"51","2007-03-16",23.57
"52","2007-03-19",23.059999
"53","2007-03-20",25.41
"54","2007-03-21",26.65
"55","2007-03-22",26.25
"56","2007-03-23",25.950001
"57","2007-03-26",26.200001
"58","2007-03-27",26.01
"59","2007-03-28",24.950001
"60","2007-03-29",22.57
"61","2007-03-30",22.52
"62","2007-04-02",22.58
"63","2007-04-03",23.469999
"64","2007-04-04",23.629999
"65","2007-04-05",23.49
"66","2007-04-09",22.73
"67","2007-04-10",21.879999
"68","2007-04-11",22.07
"69","2007-04-12",22.620001
"70","2007-04-13",21.51
"71","2007-04-16",21.25
"72","2007-04-17",21.07
"73","2007-04-18",21.200001
"74","2007-04-19",22.209999
"75","2007-04-20",21.4
"76","2007-04-23",23.02
"77","2007-04-24",23.639999
"78","2007-04-25",23.959999
"79","2007-04-26",24.690001
"80","2007-04-27",22.75
"81","2007-04-30",24.26
"82","2007-05-01",23.59
"83","2007-05-02",24.059999
"84","2007-05-03",24.07
"85","2007-05-04",23.700001
"86","2007-05-07",23.83
"87","2007-05-08",23.209999
"88","2007-05-09",23.360001
"89","2007-05-10",22.549999
"90","2007-05-11",22.780001
"91","2007-05-14",22.049999
"92","2007-05-15",20.139999
"93","2007-05-16",21.16
"94","2007-05-17",21
"95","2007-05-18",21.610001
"96","2007-05-21",21.6
"97","2007-05-22",21.51
"98","2007-05-23",20.76
"99","2007-05-24",21.6
"100","2007-05-25",21.41
"101","2007-05-29",21.92
"102","2007-05-30",22.690001
"103","2007-05-31",23.129999
"104","2007-06-01",23.23
"105","2007-06-04",22.65
"106","2007-06-05",22.99
"107","2007-06-06",22.6
"108","2007-06-07",22.51
"109","2007-06-08",22.75
"110","2007-06-11",23.24
"111","2007-06-12",23.65
"112","2007-06-13",23.879999
"113","2007-06-14",23.959999
"114","2007-06-15",24.24
"115","2007-06-18",24.280001
"116","2007-06-19",25.290001
"117","2007-06-20",24.67
"118","2007-06-21",25.85
"119","2007-06-22",25.450001
"120","2007-06-25",26.299999
"121","2007-06-26",25.01
"122","2007-06-27",24.93
"123","2007-06-28",24.99
"124","2007-06-29",24.83
"125","2007-07-02",25.4
"126","2007-07-03",25.17
"127","2007-07-05",25.469999
"128","2007-07-06",25.99
"129","2007-07-09",27.709999
"130","2007-07-10",27.67
"131","2007-07-11",27.129999
"132","2007-07-12",26.6
"133","2007-07-13",27.92
"134","2007-07-16",27.23
"135","2007-07-17",27.27
"136","2007-07-18",26.25
"137","2007-07-19",25.809999
"138","2007-07-20",25.620001
"139","2007-07-23",24.85
"140","2007-07-24",24.4
"141","2007-07-25",23.950001
