"","date","VBLT"
"1","2014-10-01",5.85
"2","2014-10-02",5.85
"3","2014-10-03",6.1
"4","2014-10-06",6.05
"5","2014-10-07",6.56
"6","2014-10-08",6.69
"7","2014-10-09",6.15
"8","2014-10-10",6.18
"9","2014-10-13",6.01
"10","2014-10-14",5.9
"11","2014-10-15",6.04
"12","2014-10-16",5.95
"13","2014-10-17",6.49
"14","2014-10-20",6.5
"15","2014-10-21",6.45
"16","2014-10-22",6
"17","2014-10-23",6.11
"18","2014-10-24",6.43
"19","2014-10-27",6.6
"20","2014-10-28",6.77
"21","2014-10-29",6.8
"22","2014-10-30",6.95
"23","2014-10-31",6.72
"24","2014-11-03",6.5
"25","2014-11-04",6.6
"26","2014-11-05",6.6
"27","2014-11-06",6.42
"28","2014-11-07",6.08
"29","2014-11-10",6.07
"30","2014-11-11",6.15
"31","2014-11-12",6.35
"32","2014-11-13",6.937
"33","2014-11-14",6.2
"34","2014-11-17",6.22
"35","2014-11-18",6.31
"36","2014-11-19",6.2
"37","2014-11-20",6.2
"38","2014-11-21",6.15
"39","2014-11-24",6.2
"40","2014-11-25",6.28
"41","2014-11-26",6.22
"42","2014-11-28",6.2
"43","2014-12-01",6.2
"44","2014-12-02",6
"45","2014-12-03",5.9
"46","2014-12-04",6
"47","2014-12-05",5.97
"48","2014-12-08",6.08
"49","2014-12-09",6.15
"50","2014-12-10",5.79
"51","2014-12-11",6.02
"52","2014-12-12",5.95
"53","2014-12-15",5.51
"54","2014-12-16",5.91
"55","2014-12-17",5.99
"56","2014-12-18",5.5
"57","2014-12-19",5.93
"58","2014-12-22",5.93
"59","2014-12-23",6.5
"60","2014-12-24",6
"61","2014-12-26",6
"62","2014-12-29",5.5
"63","2014-12-30",5.91
"64","2014-12-31",5.91
"65","2015-01-02",6.75
"66","2015-01-05",7.91
"67","2015-01-06",8.143
"68","2015-01-07",7.81
"69","2015-01-08",10.78
"70","2015-01-09",10.52
"71","2015-01-12",10.35
"72","2015-01-13",10.6
"73","2015-01-14",12.59
"74","2015-01-15",12.21
"75","2015-01-16",12.11
"76","2015-01-20",13.6
"77","2015-01-21",13.11
"78","2015-01-22",12.51
"79","2015-01-23",13.55
"80","2015-01-26",14.53
"81","2015-01-27",16.23
"82","2015-01-28",15.5
"83","2015-01-29",15.3
"84","2015-01-30",15.8
"85","2015-02-02",15.4
"86","2015-02-03",13.82
"87","2015-02-04",12.776
"88","2015-02-05",12.23
"89","2015-02-06",13.71
"90","2015-02-09",13.95
"91","2015-02-10",14.23
"92","2015-02-11",14.02
"93","2015-02-12",13.87
"94","2015-02-13",14.11
"95","2015-02-17",4.87
"96","2015-02-18",4.45
"97","2015-02-19",4.39
"98","2015-02-20",4.25
"99","2015-02-23",4.08
"100","2015-02-24",4.12
"101","2015-02-25",4.16
"102","2015-02-26",4.19
"103","2015-02-27",4.04
"104","2015-03-02",3.86
"105","2015-03-03",3.68
"106","2015-03-04",3.76
"107","2015-03-05",3.77
"108","2015-03-06",3.75
"109","2015-03-09",3.68
"110","2015-03-10",3.55
"111","2015-03-11",3.44
"112","2015-03-12",3.22
"113","2015-03-13",3.23
"114","2015-03-16",3.19
"115","2015-03-17",3.35
"116","2015-03-18",3.38
"117","2015-03-19",4.74
"118","2015-03-20",5.75
"119","2015-03-23",6.05
"120","2015-03-24",5.585
"121","2015-03-25",7.22
"122","2015-03-26",6.02
"123","2015-03-27",5.68
"124","2015-03-30",5.29
"125","2015-03-31",5.2
"126","2015-04-01",4.63
"127","2015-04-02",4.77
"128","2015-04-06",4.9
"129","2015-04-07",4.65
"130","2015-04-08",4.57
"131","2015-04-09",4.54
"132","2015-04-10",4.6
"133","2015-04-13",4.51
"134","2015-04-14",4.63
"135","2015-04-15",5.12
"136","2015-04-16",4.8
"137","2015-04-17",4.83
"138","2015-04-20",4.55
"139","2015-04-21",4.45
"140","2015-04-22",4.37
"141","2015-04-23",4.16
"142","2015-04-24",4.23
"143","2015-04-27",4.07
"144","2015-04-28",3.91
"145","2015-04-29",3.76
"146","2015-04-30",3.67
"147","2015-05-01",3.71
"148","2015-05-04",4.12
"149","2015-05-05",3.94
"150","2015-05-06",3.72
"151","2015-05-07",3.66
"152","2015-05-08",3.73
"153","2015-05-11",4.06
"154","2015-05-12",3.95
"155","2015-05-13",4.08
"156","2015-05-14",6.44
"157","2015-05-15",5.76
"158","2015-05-18",5.55
"159","2015-05-19",5.06
"160","2015-05-20",5.58
"161","2015-05-21",5.05
"162","2015-05-22",5.25
"163","2015-05-26",7.35
"164","2015-05-27",7.3
"165","2015-05-28",7.38
"166","2015-05-29",8.05
"167","2015-06-01",8.15
"168","2015-06-02",7.4
"169","2015-06-03",7.58
"170","2015-06-04",7.45
"171","2015-06-05",7.5
"172","2015-06-08",7.05
"173","2015-06-09",6.5
"174","2015-06-10",6.52
"175","2015-06-11",6.41
"176","2015-06-12",6.28
"177","2015-06-15",6.41
"178","2015-06-16",6.18
"179","2015-06-17",5.94
"180","2015-06-18",5.93
"181","2015-06-19",5.94
"182","2015-06-22",6.22
"183","2015-06-23",6.34
"184","2015-06-24",6.92
"185","2015-06-25",6.85
"186","2015-06-26",6.43
"187","2015-06-29",6.04
"188","2015-06-30",6.17
"189","2015-07-01",6.2
"190","2015-07-02",6.25
"191","2015-07-06",6.24
"192","2015-07-07",6.1
"193","2015-07-08",6
"194","2015-07-09",5.87
"195","2015-07-10",6.19
"196","2015-07-13",6.36
"197","2015-07-14",6.75
"198","2015-07-15",6.8
"199","2015-07-16",6.78
"200","2015-07-17",6.69
"201","2015-07-20",6.47
"202","2015-07-21",6.92
"203","2015-07-22",6.79
"204","2015-07-23",6.77
"205","2015-07-24",6.58
"206","2015-07-27",6.28
"207","2015-07-28",6.147
"208","2015-07-29",6.23
"209","2015-07-30",5.98
"210","2015-07-31",6
"211","2015-08-03",5.74
"212","2015-08-04",5.67
"213","2015-08-05",5.78
"214","2015-08-06",5.58
"215","2015-08-07",5.17
"216","2015-08-10",5.33
"217","2015-08-11",5.01
"218","2015-08-12",5.32
"219","2015-08-13",5.63
"220","2015-08-14",5.34
"221","2015-08-17",5.26
"222","2015-08-18",5.21
"223","2015-08-19",5.23
"224","2015-08-20",5.03
"225","2015-08-21",5.25
"226","2015-08-24",5.02
"227","2015-08-25",5.205
"228","2015-08-26",5.48
"229","2015-08-27",5.42
"230","2015-08-28",5.31
"231","2015-08-31",5.39
"232","2015-09-01",5.35
"233","2015-09-02",5.43
"234","2015-09-03",5.355
"235","2015-09-04",5.27
"236","2015-09-08",5.32
"237","2015-09-09",5.08
"238","2015-09-10",5.33
