"","date","PLRX"
"1","2020-06-03",21.299999
"2","2020-06-04",23.360001
"3","2020-06-05",22.25
"4","2020-06-08",23.200001
"5","2020-06-09",22
"6","2020-06-10",23.280001
"7","2020-06-11",22.73
"8","2020-06-12",22.85
"9","2020-06-15",25.690001
"10","2020-06-16",25.040001
"11","2020-06-17",25.99
"12","2020-06-18",26.639999
"13","2020-06-19",28.01
"14","2020-06-22",28
"15","2020-06-23",29.52
"16","2020-06-24",30.42
"17","2020-06-25",31.08
"18","2020-06-26",31.719999
"19","2020-06-29",35.259998
"20","2020-06-30",32.459999
"21","2020-07-01",29.299999
"22","2020-07-02",29.530001
"23","2020-07-06",28.799999
"24","2020-07-07",27
"25","2020-07-08",26.59
"26","2020-07-09",25.76
"27","2020-07-10",25.17
"28","2020-07-13",22.700001
"29","2020-07-14",22.6
"30","2020-07-15",22.34
"31","2020-07-16",24.469999
"32","2020-07-17",24.639999
"33","2020-07-20",27.209999
"34","2020-07-21",27.290001
"35","2020-07-22",25.48
"36","2020-07-23",25.76
"37","2020-07-24",24.040001
"38","2020-07-27",24.5
"39","2020-07-28",24.379999
"40","2020-07-29",24.299999
"41","2020-07-30",24.040001
"42","2020-07-31",23.290001
"43","2020-08-03",23.76
"44","2020-08-04",23.809999
"45","2020-08-05",24
"46","2020-08-06",25.09
"47","2020-08-07",25.860001
"48","2020-08-10",26.549999
"49","2020-08-11",26.450001
"50","2020-08-12",24.290001
"51","2020-08-13",24.5
"52","2020-08-14",24.370001
"53","2020-08-17",24.76
"54","2020-08-18",24.639999
"55","2020-08-19",24.6
"56","2020-08-20",25.389999
"57","2020-08-21",25.18
"58","2020-08-24",24.450001
"59","2020-08-25",24.459999
"60","2020-08-26",24.559999
"61","2020-08-27",24.4
"62","2020-08-28",25.99
"63","2020-08-31",25.15
"64","2020-09-01",25.01
"65","2020-09-02",24.51
"66","2020-09-03",24.309999
"67","2020-09-04",23.290001
"68","2020-09-08",24.200001
"69","2020-09-09",24.889999
"70","2020-09-10",26.219999
"71","2020-09-11",26.219999
"72","2020-09-14",27.48
"73","2020-09-15",25.99
"74","2020-09-16",27.459999
"75","2020-09-17",27.620001
"76","2020-09-18",28.209999
"77","2020-09-21",23.889999
"78","2020-09-22",23.52
"79","2020-09-23",22.07
"80","2020-09-24",22.42
"81","2020-09-25",21.540001
"82","2020-09-28",22.540001
"83","2020-09-29",23.74
"84","2020-09-30",22.65
"85","2020-10-01",19.889999
"86","2020-10-02",20.09
"87","2020-10-05",21.43
"88","2020-10-06",21.92
"89","2020-10-07",24.35
"90","2020-10-08",23.58
"91","2020-10-09",24.32
"92","2020-10-12",24.870001
"93","2020-10-13",24.52
"94","2020-10-14",23.559999
"95","2020-10-15",24.25
"96","2020-10-16",24.85
"97","2020-10-19",24.26
"98","2020-10-20",22.809999
"99","2020-10-21",22.860001
"100","2020-10-22",23.07
"101","2020-10-23",23.77
"102","2020-10-26",22.719999
"103","2020-10-27",22.16
"104","2020-10-28",20.799999
"105","2020-10-29",21.530001
"106","2020-10-30",21.620001
"107","2020-11-02",21.16
"108","2020-11-03",21.379999
"109","2020-11-04",21.879999
"110","2020-11-05",22.559999
"111","2020-11-06",21.84
"112","2020-11-09",22.52
"113","2020-11-10",23.57
"114","2020-11-11",25.24
"115","2020-11-12",25.709999
"116","2020-11-13",24.76
"117","2020-11-16",26.26
"118","2020-11-17",28.969999
"119","2020-11-18",26.280001
"120","2020-11-19",27.370001
"121","2020-11-20",28.620001
"122","2020-11-23",28.85
"123","2020-11-24",29.43
"124","2020-11-25",29.77
"125","2020-11-27",32.990002
