"","date","STTK"
"1","2020-10-09",19.35
"2","2020-10-12",19
"3","2020-10-13",20.040001
"4","2020-10-14",19.200001
"5","2020-10-15",19.540001
"6","2020-10-16",20
"7","2020-10-19",20.34
"8","2020-10-20",21.049999
"9","2020-10-21",22.049999
"10","2020-10-22",21.76
"11","2020-10-23",21.76
"12","2020-10-26",23.780001
"13","2020-10-27",24.950001
"14","2020-10-28",25.190001
"15","2020-10-29",24.85
"16","2020-10-30",25.85
"17","2020-11-02",26.870001
"18","2020-11-03",27.98
"19","2020-11-04",28.440001
"20","2020-11-05",27.959999
"21","2020-11-06",26.809999
"22","2020-11-09",23.459999
"23","2020-11-10",23.059999
"24","2020-11-11",26.1
"25","2020-11-12",28.74
"26","2020-11-13",29.59
"27","2020-11-16",31.809999
"28","2020-11-17",32.259998
"29","2020-11-18",30.15
"30","2020-11-19",30.16
"31","2020-11-20",32.580002
"32","2020-11-23",35
"33","2020-11-24",34.529999
"34","2020-11-25",35.43
"35","2020-11-27",34.48
