"","date","AVLR"
"1","2018-06-15",44.939999
"2","2018-06-18",44.110001
"3","2018-06-19",45.990002
"4","2018-06-20",45.009998
"5","2018-06-21",51.040001
"6","2018-06-22",51
"7","2018-06-25",49.599998
"8","2018-06-26",47.849998
"9","2018-06-27",45.700001
"10","2018-06-28",44.580002
"11","2018-06-29",53.369999
"12","2018-07-02",48.720001
"13","2018-07-03",49.59
"14","2018-07-05",49.099998
"15","2018-07-06",47.389999
"16","2018-07-09",47.5
"17","2018-07-10",44.959999
"18","2018-07-11",42.400002
"19","2018-07-12",43.990002
"20","2018-07-13",43.75
"21","2018-07-16",43.619999
"22","2018-07-17",44.169998
"23","2018-07-18",43.07
"24","2018-07-19",42.290001
"25","2018-07-20",42.93
"26","2018-07-23",42.259998
"27","2018-07-24",41.189999
"28","2018-07-25",44.349998
"29","2018-07-26",45.310001
"30","2018-07-27",42.82
"31","2018-07-30",40.400002
"32","2018-07-31",38.34
"33","2018-08-01",38.18
"34","2018-08-02",37.130001
"35","2018-08-03",37.16
"36","2018-08-06",40.75
"37","2018-08-07",42.209999
"38","2018-08-08",42.509998
"39","2018-08-09",45.970001
"40","2018-08-10",42.41
"41","2018-08-13",38.509998
"42","2018-08-14",36.029999
"43","2018-08-15",34.669998
"44","2018-08-16",39.759998
"45","2018-08-17",39.25
"46","2018-08-20",40.560001
"47","2018-08-21",42.349998
"48","2018-08-22",41.720001
"49","2018-08-23",40.240002
"50","2018-08-24",39.52
"51","2018-08-27",39.509998
"52","2018-08-28",39.91
"53","2018-08-29",39
"54","2018-08-30",37.419998
"55","2018-08-31",36.990002
"56","2018-09-04",39.869999
"57","2018-09-05",39.619999
"58","2018-09-06",40.830002
"59","2018-09-07",41.220001
"60","2018-09-10",42.220001
"61","2018-09-11",41
"62","2018-09-12",40.91
"63","2018-09-13",42.27
"64","2018-09-14",42.470001
"65","2018-09-17",41.810001
"66","2018-09-18",43.549999
"67","2018-09-19",43.490002
"68","2018-09-20",41.419998
"69","2018-09-21",40.48
"70","2018-09-24",40.950001
"71","2018-09-25",38.59
"72","2018-09-26",36.77
"73","2018-09-27",35.82
"74","2018-09-28",34.93
