"","date","BRP"
"1","2019-10-24",16.370001
"2","2019-10-25",16.15
"3","2019-10-28",15.7
"4","2019-10-29",15.41
"5","2019-10-30",15.75
"6","2019-10-31",15.75
"7","2019-11-01",16.139999
"8","2019-11-04",15.87
"9","2019-11-05",16.059999
"10","2019-11-06",16.299999
"11","2019-11-07",16.549999
"12","2019-11-08",16.58
"13","2019-11-11",16.76
"14","2019-11-12",16.84
"15","2019-11-13",17.02
"16","2019-11-14",17.52
"17","2019-11-15",17.469999
"18","2019-11-18",17.1
"19","2019-11-19",16.93
"20","2019-11-20",17
"21","2019-11-21",16.9
"22","2019-11-22",16.889999
"23","2019-11-25",17
"24","2019-11-26",17.02
"25","2019-11-27",17.25
"26","2019-11-29",17.219999
"27","2019-12-02",16.799999
"28","2019-12-03",16
"29","2019-12-04",14.81
"30","2019-12-05",13.62
"31","2019-12-06",14.78
"32","2019-12-09",14.25
"33","2019-12-10",14.48
"34","2019-12-11",14.62
"35","2019-12-12",14.47
"36","2019-12-13",14.15
"37","2019-12-16",13.62
"38","2019-12-17",14.8
"39","2019-12-18",15.31
"40","2019-12-19",15.97
"41","2019-12-20",16.02
"42","2019-12-23",15.47
"43","2019-12-24",15.61
"44","2019-12-26",15.55
"45","2019-12-27",15.56
"46","2019-12-30",15.74
"47","2019-12-31",16.049999
"48","2020-01-02",16.32
"49","2020-01-03",16.68
"50","2020-01-06",16.43
"51","2020-01-07",16.23
"52","2020-01-08",16.139999
"53","2020-01-09",16.1
"54","2020-01-10",16.030001
"55","2020-01-13",16.34
"56","2020-01-14",16.16
"57","2020-01-15",16.219999
"58","2020-01-16",16.51
"59","2020-01-17",16.469999
"60","2020-01-21",16.450001
"61","2020-01-22",16.459999
"62","2020-01-23",16.33
"63","2020-01-24",16.25
"64","2020-01-27",16.370001
"65","2020-01-28",16.370001
"66","2020-01-29",15.84
"67","2020-01-30",15.64
"68","2020-01-31",15.08
"69","2020-02-03",15.86
"70","2020-02-04",16.68
"71","2020-02-05",16.77
"72","2020-02-06",16.924999
"73","2020-02-07",16.99
"74","2020-02-10",16.440001
"75","2020-02-11",16.469999
"76","2020-02-12",16.34
"77","2020-02-13",16.84
"78","2020-02-14",16.68
"79","2020-02-18",16.51
"80","2020-02-19",16.93
"81","2020-02-20",17.309999
"82","2020-02-21",17.42
"83","2020-02-24",17.110001
"84","2020-02-25",17.190001
"85","2020-02-26",17.17
"86","2020-02-27",16.4
"87","2020-02-28",15.44
"88","2020-03-02",16.18
"89","2020-03-03",16.08
"90","2020-03-04",16.469999
"91","2020-03-05",16.51
"92","2020-03-06",16.190001
"93","2020-03-09",14.51
"94","2020-03-10",14.23
"95","2020-03-11",14.03
"96","2020-03-12",13.2
"97","2020-03-13",13.48
"98","2020-03-16",11.12
"99","2020-03-17",11.63
"100","2020-03-18",12.09
"101","2020-03-19",11.5
"102","2020-03-20",11.17
"103","2020-03-23",10.38
"104","2020-03-24",10.19
"105","2020-03-25",11.57
"106","2020-03-26",11.72
"107","2020-03-27",11.29
"108","2020-03-30",11.04
"109","2020-03-31",10.55
"110","2020-04-01",9.25
"111","2020-04-02",9.36
"112","2020-04-03",8.92
"113","2020-04-06",9.95
"114","2020-04-07",9.97
"115","2020-04-08",10.54
"116","2020-04-09",10.95
"117","2020-04-13",10.69
"118","2020-04-14",10.71
"119","2020-04-15",10.07
"120","2020-04-16",9.94
"121","2020-04-17",10.23
"122","2020-04-20",9.57
"123","2020-04-21",9.34
"124","2020-04-22",9.66
"125","2020-04-23",9.54
"126","2020-04-24",9.65
"127","2020-04-27",9.65
"128","2020-04-28",9.6
"129","2020-04-29",10.04
"130","2020-04-30",10.02
"131","2020-05-01",10.38
"132","2020-05-04",10.25
"133","2020-05-05",10.245
"134","2020-05-06",10.01
"135","2020-05-07",10.31
"136","2020-05-08",11.04
"137","2020-05-11",10.49
"138","2020-05-12",9.99
"139","2020-05-13",9.1
"140","2020-05-14",10.19
"141","2020-05-15",10.83
"142","2020-05-18",11.64
"143","2020-05-19",11.34
"144","2020-05-20",11.6
"145","2020-05-21",11.98
"146","2020-05-22",11.76
"147","2020-05-26",12.22
"148","2020-05-27",13.095
"149","2020-05-28",12.44
"150","2020-05-29",12.4
"151","2020-06-01",12.55
"152","2020-06-02",13.21
"153","2020-06-03",14.28
"154","2020-06-04",14.42
"155","2020-06-05",14.71
"156","2020-06-08",14.97
"157","2020-06-09",14.92
"158","2020-06-10",15.09
"159","2020-06-11",14.71
"160","2020-06-12",14.78
"161","2020-06-15",14.59
"162","2020-06-16",14.79
"163","2020-06-17",14.75
"164","2020-06-18",15.4
"165","2020-06-19",15.87
"166","2020-06-22",15.19
"167","2020-06-23",14.51
"168","2020-06-24",13.67
"169","2020-06-25",16.540001
"170","2020-06-26",18.299999
"171","2020-06-29",16.9
"172","2020-06-30",17.27
"173","2020-07-01",16.610001
"174","2020-07-02",16.52
"175","2020-07-06",17.110001
"176","2020-07-07",16.5
"177","2020-07-08",16.35
"178","2020-07-09",16.469999
"179","2020-07-10",16.91
"180","2020-07-13",16.84
"181","2020-07-14",16.709999
"182","2020-07-15",16.41
"183","2020-07-16",16.950001
"184","2020-07-17",16.66
"185","2020-07-20",17.139999
"186","2020-07-21",17.92
"187","2020-07-22",17.540001
"188","2020-07-23",17.469999
"189","2020-07-24",16.950001
"190","2020-07-27",16.940001
"191","2020-07-28",16.620001
"192","2020-07-29",16.68
"193","2020-07-30",16.790001
"194","2020-07-31",17.450001
"195","2020-08-03",17.610001
"196","2020-08-04",17.4
"197","2020-08-05",17.879999
"198","2020-08-06",17.65
"199","2020-08-07",19.23
"200","2020-08-10",20.75
"201","2020-08-11",20.65
"202","2020-08-12",20.610001
"203","2020-08-13",21.01
"204","2020-08-14",22.17
"205","2020-08-17",21.66
"206","2020-08-18",21.629999
"207","2020-08-19",22.42
"208","2020-08-20",22.799999
"209","2020-08-21",23.280001
"210","2020-08-24",24.889999
"211","2020-08-25",25.049999
"212","2020-08-26",24.549999
"213","2020-08-27",24.559999
"214","2020-08-28",24.690001
"215","2020-08-31",27.51
"216","2020-09-01",27.49
"217","2020-09-02",28.705
"218","2020-09-03",27.26
"219","2020-09-04",28.469999
"220","2020-09-08",27.08
"221","2020-09-09",27.98
"222","2020-09-10",27.67
"223","2020-09-11",27.049999
"224","2020-09-14",27.77
"225","2020-09-15",27.110001
"226","2020-09-16",26.719999
"227","2020-09-17",25.709999
"228","2020-09-18",26.379999
"229","2020-09-21",25.02
"230","2020-09-22",25.799999
"231","2020-09-23",24.77
"232","2020-09-24",24.42
"233","2020-09-25",24.98
"234","2020-09-28",25.389999
"235","2020-09-29",25.27
"236","2020-09-30",24.91
"237","2020-10-01",26.799999
"238","2020-10-02",26.73
"239","2020-10-05",26.799999
"240","2020-10-06",26.540001
"241","2020-10-07",27.17
"242","2020-10-08",27.23
"243","2020-10-09",27.299999
"244","2020-10-12",28.6
"245","2020-10-13",29.08
"246","2020-10-14",27.51
"247","2020-10-15",27.639999
"248","2020-10-16",27.66
"249","2020-10-19",26.549999
"250","2020-10-20",26.68
"251","2020-10-21",25.924999
"252","2020-10-22",26.01
"253","2020-10-23",26.629999
"254","2020-10-26",25.790001
"255","2020-10-27",25.959999
"256","2020-10-28",25.549999
"257","2020-10-29",25.6
"258","2020-10-30",25.5
"259","2020-11-02",26.07
"260","2020-11-03",26.950001
"261","2020-11-04",28.51
"262","2020-11-05",29
"263","2020-11-06",29.959999
"264","2020-11-09",29.6
"265","2020-11-10",30.1
"266","2020-11-11",30.280001
"267","2020-11-12",30.24
"268","2020-11-13",31.9
"269","2020-11-16",32.580002
"270","2020-11-17",31.860001
"271","2020-11-18",31.08
"272","2020-11-19",31.940001
"273","2020-11-20",31.299999
"274","2020-11-23",31.58
"275","2020-11-24",31.82
"276","2020-11-25",30.93
"277","2020-11-27",30.99
