"","date","BPYPP"
"1","2019-03-14",24.629999
"2","2019-03-15",24.799999
"3","2019-03-18",24.82
"4","2019-03-19",24.85
"5","2019-03-20",24.82
"6","2019-03-21",24.790001
"7","2019-03-22",24.799999
"8","2019-03-25",24.77
"9","2019-03-26",24.82
"10","2019-03-27",24.83
"11","2019-03-28",24.849001
"12","2019-03-29",24.83
"13","2019-04-01",24.85
"14","2019-04-02",24.889999
"15","2019-04-03",24.969999
"16","2019-04-04",25.02
"17","2019-04-05",24.969999
"18","2019-04-08",25.02
"19","2019-04-09",24.91
"20","2019-04-10",25.1
"21","2019-04-11",25.08
"22","2019-04-12",25.129999
"23","2019-04-15",25.17
"24","2019-04-16",25.075001
"25","2019-04-17",25.040001
"26","2019-04-18",25.09
"27","2019-04-22",25.049999
"28","2019-04-23",25.09
"29","2019-04-24",25.15
"30","2019-04-25",25.190001
"31","2019-04-26",25.200001
"32","2019-04-29",25.190001
"33","2019-04-30",25.1
"34","2019-05-01",25.099001
"35","2019-05-02",25.094
"36","2019-05-03",25.09
"37","2019-05-06",25.076
"38","2019-05-07",25.049999
"39","2019-05-08",25.07
"40","2019-05-09",25.049999
"41","2019-05-10",25.049999
"42","2019-05-13",24.969999
"43","2019-05-14",25.030001
"44","2019-05-15",25.129999
"45","2019-05-16",25.129999
"46","2019-05-17",25.129999
"47","2019-05-20",25.1
"48","2019-05-21",25.17
"49","2019-05-22",25.190001
"50","2019-05-23",25.219999
"51","2019-05-24",25.219999
"52","2019-05-28",25.299999
"53","2019-05-29",25.299999
"54","2019-05-30",24.98
"55","2019-05-31",24.959999
"56","2019-06-03",24.959999
"57","2019-06-04",25.049999
"58","2019-06-05",25.07
"59","2019-06-06",25.08
"60","2019-06-07",25.09
"61","2019-06-10",25.01
"62","2019-06-11",25.120001
"63","2019-06-12",25.040001
"64","2019-06-13",25.040001
"65","2019-06-14",25.139999
"66","2019-06-17",25.190001
"67","2019-06-18",25.15
"68","2019-06-19",25.200001
"69","2019-06-20",25.32
"70","2019-06-21",25.200001
"71","2019-06-24",25.110001
"72","2019-06-25",25.143
"73","2019-06-26",25.08
"74","2019-06-27",25.1
"75","2019-06-28",25.209999
"76","2019-07-01",25.07
"77","2019-07-02",25.15
"78","2019-07-03",25.1
"79","2019-07-05",25.16
"80","2019-07-08",25.139999
"81","2019-07-09",25.08
"82","2019-07-10",25.18
"83","2019-07-11",25.15
"84","2019-07-12",25.24
"85","2019-07-15",25.23
"86","2019-07-16",25.34
"87","2019-07-17",25.379999
"88","2019-07-18",25.389999
