"","date","EDN"
"1","2007-04-26",17.65
"2","2007-04-27",17.75
"3","2007-04-30",18.4
"4","2007-05-01",18.290001
"5","2007-05-02",18
"6","2007-05-03",18.1
"7","2007-05-04",18.190001
"8","2007-05-07",18
"9","2007-05-08",17.799999
"10","2007-05-09",18.15
"11","2007-05-10",17.91
"12","2007-05-11",18.299999
"13","2007-05-14",18.200001
"14","2007-05-15",18.1
"15","2007-05-16",18
"16","2007-05-17",18.200001
"17","2007-05-18",18.16
"18","2007-05-21",18.08
"19","2007-05-22",18.01
"20","2007-05-23",18.35
"21","2007-05-24",17.940001
"22","2007-05-25",17.780001
"23","2007-05-29",17.969999
"24","2007-05-30",18.17
"25","2007-05-31",18.379999
"26","2007-06-01",18.700001
"27","2007-06-04",19.02
"28","2007-06-05",18.75
"29","2007-06-06",18.549999
"30","2007-06-07",18.450001
"31","2007-06-08",18.799999
"32","2007-06-11",18.799999
"33","2007-06-12",18.5
"34","2007-06-13",18.860001
"35","2007-06-14",19.290001
"36","2007-06-15",19.85
"37","2007-06-18",19.969999
"38","2007-06-19",21.799999
"39","2007-06-20",21.5
"40","2007-06-21",21.75
"41","2007-06-22",21.67
"42","2007-06-25",21.6
"43","2007-06-26",21.34
"44","2007-06-27",20.68
"45","2007-06-28",20.33
"46","2007-06-29",20.43
"47","2007-07-02",21.059999
"48","2007-07-03",21.65
"49","2007-07-05",22.440001
"50","2007-07-06",22.1
"51","2007-07-09",22.52
"52","2007-07-10",22.43
"53","2007-07-11",22.9
"54","2007-07-12",23.290001
"55","2007-07-13",24.68
"56","2007-07-16",24.08
"57","2007-07-17",23.700001
"58","2007-07-18",23.24
"59","2007-07-19",23.49
"60","2007-07-20",23.23
"61","2007-07-23",22.85
"62","2007-07-24",22.24
"63","2007-07-25",21.25
"64","2007-07-26",20.360001
"65","2007-07-27",20.92
"66","2007-07-30",21.67
"67","2007-07-31",21.280001
"68","2007-08-01",20.299999
"69","2007-08-02",21
"70","2007-08-03",20.51
"71","2007-08-06",20.07
"72","2007-08-07",20.49
"73","2007-08-08",21
"74","2007-08-09",20.4
"75","2007-08-10",20.23
"76","2007-08-13",20.49
"77","2007-08-14",19.950001
"78","2007-08-15",19.120001
"79","2007-08-16",19
"80","2007-08-17",19.299999
"81","2007-08-20",19.48
"82","2007-08-21",19.49
"83","2007-08-22",19.9
"84","2007-08-23",20.059999
"85","2007-08-24",20.43
"86","2007-08-27",20.16
"87","2007-08-28",20.09
"88","2007-08-29",20.940001
"89","2007-08-30",21.91
"90","2007-08-31",22.17
"91","2007-09-04",21.450001
"92","2007-09-05",21.9
"93","2007-09-06",21.73
"94","2007-09-07",20.57
"95","2007-09-10",20.059999
"96","2007-09-11",20.1
"97","2007-09-12",20.360001
"98","2007-09-13",20.1
"99","2007-09-14",21.32
"100","2007-09-17",21.299999
"101","2007-09-18",21.57
"102","2007-09-19",21.57
"103","2007-09-20",21.73
"104","2007-09-21",22.200001
"105","2007-09-24",22.25
"106","2007-09-25",22.1
"107","2007-09-26",21.91
"108","2007-09-27",23.4
"109","2007-09-28",23.66
"110","2007-10-01",23.879999
