"","date","SDC"
"1","2019-09-12",16.67
"2","2019-09-13",18.68
"3","2019-09-16",18.9
"4","2019-09-17",19.07
"5","2019-09-18",19.48
"6","2019-09-19",18.639999
"7","2019-09-20",18.25
"8","2019-09-23",17.15
"9","2019-09-24",15.68
"10","2019-09-25",14.505
"11","2019-09-26",12.94
"12","2019-09-27",13
"13","2019-09-30",13.88
"14","2019-10-01",13.17
"15","2019-10-02",12.955
"16","2019-10-03",13.7
"17","2019-10-04",14.72
"18","2019-10-07",13.49
"19","2019-10-08",11.335
"20","2019-10-09",10.97
"21","2019-10-10",10.235
"22","2019-10-11",11.13
"23","2019-10-14",9.7
"24","2019-10-15",10.31
"25","2019-10-16",10
"26","2019-10-17",9.41
"27","2019-10-18",9.46
"28","2019-10-21",9.13
"29","2019-10-22",9.5
"30","2019-10-23",10.02
"31","2019-10-24",10.82
"32","2019-10-25",11.38
"33","2019-10-28",12.06
"34","2019-10-29",11.76
"35","2019-10-30",12.19
"36","2019-10-31",11.695
"37","2019-11-01",12.52
"38","2019-11-04",13.05
"39","2019-11-05",12.59
"40","2019-11-06",11.99
"41","2019-11-07",11.99
"42","2019-11-08",11.59
"43","2019-11-11",11.85
"44","2019-11-12",11.08
"45","2019-11-13",8.83
"46","2019-11-14",8.89
"47","2019-11-15",8.6
"48","2019-11-18",8.04
"49","2019-11-19",8.96
"50","2019-11-20",9
"51","2019-11-21",8.99
"52","2019-11-22",8.94
"53","2019-11-25",9.37
"54","2019-11-26",9.595
"55","2019-11-27",9.98
"56","2019-11-29",9.97
"57","2019-12-02",9.86
"58","2019-12-03",9.3
"59","2019-12-04",8.57
"60","2019-12-05",8.42
"61","2019-12-06",8.07
"62","2019-12-09",8.24
"63","2019-12-10",7.96
"64","2019-12-11",8.12
"65","2019-12-12",7.8
"66","2019-12-13",8
"67","2019-12-16",7.95
"68","2019-12-17",7.8
"69","2019-12-18",7.81
"70","2019-12-19",8.55
"71","2019-12-20",8.1
"72","2019-12-23",8.34
"73","2019-12-24",8.42
"74","2019-12-26",8.33
"75","2019-12-27",8.49
"76","2019-12-30",8.22
"77","2019-12-31",8.74
"78","2020-01-02",8.32
"79","2020-01-03",8.38
"80","2020-01-06",10.19
"81","2020-01-07",10.14
"82","2020-01-08",10.6
"83","2020-01-09",9.825
"84","2020-01-10",9.22
"85","2020-01-13",10.2
"86","2020-01-14",11.7
"87","2020-01-15",13.72
"88","2020-01-16",13.26
"89","2020-01-17",12.895
"90","2020-01-21",12.73
"91","2020-01-22",13.5
"92","2020-01-23",13.69
"93","2020-01-24",13.07
"94","2020-01-27",13.26
"95","2020-01-28",12.96
"96","2020-01-29",13.92
"97","2020-01-30",13.44
"98","2020-01-31",13.39
"99","2020-02-03",13.05
"100","2020-02-04",13.73
"101","2020-02-05",14.15
"102","2020-02-06",14.145
"103","2020-02-07",14.54
"104","2020-02-10",14.38
"105","2020-02-11",14.86
"106","2020-02-12",14.91
"107","2020-02-13",15.33
"108","2020-02-14",12.83
"109","2020-02-18",13.08
"110","2020-02-19",12.37
"111","2020-02-20",12.07
"112","2020-02-21",12.015
"113","2020-02-24",11.81
"114","2020-02-25",11.33
"115","2020-02-26",8
"116","2020-02-27",7.81
"117","2020-02-28",7.48
"118","2020-03-02",7.33
"119","2020-03-03",7.61
"120","2020-03-04",8.19
"121","2020-03-05",8.25
"122","2020-03-06",8.06
"123","2020-03-09",7
"124","2020-03-10",6.86
"125","2020-03-11",6.49
"126","2020-03-12",5.3
"127","2020-03-13",5.49
"128","2020-03-16",4.4
"129","2020-03-17",4.98
"130","2020-03-18",3.99
"131","2020-03-19",4.01
"132","2020-03-20",4.1
"133","2020-03-23",4.09
"134","2020-03-24",4.28
"135","2020-03-25",4.28
"136","2020-03-26",4.85
"137","2020-03-27",5.5
"138","2020-03-30",4.94
"139","2020-03-31",4.67
"140","2020-04-01",4.16
"141","2020-04-02",4.05
"142","2020-04-03",3.88
"143","2020-04-06",4.21
"144","2020-04-07",4.04
"145","2020-04-08",4.35
"146","2020-04-09",4.36
"147","2020-04-13",4.12
"148","2020-04-14",4.27
"149","2020-04-15",4.18
"150","2020-04-16",4.16
"151","2020-04-17",4.65
"152","2020-04-20",4.685
"153","2020-04-21",4.77
"154","2020-04-22",5.53
"155","2020-04-23",5.28
"156","2020-04-24",5.28
"157","2020-04-27",5.39
"158","2020-04-28",6.71
"159","2020-04-29",6.82
"160","2020-04-30",7.72
"161","2020-05-01",6.95
"162","2020-05-04",6.95
"163","2020-05-05",6.75
"164","2020-05-06",7.46
"165","2020-05-07",7.56
"166","2020-05-08",8.02
"167","2020-05-11",9.19
"168","2020-05-12",8.09
"169","2020-05-13",7.72
"170","2020-05-14",7
"171","2020-05-15",6.86
"172","2020-05-18",6.76
"173","2020-05-19",7.16
"174","2020-05-20",6.98
"175","2020-05-21",7.64
"176","2020-05-22",7.6
"177","2020-05-26",7.5
"178","2020-05-27",7.84
"179","2020-05-28",7.63
"180","2020-05-29",7.81
"181","2020-06-01",8.07
"182","2020-06-02",8.33
"183","2020-06-03",8.66
"184","2020-06-04",8.47
"185","2020-06-05",8.81
"186","2020-06-08",9.41
"187","2020-06-09",8.7
"188","2020-06-10",8.16
"189","2020-06-11",7.16
"190","2020-06-12",7.36
"191","2020-06-15",7.54
"192","2020-06-16",8.09
"193","2020-06-17",7.91
"194","2020-06-18",8.04
"195","2020-06-19",7.98
"196","2020-06-22",7.39
"197","2020-06-23",7.65
"198","2020-06-24",7.14
"199","2020-06-25",7.45
"200","2020-06-26",7.5
"201","2020-06-29",7.71
"202","2020-06-30",7.9
"203","2020-07-01",8.1
"204","2020-07-02",8.1
"205","2020-07-06",8.33
"206","2020-07-07",8.21
"207","2020-07-08",8.24
"208","2020-07-09",8.08
"209","2020-07-10",8.26
"210","2020-07-13",8.865
"211","2020-07-14",8.73
"212","2020-07-15",8.75
"213","2020-07-16",8.56
"214","2020-07-17",8.47
"215","2020-07-20",8.42
"216","2020-07-21",9.265
"217","2020-07-22",9.12
"218","2020-07-23",8.46
"219","2020-07-24",8.44
"220","2020-07-27",8.82
"221","2020-07-28",8.45
"222","2020-07-29",8.67
"223","2020-07-30",8.65
"224","2020-07-31",8.45
"225","2020-08-03",8.53
"226","2020-08-04",8.79
"227","2020-08-05",9.37
"228","2020-08-06",9.05
"229","2020-08-07",9.05
"230","2020-08-10",8.93
"231","2020-08-11",8.95
"232","2020-08-12",9.32
"233","2020-08-13",7.84
"234","2020-08-14",7.63
"235","2020-08-17",7.29
"236","2020-08-18",7.72
"237","2020-08-19",7.97
"238","2020-08-20",7.67
"239","2020-08-21",7.67
"240","2020-08-24",7.51
"241","2020-08-25",7.31
"242","2020-08-26",7.52
"243","2020-08-27",7.58
"244","2020-08-28",7.54
"245","2020-08-31",8.12
"246","2020-09-01",7.87
"247","2020-09-02",9.8
"248","2020-09-03",10.27
"249","2020-09-04",9.575
"250","2020-09-08",10.57
"251","2020-09-09",11.27
"252","2020-09-10",11.37
"253","2020-09-11",10.72
"254","2020-09-14",11.56
"255","2020-09-15",11.93
"256","2020-09-16",11.75
"257","2020-09-17",11.64
"258","2020-09-18",11.83
"259","2020-09-21",10.59
"260","2020-09-22",11.19
"261","2020-09-23",10.36
"262","2020-09-24",10.67
"263","2020-09-25",11.26
"264","2020-09-28",11.53
"265","2020-09-29",11.61
"266","2020-09-30",11.68
"267","2020-10-01",11.585
"268","2020-10-02",11.2
"269","2020-10-05",11.48
"270","2020-10-06",11.68
"271","2020-10-07",12.53
"272","2020-10-08",12.7
"273","2020-10-09",12.37
"274","2020-10-12",12.51
"275","2020-10-13",12.28
"276","2020-10-14",11.86
"277","2020-10-15",12.13
"278","2020-10-16",11.92
"279","2020-10-19",11.07
"280","2020-10-20",11.375
"281","2020-10-21",11.23
"282","2020-10-22",12.115
"283","2020-10-23",11.36
"284","2020-10-26",10.19
"285","2020-10-27",9.88
"286","2020-10-28",9.42
"287","2020-10-29",9.29
"288","2020-10-30",8.9
"289","2020-11-02",8.94
"290","2020-11-03",9.39
"291","2020-11-04",9.59
"292","2020-11-05",10.15
"293","2020-11-06",10.1
"294","2020-11-09",9.99
"295","2020-11-10",9.92
"296","2020-11-11",9.8
"297","2020-11-12",9.49
"298","2020-11-13",9.41
"299","2020-11-16",9.96
"300","2020-11-17",10.25
"301","2020-11-18",11.28
"302","2020-11-19",11.07
"303","2020-11-20",10.91
"304","2020-11-23",12.48
"305","2020-11-24",12.03
"306","2020-11-25",12.1
"307","2020-11-27",12.18
