"","date","JKS"
"1","2010-05-14",11.01
"2","2010-05-17",10.74
"3","2010-05-18",10.25
"4","2010-05-19",9.74
"5","2010-05-20",8.47
"6","2010-05-21",9
"7","2010-05-24",9.1
"8","2010-05-25",9.05
"9","2010-05-26",9.43
"10","2010-05-27",10.2
"11","2010-05-28",10.45
"12","2010-06-01",10.34
"13","2010-06-02",9.91
"14","2010-06-03",9.74
"15","2010-06-04",9.65
"16","2010-06-07",9.45
"17","2010-06-08",8.8
"18","2010-06-09",8.61
"19","2010-06-10",9.03
"20","2010-06-11",9.65
"21","2010-06-14",10.13
"22","2010-06-15",10.4
"23","2010-06-16",10.32
"24","2010-06-17",10.51
"25","2010-06-18",10.62
"26","2010-06-21",10.83
"27","2010-06-22",10.89
"28","2010-06-23",10.9
"29","2010-06-24",10.83
"30","2010-06-25",11
"31","2010-06-28",10.67
"32","2010-06-29",9.96
"33","2010-06-30",9.7
"34","2010-07-01",9.8
"35","2010-07-02",10.21
"36","2010-07-06",10.79
"37","2010-07-07",12.39
"38","2010-07-08",12.39
"39","2010-07-09",12.5
"40","2010-07-12",12.4
"41","2010-07-13",12.65
"42","2010-07-14",12.64
"43","2010-07-15",12.81
"44","2010-07-16",12.79
"45","2010-07-19",13.47
"46","2010-07-20",14.05
"47","2010-07-21",14.39
"48","2010-07-22",14.33
"49","2010-07-23",14.11
"50","2010-07-26",14.88
"51","2010-07-27",15.08
"52","2010-07-28",14.69
"53","2010-07-29",14.79
"54","2010-07-30",14.69
"55","2010-08-02",15.61
"56","2010-08-03",16.549999
"57","2010-08-04",17.5
"58","2010-08-05",17.82
"59","2010-08-06",18.27
"60","2010-08-09",19.799999
"61","2010-08-10",20.59
"62","2010-08-11",19.74
"63","2010-08-12",19.09
"64","2010-08-13",18.91
"65","2010-08-16",19.5
"66","2010-08-17",21.73
"67","2010-08-18",24.459999
"68","2010-08-19",22.879999
"69","2010-08-20",24.73
"70","2010-08-23",25.59
"71","2010-08-24",24.23
"72","2010-08-25",24.209999
"73","2010-08-26",24.01
"74","2010-08-27",25.18
"75","2010-08-30",25.24
"76","2010-08-31",24.719999
"77","2010-09-01",25.360001
"78","2010-09-02",27
"79","2010-09-03",27.379999
"80","2010-09-07",28.799999
"81","2010-09-08",27.959999
"82","2010-09-09",24.68
"83","2010-09-10",24.41
"84","2010-09-13",26.459999
"85","2010-09-14",26.67
"86","2010-09-15",27.620001
"87","2010-09-16",28.91
"88","2010-09-17",28.950001
"89","2010-09-20",29.42
"90","2010-09-21",30.809999
"91","2010-09-22",30.450001
"92","2010-09-23",29.25
"93","2010-09-24",29.58
"94","2010-09-27",30.200001
"95","2010-09-28",29.450001
"96","2010-09-29",31.629999
"97","2010-09-30",31.610001
"98","2010-10-01",31.889999
"99","2010-10-04",29.42
"100","2010-10-05",30.4
"101","2010-10-06",29.75
"102","2010-10-07",28.57
"103","2010-10-08",26.76
"104","2010-10-11",30.629999
"105","2010-10-12",29.75
"106","2010-10-13",30.41
"107","2010-10-14",30.82
"108","2010-10-15",30.200001
"109","2010-10-18",28.959999
"110","2010-10-19",27.67
"111","2010-10-20",28.68
"112","2010-10-21",27.02
"113","2010-10-22",26.09
"114","2010-10-25",27.120001
"115","2010-10-26",28
"116","2010-10-27",30.48
"117","2010-10-28",30.309999
"118","2010-10-29",30.15
"119","2010-11-01",35.139999
"120","2010-11-02",35.330002
"121","2010-11-03",38.919998
"122","2010-11-04",37.52
"123","2010-11-05",35.990002
"124","2010-11-08",36.279999
"125","2010-11-09",35.25
