"","date","PATK"
"1","2007-01-03",5.266667
"2","2007-01-04",5.204444
"3","2007-01-05",5.4
"4","2007-01-08",5.555555
"5","2007-01-09",5.444445
"6","2007-01-10",5.377778
"7","2007-01-11",5.377778
"8","2007-01-12",5.204444
"9","2007-01-16",5.204444
"10","2007-01-17",5.204444
"11","2007-01-18",5.204444
"12","2007-01-19",5.342222
"13","2007-01-22",5.302222
"14","2007-01-23",5.302222
"15","2007-01-24",5.302222
"16","2007-01-25",5.302222
"17","2007-01-26",5.302222
"18","2007-01-29",5.222222
"19","2007-01-30",5.222222
"20","2007-01-31",5.213333
"21","2007-02-01",5.288889
"22","2007-02-02",5.288889
"23","2007-02-05",5.288889
"24","2007-02-06",5.333333
"25","2007-02-07",5.333333
"26","2007-02-08",5.213333
"27","2007-02-09",5.208889
"28","2007-02-12",5.208889
"29","2007-02-13",5.186666
"30","2007-02-14",5.244444
"31","2007-02-15",5.164444
"32","2007-02-16",5.248889
"33","2007-02-20",5.271111
"34","2007-02-21",5.271111
"35","2007-02-22",5.16
"36","2007-02-23",5.173333
"37","2007-02-26",5.173333
"38","2007-02-27",5.155556
"39","2007-02-28",5.155556
"40","2007-03-01",4.853333
"41","2007-03-02",4.888889
"42","2007-03-05",4.911111
"43","2007-03-06",4.977778
"44","2007-03-07",4.977778
"45","2007-03-08",5.053333
"46","2007-03-09",5.057778
"47","2007-03-12",4.888889
"48","2007-03-13",5.155556
"49","2007-03-14",5.244444
"50","2007-03-15",4.733333
"51","2007-03-16",4.733333
"52","2007-03-19",4.733333
"53","2007-03-20",4.897778
"54","2007-03-21",4.897778
"55","2007-03-22",5.106667
"56","2007-03-23",5.115556
"57","2007-03-26",5.271111
"58","2007-03-27",5.275556
"59","2007-03-28",5.266667
"60","2007-03-29",5.311111
"61","2007-03-30",5.328889
"62","2007-04-02",5.115556
"63","2007-04-03",5.328889
"64","2007-04-04",5.311111
"65","2007-04-05",5.311111
"66","2007-04-09",5.266667
"67","2007-04-10",5.124444
"68","2007-04-11",5.666667
"69","2007-04-12",5.284444
"70","2007-04-13",5.515555
"71","2007-04-16",5.653333
"72","2007-04-17",5.653333
"73","2007-04-18",5.711111
"74","2007-04-19",5.702222
"75","2007-04-20",5.702222
"76","2007-04-23",5.511111
"77","2007-04-24",5.671111
"78","2007-04-25",5.231111
"79","2007-04-26",5.288889
"80","2007-04-27",5.32
"81","2007-04-30",5.226666
"82","2007-05-01",5.191111
"83","2007-05-02",5.244444
"84","2007-05-03",5.466667
"85","2007-05-04",5.6
"86","2007-05-07",5.533333
"87","2007-05-08",5.506667
"88","2007-05-09",5.506667
"89","2007-05-10",5.413333
"90","2007-05-11",5.56
"91","2007-05-14",5.506667
"92","2007-05-15",5.537778
"93","2007-05-16",5.64
