"","date","FCCO"
"1","2007-01-03",16.99
"2","2007-01-04",17
"3","2007-01-05",17
"4","2007-01-08",16.9
"5","2007-01-09",17.1
"6","2007-01-10",16.75
"7","2007-01-11",17.25
"8","2007-01-12",17.24
"9","2007-01-16",17.24
"10","2007-01-17",17.02
"11","2007-01-18",16.75
"12","2007-01-19",16.950001
"13","2007-01-22",17.290001
"14","2007-01-23",17.290001
"15","2007-01-24",16.9
"16","2007-01-25",16.950001
"17","2007-01-26",16.950001
"18","2007-01-29",16.73
"19","2007-01-30",17
"20","2007-01-31",17
"21","2007-02-01",17
"22","2007-02-02",17
"23","2007-02-05",17.200001
"24","2007-02-06",17.24
"25","2007-02-07",17.24
"26","2007-02-08",17.15
"27","2007-02-09",16.790001
"28","2007-02-12",17
"29","2007-02-13",16.9
"30","2007-02-14",16.82
"31","2007-02-15",16.82
"32","2007-02-16",17.15
"33","2007-02-20",17.25
"34","2007-02-21",17.5
"35","2007-02-22",17.5
"36","2007-02-23",17.73
"37","2007-02-26",17.6
"38","2007-02-27",17.65
"39","2007-02-28",17.51
"40","2007-03-01",17.549999
"41","2007-03-02",17.549999
"42","2007-03-05",17.280001
"43","2007-03-06",17
"44","2007-03-07",17.309999
"45","2007-03-08",17.34
"46","2007-03-09",17.440001
"47","2007-03-12",17.59
"48","2007-03-13",17.809999
"49","2007-03-14",17.809999
"50","2007-03-15",17.85
"51","2007-03-16",17.969999
"52","2007-03-19",17.51
"53","2007-03-20",17.9
"54","2007-03-21",17.950001
"55","2007-03-22",17.85
"56","2007-03-23",17.799999
"57","2007-03-26",17.74
"58","2007-03-27",17.76
"59","2007-03-28",17.620001
"60","2007-03-29",17.450001
"61","2007-03-30",17.52
"62","2007-04-02",17.5
"63","2007-04-03",17.26
"64","2007-04-04",17.25
"65","2007-04-05",17.629999
"66","2007-04-09",17.48
"67","2007-04-10",17.5
"68","2007-04-11",17.200001
"69","2007-04-12",16.950001
"70","2007-04-13",17.07
"71","2007-04-16",17.110001
"72","2007-04-17",17.51
"73","2007-04-18",17.4
"74","2007-04-19",17.35
"75","2007-04-20",17.629999
"76","2007-04-23",17.25
"77","2007-04-24",17.43
"78","2007-04-25",17.25
"79","2007-04-26",17.24
"80","2007-04-27",17.01
"81","2007-04-30",17.01
"82","2007-05-01",17.09
"83","2007-05-02",17.23
"84","2007-05-03",17.35
"85","2007-05-04",17.299999
"86","2007-05-07",17.4
"87","2007-05-08",17.360001
"88","2007-05-09",17.25
"89","2007-05-10",17.049999
"90","2007-05-11",16.91
"91","2007-05-14",17
"92","2007-05-15",17
"93","2007-05-16",17
"94","2007-05-17",16.9
"95","2007-05-18",16.99
"96","2007-05-21",16.98
"97","2007-05-22",16.799999
"98","2007-05-23",16.950001
"99","2007-05-24",16.950001
"100","2007-05-25",17
"101","2007-05-29",17
"102","2007-05-30",16.77
"103","2007-05-31",16.959999
"104","2007-06-01",16.92
"105","2007-06-04",17
"106","2007-06-05",16.860001
"107","2007-06-06",16.959999
"108","2007-06-07",17.15
"109","2007-06-08",17.18
"110","2007-06-11",17.15
"111","2007-06-12",17.15
"112","2007-06-13",17.15
"113","2007-06-14",17.15
"114","2007-06-15",16.809999
"115","2007-06-18",16.690001
"116","2007-06-19",16.77
"117","2007-06-20",16.690001
"118","2007-06-21",16.690001
"119","2007-06-22",16.690001
"120","2007-06-25",16.709999
"121","2007-06-26",16.65
"122","2007-06-27",16.65
"123","2007-06-28",16.65
"124","2007-06-29",16.700001
"125","2007-07-02",16.65
"126","2007-07-03",16.65
"127","2007-07-05",16.5
"128","2007-07-06",16.5
"129","2007-07-09",16.299999
"130","2007-07-10",16.24
"131","2007-07-11",15.62
"132","2007-07-12",15.9
"133","2007-07-13",16.1
"134","2007-07-16",16.1
"135","2007-07-17",15.6
"136","2007-07-18",16.049999
"137","2007-07-19",16.18
"138","2007-07-20",16.23
"139","2007-07-23",16.35
"140","2007-07-24",16.129999
"141","2007-07-25",15.98
"142","2007-07-26",16.57
"143","2007-07-27",16.25
"144","2007-07-30",15.81
"145","2007-07-31",15.81
"146","2007-08-01",15.81
"147","2007-08-02",15.81
"148","2007-08-03",15.81
"149","2007-08-06",15.81
"150","2007-08-07",15.05
"151","2007-08-08",15.1
"152","2007-08-09",14.76
"153","2007-08-10",15.51
"154","2007-08-13",15.51
"155","2007-08-14",15.51
"156","2007-08-15",15.5
"157","2007-08-16",15.54
"158","2007-08-17",15.54
"159","2007-08-20",15.54
"160","2007-08-21",14.96
"161","2007-08-22",14.96
"162","2007-08-23",14.96
"163","2007-08-24",14.84
"164","2007-08-27",15.3
"165","2007-08-28",15.22
"166","2007-08-29",15.25
"167","2007-08-30",15.25
"168","2007-08-31",15.25
"169","2007-09-04",15.3
"170","2007-09-05",15.35
"171","2007-09-06",15.46
"172","2007-09-07",15.46
"173","2007-09-10",15.39
"174","2007-09-11",15.4
"175","2007-09-12",15
"176","2007-09-13",15.3
"177","2007-09-14",15.76
"178","2007-09-17",15.76
"179","2007-09-18",15.86
"180","2007-09-19",15.5
"181","2007-09-20",15.25
"182","2007-09-21",15.5
"183","2007-09-24",16
"184","2007-09-25",16
"185","2007-09-26",16
"186","2007-09-27",16
"187","2007-09-28",16
"188","2007-10-01",16
"189","2007-10-02",16
"190","2007-10-03",16
"191","2007-10-04",15.75
"192","2007-10-05",15.2
"193","2007-10-08",15.02
"194","2007-10-09",15.02
"195","2007-10-10",15.02
"196","2007-10-11",15.3
"197","2007-10-12",14.9
"198","2007-10-15",14.76
"199","2007-10-16",15
"200","2007-10-17",15
"201","2007-10-18",15
"202","2007-10-19",15.43
"203","2007-10-22",15.9
