"","date","SD"
"1","2016-10-04",19.5
"2","2016-10-05",21.1
"3","2016-10-06",21.52
"4","2016-10-07",21.27
"5","2016-10-10",21.57
"6","2016-10-11",21.219999
"7","2016-10-12",21.950001
"8","2016-10-13",21.85
"9","2016-10-14",22.610001
"10","2016-10-17",22.07
"11","2016-10-18",24
"12","2016-10-19",24.32
"13","2016-10-20",24.58
"14","2016-10-21",24.969999
"15","2016-10-24",25.950001
"16","2016-10-25",26.5
"17","2016-10-26",24.35
"18","2016-10-27",23.280001
"19","2016-10-28",23.790001
"20","2016-10-31",23.030001
"21","2016-11-01",23.309999
"22","2016-11-02",22.76
"23","2016-11-03",23.26
"24","2016-11-04",23.09
"25","2016-11-07",23.030001
"26","2016-11-08",23.09
"27","2016-11-09",24.48
"28","2016-11-10",24.68
"29","2016-11-11",24.9
"30","2016-11-14",23.969999
"31","2016-11-15",24.549999
"32","2016-11-16",24.709999
"33","2016-11-17",24.450001
"34","2016-11-18",24.41
"35","2016-11-21",24.15
"36","2016-11-22",23.940001
"37","2016-11-23",23.83
"38","2016-11-25",23.92
"39","2016-11-28",23.129999
"40","2016-11-29",21.879999
"41","2016-11-30",22.9
"42","2016-12-01",24
"43","2016-12-02",23.290001
"44","2016-12-05",23.950001
"45","2016-12-06",23.559999
"46","2016-12-07",23.15
"47","2016-12-08",23.16
"48","2016-12-09",23.200001
"49","2016-12-12",23.9
"50","2016-12-13",23.48
"51","2016-12-14",23.74
"52","2016-12-15",23.75
"53","2016-12-16",23.450001
"54","2016-12-19",23.940001
"55","2016-12-20",23.879999
"56","2016-12-21",23.93
"57","2016-12-22",24
"58","2016-12-23",23.799999
"59","2016-12-27",23.700001
"60","2016-12-28",23.83
"61","2016-12-29",23.67
"62","2016-12-30",23.549999
"63","2017-01-03",23.32
"64","2017-01-04",23.190001
"65","2017-01-05",22.959999
"66","2017-01-06",22.52
"67","2017-01-09",20.92
"68","2017-01-10",21.799999
"69","2017-01-11",22.129999
"70","2017-01-12",22.450001
"71","2017-01-13",22.059999
"72","2017-01-17",21.52
"73","2017-01-18",21.75
"74","2017-01-19",22.049999
"75","2017-01-20",21.549999
"76","2017-01-23",21.610001
"77","2017-01-24",21.860001
"78","2017-01-25",21.73
"79","2017-01-26",21.76
"80","2017-01-27",21.280001
"81","2017-01-30",20.809999
"82","2017-01-31",20.51
"83","2017-02-01",21.459999
"84","2017-02-02",21.219999
"85","2017-02-03",21.01
"86","2017-02-06",20.66
"87","2017-02-07",19.82
"88","2017-02-08",19.950001
"89","2017-02-09",19.959999
"90","2017-02-10",20.190001
