"","date","ROLL"
"1","2007-01-03",28.23
"2","2007-01-04",28.209999
"3","2007-01-05",27.469999
"4","2007-01-08",26.41
"5","2007-01-09",26.48
"6","2007-01-10",27.32
"7","2007-01-11",28.370001
"8","2007-01-12",28.83
"9","2007-01-16",28.610001
"10","2007-01-17",28.43
"11","2007-01-18",28.07
"12","2007-01-19",28.73
"13","2007-01-22",28.74
"14","2007-01-23",29
"15","2007-01-24",29.27
"16","2007-01-25",28.940001
"17","2007-01-26",29.23
"18","2007-01-29",29.639999
"19","2007-01-30",30.690001
"20","2007-01-31",30.68
"21","2007-02-01",30.83
"22","2007-02-02",31.280001
"23","2007-02-05",31.1
"24","2007-02-06",31.48
"25","2007-02-07",30.9
"26","2007-02-08",31.84
"27","2007-02-09",31.9
"28","2007-02-12",32.23
"29","2007-02-13",32.049999
"30","2007-02-14",32.619999
"31","2007-02-15",32.18
"32","2007-02-16",33.16
"33","2007-02-20",33.700001
"34","2007-02-21",33.599998
"35","2007-02-22",33.610001
"36","2007-02-23",33.419998
"37","2007-02-26",33.900002
"38","2007-02-27",32
"39","2007-02-28",32.630001
"40","2007-03-01",32.110001
"41","2007-03-02",32.200001
"42","2007-03-05",30.73
"43","2007-03-06",31.74
"44","2007-03-07",31.74
"45","2007-03-08",31.48
"46","2007-03-09",32.75
"47","2007-03-12",32.73
"48","2007-03-13",31.620001
"49","2007-03-14",31.299999
"50","2007-03-15",32.259998
"51","2007-03-16",32.5
"52","2007-03-19",32.299999
"53","2007-03-20",32.169998
"54","2007-03-21",32.52
"55","2007-03-22",32.5
"56","2007-03-23",31.969999
"57","2007-03-26",31.82
"58","2007-03-27",32.349998
"59","2007-03-28",31.620001
"60","2007-03-29",31.65
"61","2007-03-30",33.43
"62","2007-04-02",34.259998
"63","2007-04-03",33.75
"64","2007-04-04",34.099998
"65","2007-04-05",34.77
"66","2007-04-09",36.220001
"67","2007-04-10",35.77
"68","2007-04-11",35.189999
"69","2007-04-12",35.970001
"70","2007-04-13",36.25
"71","2007-04-16",37.450001
