"","date","CFX"
"1","2008-05-08",21
"2","2008-05-09",20.5
"3","2008-05-12",20.889999
"4","2008-05-13",22.07
"5","2008-05-14",23.16
"6","2008-05-15",24.049999
"7","2008-05-16",23.809999
"8","2008-05-19",23.82
"9","2008-05-20",23
"10","2008-05-21",23.07
"11","2008-05-22",22.4
"12","2008-05-23",22.120001
"13","2008-05-27",23.75
"14","2008-05-28",23.99
"15","2008-05-29",24.299999
"16","2008-05-30",24.790001
"17","2008-06-02",24.32
"18","2008-06-03",24.01
"19","2008-06-04",23.940001
"20","2008-06-05",24.65
"21","2008-06-06",24.139999
"22","2008-06-09",23.200001
"23","2008-06-10",22
"24","2008-06-11",22.700001
"25","2008-06-12",23.02
"26","2008-06-13",24.200001
"27","2008-06-16",24.5
"28","2008-06-17",23.57
"29","2008-06-18",24.379999
"30","2008-06-19",23.790001
"31","2008-06-20",23.98
"32","2008-06-23",24.139999
"33","2008-06-24",24.93
"34","2008-06-25",24.190001
"35","2008-06-26",23.98
"36","2008-06-27",25.450001
"37","2008-06-30",25.09
"38","2008-07-01",25.43
"39","2008-07-02",25
"40","2008-07-03",23.82
"41","2008-07-07",24.57
"42","2008-07-08",24.51
"43","2008-07-09",24.99
"44","2008-07-10",25.93
"45","2008-07-11",26.77
"46","2008-07-14",26.57
"47","2008-07-15",26.360001
"48","2008-07-16",25.5
"49","2008-07-17",24.940001
"50","2008-07-18",25.6
"51","2008-07-21",27.26
"52","2008-07-22",27.42
"53","2008-07-23",25.93
"54","2008-07-24",25.82
"55","2008-07-25",26.76
"56","2008-07-28",25.08
"57","2008-07-29",25.540001
"58","2008-07-30",27.07
"59","2008-07-31",27.290001
"60","2008-08-01",26.42
"61","2008-08-04",27.620001
"62","2008-08-05",23.15
"63","2008-08-06",23.889999
"64","2008-08-07",23.200001
"65","2008-08-08",22.379999
"66","2008-08-11",20.33
"67","2008-08-12",21.85
"68","2008-08-13",23.129999
"69","2008-08-14",24.030001
"70","2008-08-15",23.6
"71","2008-08-18",23.719999
"72","2008-08-19",23.35
"73","2008-08-20",23.77
"74","2008-08-21",24.08
"75","2008-08-22",24.540001
"76","2008-08-25",24.26
"77","2008-08-26",24.27
"78","2008-08-27",24.66
"79","2008-08-28",24.860001
"80","2008-08-29",24.59
"81","2008-09-02",22.6
"82","2008-09-03",21.73
"83","2008-09-04",20.5
"84","2008-09-05",21.07
"85","2008-09-08",21.25
"86","2008-09-09",17.9
"87","2008-09-10",19.440001
"88","2008-09-11",19.16
"89","2008-09-12",18.52
"90","2008-09-15",16.48
"91","2008-09-16",18.01
"92","2008-09-17",16.49
"93","2008-09-18",17.91
"94","2008-09-19",19.889999
"95","2008-09-22",19.629999
"96","2008-09-23",18.969999
"97","2008-09-24",18.17
"98","2008-09-25",17.25
"99","2008-09-26",18.030001
"100","2008-09-29",15.01
"101","2008-09-30",16.709999
"102","2008-10-01",16.360001
"103","2008-10-02",14.32
"104","2008-10-03",12.96
"105","2008-10-06",10.75
"106","2008-10-07",9.85
"107","2008-10-08",9.22
"108","2008-10-09",8.88
"109","2008-10-10",8.45
"110","2008-10-13",9.91
"111","2008-10-14",10.75
"112","2008-10-15",8.23
"113","2008-10-16",8.62
"114","2008-10-17",8.82
"115","2008-10-20",9.09
"116","2008-10-21",8.74
"117","2008-10-22",7.62
"118","2008-10-23",7.14
"119","2008-10-24",6.34
"120","2008-10-27",5.95
"121","2008-10-28",6.41
"122","2008-10-29",6.73
"123","2008-10-30",7.88
"124","2008-10-31",8.52
"125","2008-11-03",9.21
"126","2008-11-04",9.47
"127","2008-11-05",8.7
"128","2008-11-06",7.74
"129","2008-11-07",8.04
"130","2008-11-10",8.15
"131","2008-11-11",7.12
"132","2008-11-12",6.61
"133","2008-11-13",7.6
"134","2008-11-14",6.84
"135","2008-11-17",6.91
"136","2008-11-18",7.27
"137","2008-11-19",7.17
"138","2008-11-20",7.06
"139","2008-11-21",8.29
"140","2008-11-24",8.86
"141","2008-11-25",8.88
"142","2008-11-26",9.44
"143","2008-11-28",9.56
"144","2008-12-01",7.69
"145","2008-12-02",8.06
"146","2008-12-03",7.83
"147","2008-12-04",7.06
"148","2008-12-05",7.08
"149","2008-12-08",7.94
"150","2008-12-09",8.09
"151","2008-12-10",8.48
"152","2008-12-11",8.25
"153","2008-12-12",8.55
"154","2008-12-15",8.02
"155","2008-12-16",9.18
"156","2008-12-17",9.96
"157","2008-12-18",9.54
"158","2008-12-19",9.45
"159","2008-12-22",9.07
"160","2008-12-23",9.05
"161","2008-12-24",9.07
"162","2008-12-26",9.01
"163","2008-12-29",9.07
"164","2008-12-30",10.07
"165","2008-12-31",10.39
"166","2009-01-02",10.76
"167","2009-01-05",10.55
"168","2009-01-06",11.91
"169","2009-01-07",11.48
"170","2009-01-08",12.34
"171","2009-01-09",11.17
"172","2009-01-12",10.75
"173","2009-01-13",10.59
"174","2009-01-14",10.53
"175","2009-01-15",11.24
