"","date","SNDR"
"1","2017-04-06",19
"2","2017-04-07",19
"3","2017-04-10",19.309999
"4","2017-04-11",18.690001
"5","2017-04-12",18.959999
"6","2017-04-13",18.98
"7","2017-04-17",19
"8","2017-04-18",18.870001
"9","2017-04-19",18.85
"10","2017-04-20",18.66
"11","2017-04-21",18.799999
"12","2017-04-24",19.290001
"13","2017-04-25",19.18
"14","2017-04-26",19.040001
"15","2017-04-27",19.030001
"16","2017-04-28",18.98
"17","2017-05-01",19.09
"18","2017-05-02",19.17
"19","2017-05-03",19.01
"20","2017-05-04",18.99
"21","2017-05-05",19
"22","2017-05-08",18.82
"23","2017-05-09",18.57
"24","2017-05-10",18.4
"25","2017-05-11",19.030001
"26","2017-05-12",18.59
"27","2017-05-15",18.620001
"28","2017-05-16",18.780001
"29","2017-05-17",18.540001
"30","2017-05-18",18.83
"31","2017-05-19",18.620001
"32","2017-05-22",18.549999
"33","2017-05-23",19.08
"34","2017-05-24",19.629999
"35","2017-05-25",20.120001
"36","2017-05-26",19.610001
"37","2017-05-30",19.85
"38","2017-05-31",19.860001
"39","2017-06-01",20.01
"40","2017-06-02",19.959999
"41","2017-06-05",20.059999
"42","2017-06-06",19.92
"43","2017-06-07",20.43
"44","2017-06-08",21.030001
"45","2017-06-09",21.370001
"46","2017-06-12",21.68
"47","2017-06-13",21.82
"48","2017-06-14",21.51
"49","2017-06-15",21.23
"50","2017-06-16",21.17
"51","2017-06-19",21.360001
"52","2017-06-20",21.129999
"53","2017-06-21",20.959999
"54","2017-06-22",20.860001
"55","2017-06-23",21
"56","2017-06-26",20.959999
"57","2017-06-27",21.110001
"58","2017-06-28",21.66
"59","2017-06-29",22.120001
"60","2017-06-30",22.370001
"61","2017-07-03",23.040001
"62","2017-07-05",22.58
"63","2017-07-06",22.040001
"64","2017-07-07",22.24
"65","2017-07-10",21.559999
"66","2017-07-11",21.24
"67","2017-07-12",21.549999
"68","2017-07-13",21.190001
"69","2017-07-14",21.42
"70","2017-07-17",20.92
"71","2017-07-18",20.620001
"72","2017-07-19",20.52
"73","2017-07-20",20.459999
"74","2017-07-21",20.950001
"75","2017-07-24",21.25
"76","2017-07-25",21.889999
"77","2017-07-26",21.93
"78","2017-07-27",21.139999
"79","2017-07-28",21.65
"80","2017-07-31",21.620001
"81","2017-08-01",21.200001
"82","2017-08-02",21.32
"83","2017-08-03",21.76
"84","2017-08-04",21.34
"85","2017-08-07",21.4
"86","2017-08-08",21.200001
"87","2017-08-09",21.09
"88","2017-08-10",20.620001
"89","2017-08-11",20.92
"90","2017-08-14",21.379999
"91","2017-08-15",21.5
"92","2017-08-16",21.299999
"93","2017-08-17",21.16
"94","2017-08-18",21.360001
"95","2017-08-21",21.209999
"96","2017-08-22",21.99
"97","2017-08-23",21.68
"98","2017-08-24",21.43
"99","2017-08-25",21.639999
"100","2017-08-28",22.469999
"101","2017-08-29",23
"102","2017-08-30",22.620001
"103","2017-08-31",22.25
"104","2017-09-01",22.879999
"105","2017-09-05",22.799999
"106","2017-09-06",22.709999
"107","2017-09-07",22.74
"108","2017-09-08",23.209999
"109","2017-09-11",23.190001
"110","2017-09-12",23.379999
"111","2017-09-13",22.85
"112","2017-09-14",23.110001
"113","2017-09-15",23.43
"114","2017-09-18",23.959999
"115","2017-09-19",23.620001
"116","2017-09-20",24.35
"117","2017-09-21",24.790001
"118","2017-09-22",24.379999
