"","date","DOGZ"
"1","2017-12-19",5
"2","2017-12-20",6
"3","2017-12-21",5.7
"4","2017-12-22",5.85
"5","2017-12-26",5.72
"6","2017-12-27",5.77
"7","2017-12-28",5.88
"8","2017-12-29",5.9
"9","2018-01-02",5.62
"10","2018-01-03",5.71
"11","2018-01-04",5.373
"12","2018-01-05",4.81
"13","2018-01-08",4.56
"14","2018-01-09",4.79
"15","2018-01-10",4.8595
"16","2018-01-11",4.91
"17","2018-01-12",4.75
"18","2018-01-16",4.51
"19","2018-01-17",4.6554
"20","2018-01-18",4.6
"21","2018-01-19",4.68
"22","2018-01-22",4.58
"23","2018-01-23",4.53
"24","2018-01-24",4.41
"25","2018-01-25",4.41
"26","2018-01-26",4.41
"27","2018-01-29",4.42
"28","2018-01-30",4.42
"29","2018-01-31",4.39
"30","2018-02-01",4.2
"31","2018-02-02",4.01
"32","2018-02-05",3.9332
"33","2018-02-06",3.8
"34","2018-02-07",3.75
"35","2018-02-08",3.76
"36","2018-02-09",3.7
"37","2018-02-12",3.78
"38","2018-02-13",3.81
"39","2018-02-14",4.07
"40","2018-02-15",4.7794
"41","2018-02-16",4.7753
"42","2018-02-20",4.8
"43","2018-02-21",4.7499
"44","2018-02-22",4.4501
"45","2018-02-23",4.65
"46","2018-02-26",4.58
"47","2018-02-27",4.14
"48","2018-02-28",4.0601
"49","2018-03-01",4.45
"50","2018-03-02",4.41
"51","2018-03-05",4.4
"52","2018-03-06",4.1215
"53","2018-03-07",4.3999
"54","2018-03-08",4.3999
"55","2018-03-09",4.43
"56","2018-03-12",4.18
"57","2018-03-13",4.25
"58","2018-03-14",4.25
"59","2018-03-15",4.46
"60","2018-03-16",4.33
"61","2018-03-19",4.24
"62","2018-03-20",3.551
"63","2018-03-21",3.78
"64","2018-03-22",3.82
"65","2018-03-23",3.8949
"66","2018-03-26",3.815
"67","2018-03-27",3.9525
"68","2018-03-28",3.9333
"69","2018-03-29",4.07
"70","2018-04-02",3.92
"71","2018-04-03",3.8216
"72","2018-04-04",3.95
"73","2018-04-05",3.95
"74","2018-04-06",3.95
"75","2018-04-09",3.78
"76","2018-04-10",3.78
"77","2018-04-11",3.7799
"78","2018-04-12",3.7799
"79","2018-04-13",4.213
"80","2018-04-16",4.2
"81","2018-04-17",3.8799
"82","2018-04-18",3.9001
"83","2018-04-19",3.8
"84","2018-04-20",4.149
"85","2018-04-23",4.09
"86","2018-04-24",3.76
"87","2018-04-25",4
"88","2018-04-26",3.901
"89","2018-04-27",3.82
"90","2018-04-30",3.8
"91","2018-05-01",3.77
"92","2018-05-02",3.8953
"93","2018-05-03",3.8953
"94","2018-05-04",3.59
"95","2018-05-07",3.8
"96","2018-05-08",3.78
"97","2018-05-09",3.81
"98","2018-05-10",3.72
"99","2018-05-11",3.8982
"100","2018-05-14",3.8982
"101","2018-05-15",3.8982
"102","2018-05-16",3.6807
"103","2018-05-17",3.6799
"104","2018-05-18",3.79
"105","2018-05-21",3.7816
"106","2018-05-22",4
"107","2018-05-23",4.17
"108","2018-05-24",4.01
"109","2018-05-25",4.21
"110","2018-05-29",4.36
"111","2018-05-30",4.4868
"112","2018-05-31",4.78
"113","2018-06-01",4.72
"114","2018-06-04",4.52
"115","2018-06-05",4.92
"116","2018-06-06",4.6
"117","2018-06-07",4.9
"118","2018-06-08",4.7426
"119","2018-06-11",4.799
"120","2018-06-12",4.41
"121","2018-06-13",4.4
"122","2018-06-14",4.1
"123","2018-06-15",4.26
"124","2018-06-18",4.4622
"125","2018-06-19",4.1205
"126","2018-06-20",4.0901
"127","2018-06-21",4.0873
"128","2018-06-22",4.043
"129","2018-06-25",4.22
"130","2018-06-26",4.12
"131","2018-06-27",3.996
"132","2018-06-28",4.05
"133","2018-06-29",4.05
"134","2018-07-02",4.1775
"135","2018-07-03",4.196
"136","2018-07-05",4.4
"137","2018-07-06",4.3156
"138","2018-07-09",4.1607
"139","2018-07-10",3.81
"140","2018-07-11",3.4
"141","2018-07-12",3.33
"142","2018-07-13",3.148
"143","2018-07-16",3.1
"144","2018-07-17",2.669
"145","2018-07-18",2.83
"146","2018-07-19",3.25
"147","2018-07-20",3.55
"148","2018-07-23",3.44
"149","2018-07-24",3.02
"150","2018-07-25",3.06
"151","2018-07-26",3.02
"152","2018-07-27",2.8558
"153","2018-07-30",3.08
"154","2018-07-31",2.9101
"155","2018-08-01",3.01
"156","2018-08-02",2.94
"157","2018-08-03",2.95
"158","2018-08-06",2.98
"159","2018-08-07",3.04
"160","2018-08-08",2.96
"161","2018-08-09",2.96
"162","2018-08-10",2.91
"163","2018-08-13",2.92
"164","2018-08-14",2.89
"165","2018-08-15",2.98
"166","2018-08-16",2.71
"167","2018-08-17",2.99
"168","2018-08-20",2.8
"169","2018-08-21",2.9
"170","2018-08-22",2.89
"171","2018-08-23",2.95
"172","2018-08-24",2.87
"173","2018-08-27",2.85
"174","2018-08-28",2.88
"175","2018-08-29",2.89
"176","2018-08-30",2.75
"177","2018-08-31",2.9783
"178","2018-09-04",2.8
"179","2018-09-05",2.75
"180","2018-09-06",2.7565
"181","2018-09-07",2.85
"182","2018-09-10",2.82
"183","2018-09-11",2.9828
"184","2018-09-12",2.78
"185","2018-09-13",2.82
"186","2018-09-14",2.9777
"187","2018-09-17",2.78
"188","2018-09-18",2.65
"189","2018-09-19",2.77
"190","2018-09-20",2.82
"191","2018-09-21",2.55
"192","2018-09-24",2.27
"193","2018-09-25",2.26
"194","2018-09-26",2.28
"195","2018-09-27",2.28
"196","2018-09-28",2.5
"197","2018-10-01",2.55
"198","2018-10-02",2.55
"199","2018-10-03",2.55
"200","2018-10-04",2.31
"201","2018-10-05",2.3
"202","2018-10-08",1.7911
"203","2018-10-09",2.0302
"204","2018-10-10",2.04
"205","2018-10-11",2.08
"206","2018-10-12",2.26
"207","2018-10-15",2.4384
"208","2018-10-16",2.44
"209","2018-10-17",2.3416
"210","2018-10-18",2.36
"211","2018-10-19",2.3
"212","2018-10-22",2.3
"213","2018-10-23",2.2499
"214","2018-10-24",2.07
"215","2018-10-25",2.1
"216","2018-10-26",2.12
"217","2018-10-29",2.04
"218","2018-10-30",2.1
"219","2018-10-31",2.12
"220","2018-11-01",2.21
"221","2018-11-02",2.05
"222","2018-11-05",2.06
"223","2018-11-06",2.15
"224","2018-11-07",2.02
"225","2018-11-08",2.04
"226","2018-11-09",2.0674
"227","2018-11-12",2.01
"228","2018-11-13",2.02
"229","2018-11-14",2.0396
"230","2018-11-15",2.04
"231","2018-11-16",1.97
"232","2018-11-19",2
"233","2018-11-20",2.6
"234","2018-11-21",2.93
"235","2018-11-23",3.0689
"236","2018-11-26",3.1706
"237","2018-11-27",3.1959
"238","2018-11-28",3.3536
"239","2018-11-29",3.425
"240","2018-11-30",3.47
"241","2018-12-03",3.5
"242","2018-12-04",3.4773
"243","2018-12-06",3.54
"244","2018-12-07",3.49
"245","2018-12-10",3.5
"246","2018-12-11",3.58
"247","2018-12-12",4
"248","2018-12-13",3.68
"249","2018-12-14",3.98
"250","2018-12-17",3.83
"251","2018-12-18",3.9306
"252","2018-12-19",3.9807
"253","2018-12-20",3.86
"254","2018-12-21",3.9
"255","2018-12-24",3.82
"256","2018-12-26",3.7969
"257","2018-12-27",3.85
"258","2018-12-28",3.7599
"259","2018-12-31",3.9
"260","2019-01-02",3.78
"261","2019-01-03",3.7302
"262","2019-01-04",3.7001
"263","2019-01-07",3.76
"264","2019-01-08",3.9454
"265","2019-01-09",3.9
"266","2019-01-10",3.93
"267","2019-01-11",3.88
"268","2019-01-14",3.76
"269","2019-01-15",3.41
"270","2019-01-16",3.8
"271","2019-01-17",3.9
"272","2019-01-18",3.93
"273","2019-01-22",4.08
"274","2019-01-23",3.85
"275","2019-01-24",3.8
"276","2019-01-25",3.82
"277","2019-01-28",3.7
"278","2019-01-29",3.68
"279","2019-01-30",3.45
"280","2019-01-31",4.05
"281","2019-02-01",3.9
"282","2019-02-04",3.75
"283","2019-02-05",3.7799
"284","2019-02-06",3.64
"285","2019-02-07",3.7486
"286","2019-02-08",3.7299
"287","2019-02-11",3.65
"288","2019-02-12",3.7
"289","2019-02-13",3.62
"290","2019-02-14",3.64
"291","2019-02-15",3.56
"292","2019-02-19",3.55
"293","2019-02-20",3.51
"294","2019-02-21",3.56
"295","2019-02-22",3.4971
"296","2019-02-25",3.45
"297","2019-02-26",3.49
"298","2019-02-27",3.5
"299","2019-02-28",3.4431
"300","2019-03-01",3.41
"301","2019-03-04",3.41
"302","2019-03-05",3.41
"303","2019-03-06",3.86
"304","2019-03-07",3.81
"305","2019-03-08",3.6
"306","2019-03-11",3.54
"307","2019-03-12",3.41
"308","2019-03-13",3.5599
"309","2019-03-14",3.5
"310","2019-03-15",3.5
"311","2019-03-18",3.59
"312","2019-03-19",3.64
"313","2019-03-20",3.5769
"314","2019-03-21",3.61
"315","2019-03-22",3.59
"316","2019-03-25",3.58
"317","2019-03-26",3.61
"318","2019-03-27",3.6
"319","2019-03-28",3.54
"320","2019-03-29",3.5285
"321","2019-04-01",3.49
"322","2019-04-02",3.56
"323","2019-04-03",3.55
"324","2019-04-04",3.56
"325","2019-04-05",3.7227
"326","2019-04-08",3.9
"327","2019-04-09",3.8499
"328","2019-04-10",3.77
"329","2019-04-11",3.78
"330","2019-04-12",3.7642
"331","2019-04-15",3.55
"332","2019-04-16",3.216
"333","2019-04-17",2.95
"334","2019-04-18",3.16
"335","2019-04-22",2.95
"336","2019-04-23",2.9
"337","2019-04-24",3
"338","2019-04-25",3.01
"339","2019-04-26",3.02
"340","2019-04-29",3.45
"341","2019-04-30",3.45
"342","2019-05-01",3.47
"343","2019-05-02",3.42
"344","2019-05-03",3.42
"345","2019-05-06",3.4
"346","2019-05-07",3.4
"347","2019-05-08",3.385
"348","2019-05-09",3.34
"349","2019-05-10",3.35
"350","2019-05-13",3.47
"351","2019-05-14",3.3601
"352","2019-05-15",3.39
"353","2019-05-16",3.38
"354","2019-05-17",3.3
"355","2019-05-20",3.4
"356","2019-05-21",3.3
"357","2019-05-22",3.32
"358","2019-05-23",3.33
"359","2019-05-24",3.24
"360","2019-05-28",3.11
"361","2019-05-29",3.056
"362","2019-05-30",3.01
"363","2019-05-31",3.0148
"364","2019-06-03",2.79
"365","2019-06-04",2.84
"366","2019-06-05",2.99
"367","2019-06-06",2.98
"368","2019-06-07",3.07
"369","2019-06-10",2.86
"370","2019-06-11",2.7067
"371","2019-06-12",2.8054
"372","2019-06-13",2.75
"373","2019-06-14",2.7
"374","2019-06-17",2.69
"375","2019-06-18",2.62
"376","2019-06-19",2.48
"377","2019-06-20",2.5477
"378","2019-06-21",2.84
"379","2019-06-24",3
"380","2019-06-25",2.9073
"381","2019-06-26",2.89
"382","2019-06-27",2.9999
"383","2019-06-28",2.886
"384","2019-07-01",2.9356
"385","2019-07-02",2.9859
"386","2019-07-03",2.9
"387","2019-07-05",2.89
"388","2019-07-08",2.7767
"389","2019-07-09",2.8
"390","2019-07-10",2.76
"391","2019-07-11",2.69
"392","2019-07-12",2.755
"393","2019-07-15",2.96
"394","2019-07-16",2.7889
"395","2019-07-17",2.8473
"396","2019-07-18",2.93
"397","2019-07-19",2.89
"398","2019-07-22",2.92
"399","2019-07-23",2.8975
"400","2019-07-24",2.8489
"401","2019-07-25",2.82
"402","2019-07-26",2.8373
"403","2019-07-29",2.87
"404","2019-07-30",2.88
"405","2019-07-31",2.98
"406","2019-08-01",2.8973
"407","2019-08-02",2.96
"408","2019-08-05",2.91
"409","2019-08-06",2.74
"410","2019-08-07",2.9
"411","2019-08-08",2.9
"412","2019-08-09",2.95
"413","2019-08-12",2.9
"414","2019-08-13",2.87
"415","2019-08-14",2.875
"416","2019-08-15",2.79
"417","2019-08-16",2.81
"418","2019-08-19",2.82
"419","2019-08-20",2.82
"420","2019-08-21",2.83
"421","2019-08-22",2.81
"422","2019-08-23",2.74
"423","2019-08-26",2.77
"424","2019-08-27",2.7
"425","2019-08-28",2.7
"426","2019-08-29",2.68
"427","2019-08-30",2.67
"428","2019-09-03",2.65
"429","2019-09-04",2.68
"430","2019-09-05",2.72
"431","2019-09-06",2.69
"432","2019-09-09",3.12
"433","2019-09-10",3.01
"434","2019-09-11",2.96
"435","2019-09-12",2.93
"436","2019-09-13",2.92
"437","2019-09-16",2.77
"438","2019-09-17",2.55
"439","2019-09-18",2.72
"440","2019-09-19",2.72
"441","2019-09-20",2.85
"442","2019-09-23",2.41
"443","2019-09-24",2.3
"444","2019-09-25",2.63
