"","date","MOGO"
"1","2017-05-16",3.08
"2","2017-05-17",3.08
"3","2017-05-18",3.08
"4","2017-05-19",2.85
"5","2017-05-22",2.85
"6","2017-05-23",2.82
"7","2017-05-24",2.82
"8","2017-05-25",2.82
"9","2017-05-26",2.82
"10","2017-05-30",3.16
"11","2017-05-31",3.191
"12","2017-06-01",3.191
"13","2017-06-02",3.2
"14","2017-06-05",3.18
"15","2017-06-06",3.162
"16","2017-06-07",3.21
"17","2017-06-08",3.09
"18","2017-06-09",3.16
"19","2017-06-12",3.16
"20","2017-06-13",3.16
"21","2017-06-14",2.937
"22","2017-06-15",2.973
"23","2017-06-16",2.976
"24","2017-06-19",3.083
"25","2017-06-20",3.083
"26","2017-06-21",3.083
"27","2017-06-22",3.083
"28","2017-06-23",3.083
"29","2017-06-26",3.12
"30","2017-06-27",3.23
"31","2017-06-28",3.701
"32","2017-06-29",3.54
"33","2017-06-30",3.648
"34","2017-07-03",3.648
"35","2017-07-05",3.648
"36","2017-07-06",3.648
"37","2017-07-07",3.648
"38","2017-07-10",3.57
"39","2017-07-11",3.57
"40","2017-07-12",3.57
"41","2017-07-13",3.536
"42","2017-07-14",3.536
"43","2017-07-17",3.536
"44","2017-07-18",3.53
"45","2017-07-19",3.53
"46","2017-07-20",3.41
"47","2017-07-21",3.41
"48","2017-07-24",3.63
"49","2017-07-25",3.8
"50","2017-07-26",3.8
"51","2017-07-27",3.8
"52","2017-07-28",3.8
"53","2017-07-31",3.5
"54","2017-08-01",3.39
"55","2017-08-02",3.527
"56","2017-08-03",3.58
"57","2017-08-04",3.58
"58","2017-08-07",3.58
"59","2017-08-08",3.58
"60","2017-08-09",3.58
"61","2017-08-10",3.58
"62","2017-08-11",3.58
"63","2017-08-14",3.58
"64","2017-08-15",3.37
"65","2017-08-16",3.37
"66","2017-08-17",3.158
"67","2017-08-18",2.943
"68","2017-08-21",2.977
"69","2017-08-22",2.977
"70","2017-08-23",2.977
"71","2017-08-24",3.177
"72","2017-08-25",3.178
"73","2017-08-28",3.165
"74","2017-08-29",3.029
"75","2017-08-30",3.029
"76","2017-08-31",3.029
"77","2017-09-01",3.029
"78","2017-09-05",2.967
"79","2017-09-06",2.967
"80","2017-09-07",2.967
"81","2017-09-08",2.999
"82","2017-09-11",3.065
"83","2017-09-12",3.065
"84","2017-09-13",3.065
"85","2017-09-14",3.065
"86","2017-09-15",3.065
"87","2017-09-18",3.245
"88","2017-09-19",3.245
"89","2017-09-20",3.245
"90","2017-09-21",3.245
"91","2017-09-22",3.28
"92","2017-09-25",3.28
