"","date","MC"
"1","2014-04-16",26.15
"2","2014-04-17",26.09
"3","2014-04-21",25.950001
"4","2014-04-22",26.25
"5","2014-04-23",26.879999
"6","2014-04-24",27.77
"7","2014-04-25",26.959999
"8","2014-04-28",27
"9","2014-04-29",26.950001
"10","2014-04-30",26.559999
"11","2014-05-01",26.73
"12","2014-05-02",26.870001
"13","2014-05-05",26.67
"14","2014-05-06",26.440001
"15","2014-05-07",26.73
"16","2014-05-08",26.290001
"17","2014-05-09",27.549999
"18","2014-05-12",28
"19","2014-05-13",29.5
"20","2014-05-14",29.23
"21","2014-05-15",29.15
"22","2014-05-16",29.25
"23","2014-05-19",29.98
"24","2014-05-20",29.709999
"25","2014-05-21",30.1
"26","2014-05-22",30.299999
"27","2014-05-23",30.24
"28","2014-05-27",30.370001
"29","2014-05-28",30.280001
"30","2014-05-29",30.43
"31","2014-05-30",31.459999
"32","2014-06-02",31.280001
"33","2014-06-03",32.200001
"34","2014-06-04",32.279999
"35","2014-06-05",32.41
"36","2014-06-06",32.759998
"37","2014-06-09",33.509998
"38","2014-06-10",33.330002
"39","2014-06-11",33.32
"40","2014-06-12",34.240002
"41","2014-06-13",34.099998
"42","2014-06-16",34.07
"43","2014-06-17",34.099998
"44","2014-06-18",33.610001
"45","2014-06-19",33.810001
"46","2014-06-20",34.330002
"47","2014-06-23",35.529999
"48","2014-06-24",34.990002
"49","2014-06-25",34.369999
"50","2014-06-26",34.549999
"51","2014-06-27",33.200001
"52","2014-06-30",33.610001
"53","2014-07-01",33.599998
"54","2014-07-02",33.709999
"55","2014-07-03",33.630001
"56","2014-07-07",32.709999
"57","2014-07-08",31.35
"58","2014-07-09",30.85
"59","2014-07-10",30.610001
"60","2014-07-11",30.32
"61","2014-07-14",30.42
"62","2014-07-15",30.629999
"63","2014-07-16",30.83
"64","2014-07-17",30.559999
"65","2014-07-18",31.469999
"66","2014-07-21",32.860001
"67","2014-07-22",33.610001
"68","2014-07-23",33.900002
"69","2014-07-24",34.580002
"70","2014-07-25",33.810001
"71","2014-07-28",33.099998
"72","2014-07-29",32.759998
"73","2014-07-30",34.080002
"74","2014-07-31",34.060001
"75","2014-08-01",34.049999
"76","2014-08-04",34.16
"77","2014-08-05",33.919998
"78","2014-08-06",33.959999
"79","2014-08-07",33.82
"80","2014-08-08",34.009998
"81","2014-08-11",34.080002
"82","2014-08-12",34.240002
"83","2014-08-13",35.060001
"84","2014-08-14",34.860001
"85","2014-08-15",34.959999
"86","2014-08-18",34.869999
"87","2014-08-19",34.360001
"88","2014-08-20",33.490002
"89","2014-08-21",34.049999
"90","2014-08-22",34.07
"91","2014-08-25",34.240002
"92","2014-08-26",34.919998
"93","2014-08-27",35.060001
"94","2014-08-28",35.16
"95","2014-08-29",36.290001
"96","2014-09-02",35.900002
"97","2014-09-03",35.150002
"98","2014-09-04",34.970001
"99","2014-09-05",35.119999
"100","2014-09-08",34.77
"101","2014-09-09",34.150002
"102","2014-09-10",34.18
"103","2014-09-11",35.16
"104","2014-09-12",34.830002
"105","2014-09-15",33.93
"106","2014-09-16",34.580002
"107","2014-09-17",35.099998
"108","2014-09-18",35.57
"109","2014-09-19",35.049999
"110","2014-09-22",34.139999
"111","2014-09-23",34.200001
"112","2014-09-24",34.299999
"113","2014-09-25",34.119999
"114","2014-09-26",34.240002
"115","2014-09-29",33.779999
"116","2014-09-30",34.150002
"117","2014-10-01",33.98
