"","date","MDB"
"1","2017-10-19",32.07
"2","2017-10-20",30.68
"3","2017-10-23",30.5
"4","2017-10-24",30.57
"5","2017-10-25",31
"6","2017-10-26",31.1
"7","2017-10-27",30.889999
"8","2017-10-30",29.85
"9","2017-10-31",30.48
"10","2017-11-01",29.799999
"11","2017-11-02",29.950001
"12","2017-11-03",29.629999
"13","2017-11-06",30.610001
"14","2017-11-07",29.809999
"15","2017-11-08",29.879999
"16","2017-11-09",29.219999
"17","2017-11-10",30.200001
"18","2017-11-13",30.68
"19","2017-11-14",29.879999
"20","2017-11-15",29.629999
"21","2017-11-16",29.870001
"22","2017-11-17",29.83
"23","2017-11-20",29.26
"24","2017-11-21",29.209999
"25","2017-11-22",29.280001
"26","2017-11-24",29.92
"27","2017-11-27",29.690001
"28","2017-11-28",29.549999
"29","2017-11-29",28.709999
"30","2017-11-30",28.530001
"31","2017-12-01",27.799999
"32","2017-12-04",27.360001
"33","2017-12-05",26.15
"34","2017-12-06",26.870001
"35","2017-12-07",26.620001
"36","2017-12-08",25.76
"37","2017-12-11",26.860001
"38","2017-12-12",29
"39","2017-12-13",27.35
"40","2017-12-14",28.129999
"41","2017-12-15",29.42
"42","2017-12-18",28.299999
"43","2017-12-19",28.049999
"44","2017-12-20",29.5
"45","2017-12-21",28.68
"46","2017-12-22",28.450001
"47","2017-12-26",28.799999
"48","2017-12-27",29.1
"49","2017-12-28",30.24
"50","2017-12-29",29.68
"51","2018-01-02",29.25
"52","2018-01-03",29.15
"53","2018-01-04",29.049999
"54","2018-01-05",29.049999
"55","2018-01-08",28.809999
"56","2018-01-09",28.790001
"57","2018-01-10",28.870001
"58","2018-01-11",29.610001
"59","2018-01-12",29.280001
"60","2018-01-16",29.059999
"61","2018-01-17",29.530001
"62","2018-01-18",29.08
"63","2018-01-19",29.120001
"64","2018-01-22",28.809999
"65","2018-01-23",28.83
"66","2018-01-24",28.17
"67","2018-01-25",28.01
"68","2018-01-26",28.190001
"69","2018-01-29",27.68
"70","2018-01-30",27.83
"71","2018-01-31",27.110001
"72","2018-02-01",27.450001
"73","2018-02-02",26.52
"74","2018-02-05",25.879999
"75","2018-02-06",25.780001
"76","2018-02-07",26.389999
"77","2018-02-08",26.5
"78","2018-02-09",26.4
"79","2018-02-12",27.16
"80","2018-02-13",28.15
"81","2018-02-14",30.129999
"82","2018-02-15",29.889999
"83","2018-02-16",29.959999
"84","2018-02-20",30.27
"85","2018-02-21",31.049999
"86","2018-02-22",30.08
"87","2018-02-23",31.620001
"88","2018-02-26",30.870001
"89","2018-02-27",31.4
"90","2018-02-28",32.209999
"91","2018-03-01",32.939999
