"","date","SFET"
"1","2018-08-17",220
"2","2018-08-20",239.800003
"3","2018-08-21",255
"4","2018-08-22",251
"5","2018-08-23",233.199997
"6","2018-08-24",240
"7","2018-08-27",239
"8","2018-08-28",254.199997
"9","2018-08-29",248.399994
"10","2018-08-30",234.399994
"11","2018-08-31",234.399994
"12","2018-09-04",240
"13","2018-09-05",232.399994
"14","2018-09-06",206
"15","2018-09-07",200.399994
"16","2018-09-10",198
"17","2018-09-11",200
"18","2018-09-12",200
"19","2018-09-13",200
"20","2018-09-14",210
"21","2018-09-17",215.600006
"22","2018-09-18",212
"23","2018-09-19",226
"24","2018-09-20",216.800003
"25","2018-09-21",219
"26","2018-09-24",215.600006
"27","2018-09-25",218.399994
"28","2018-09-26",206.800003
"29","2018-09-27",204
"30","2018-09-28",204
"31","2018-10-01",214.800003
"32","2018-10-02",206.399994
"33","2018-10-03",200
"34","2018-10-04",194
"35","2018-10-05",207
"36","2018-10-08",195
"37","2018-10-09",180
"38","2018-10-10",174
"39","2018-10-11",166
"40","2018-10-12",159.800003
"41","2018-10-15",159.800003
"42","2018-10-16",160.600006
"43","2018-10-17",160
"44","2018-10-18",165.600006
"45","2018-10-19",165.600006
"46","2018-10-22",165
"47","2018-10-23",155
"48","2018-10-24",160
"49","2018-10-25",160
"50","2018-10-26",160
"51","2018-10-29",160
"52","2018-10-30",160
"53","2018-10-31",160
"54","2018-11-01",160
"55","2018-11-02",160
"56","2018-11-05",143.399994
"57","2018-11-06",143.399994
"58","2018-11-07",150
"59","2018-11-08",150
"60","2018-11-09",150
"61","2018-11-12",150
"62","2018-11-13",140
"63","2018-11-14",130
"64","2018-11-15",114.400002
"65","2018-11-16",122.199997
"66","2018-11-19",132.399994
"67","2018-11-20",113.599998
"68","2018-11-21",84
"69","2018-11-23",90
"70","2018-11-26",116
"71","2018-11-27",106
"72","2018-11-28",116.400002
"73","2018-11-29",112
"74","2018-11-30",112
"75","2018-12-03",109
"76","2018-12-04",101.199997
"77","2018-12-06",121
"78","2018-12-07",117.599998
"79","2018-12-10",105.599998
"80","2018-12-11",94
"81","2018-12-12",86.400002
"82","2018-12-13",86.400002
"83","2018-12-14",84.800003
"84","2018-12-17",86.199997
"85","2018-12-18",79
"86","2018-12-19",73.400002
"87","2018-12-20",67
"88","2018-12-21",67.800003
"89","2018-12-24",56.599998
"90","2018-12-26",61.799999
"91","2018-12-27",50.200001
"92","2018-12-28",55
"93","2018-12-31",59.400002
"94","2019-01-02",64
"95","2019-01-03",53
"96","2019-01-04",55.200001
"97","2019-01-07",61.400002
"98","2019-01-08",58.599998
"99","2019-01-09",58.400002
"100","2019-01-10",62
"101","2019-01-11",62.799999
"102","2019-01-14",59.200001
"103","2019-01-15",62.599998
"104","2019-01-16",59.599998
"105","2019-01-17",59.400002
"106","2019-01-18",59.599998
"107","2019-01-22",58.799999
"108","2019-01-23",59.200001
"109","2019-01-24",59
"110","2019-01-25",57.799999
"111","2019-01-28",56.599998
"112","2019-01-29",57.400002
"113","2019-01-30",57.400002
"114","2019-01-31",55.799999
"115","2019-02-01",57
"116","2019-02-04",57
"117","2019-02-05",54.200001
"118","2019-02-06",47.599998
"119","2019-02-07",49
"120","2019-02-08",47.400002
"121","2019-02-11",46.599998
"122","2019-02-12",44.599998
"123","2019-02-13",47.400002
"124","2019-02-14",48.599998
"125","2019-02-15",47.799999
"126","2019-02-19",47.599998
"127","2019-02-20",48.799999
"128","2019-02-21",47.200001
"129","2019-02-22",45.200001
"130","2019-02-25",46.400002
"131","2019-02-26",45.200001
"132","2019-02-27",44
"133","2019-02-28",40.400002
"134","2019-03-01",43.400002
"135","2019-03-04",44
"136","2019-03-05",39
"137","2019-03-06",39
"138","2019-03-07",39.799999
"139","2019-03-08",39.599998
"140","2019-03-11",41.200001
"141","2019-03-12",41
"142","2019-03-13",45.200001
"143","2019-03-14",48.599998
"144","2019-03-15",42.799999
"145","2019-03-18",42
"146","2019-03-19",41.400002
"147","2019-03-20",51.599998
"148","2019-03-21",51.200001
"149","2019-03-22",47.400002
"150","2019-03-25",44
"151","2019-03-26",44.200001
"152","2019-03-27",45.599998
"153","2019-03-28",66.199997
"154","2019-03-29",51.599998
"155","2019-04-01",49.599998
"156","2019-04-02",55
"157","2019-04-03",50.400002
"158","2019-04-04",52
"159","2019-04-05",50
"160","2019-04-08",51
"161","2019-04-09",52.400002
"162","2019-04-10",57.400002
"163","2019-04-11",53
"164","2019-04-12",52.799999
"165","2019-04-15",53.599998
"166","2019-04-16",54.799999
"167","2019-04-17",52.599998
"168","2019-04-18",51.599998
"169","2019-04-22",51.599998
"170","2019-04-23",49.400002
"171","2019-04-24",50.799999
"172","2019-04-25",52.400002
"173","2019-04-26",52
"174","2019-04-29",52
"175","2019-04-30",50.799999
"176","2019-05-01",49.200001
"177","2019-05-02",48.400002
"178","2019-05-03",46
"179","2019-05-06",45.599998
"180","2019-05-07",45.200001
"181","2019-05-08",46.400002
"182","2019-05-09",41.599998
"183","2019-05-10",43
"184","2019-05-13",44
"185","2019-05-14",45
"186","2019-05-15",44.799999
