"","date","HII"
"1","2011-03-22",37.490002
"2","2011-03-23",37.25
"3","2011-03-24",37.25
"4","2011-03-25",39.25
"5","2011-03-28",37.75
"6","2011-03-29",37.5
"7","2011-03-30",38.200001
"8","2011-03-31",41.5
"9","2011-04-01",40.040001
"10","2011-04-04",40.150002
"11","2011-04-05",40.25
"12","2011-04-06",39.68
"13","2011-04-07",38.799999
"14","2011-04-08",38.5
"15","2011-04-11",38.32
"16","2011-04-12",38.049999
"17","2011-04-13",38
"18","2011-04-14",38.77
"19","2011-04-15",40.139999
"20","2011-04-18",40.049999
"21","2011-04-19",39.779999
"22","2011-04-20",40.060001
"23","2011-04-21",39.310001
"24","2011-04-25",39.07
"25","2011-04-26",39.34
"26","2011-04-27",40.009998
"27","2011-04-28",39.990002
"28","2011-04-29",40
"29","2011-05-02",40.98
"30","2011-05-03",40.5
"31","2011-05-04",39.950001
"32","2011-05-05",39.84
"33","2011-05-06",39.5
"34","2011-05-09",39.599998
"35","2011-05-10",40.169998
"36","2011-05-11",38.779999
"37","2011-05-12",38.389999
"38","2011-05-13",38.459999
"39","2011-05-16",38.689999
"40","2011-05-17",38.779999
"41","2011-05-18",38.5
"42","2011-05-19",38.380001
"43","2011-05-20",38.060001
"44","2011-05-23",37.799999
"45","2011-05-24",37.169998
"46","2011-05-25",36.669998
"47","2011-05-26",36.419998
"48","2011-05-27",36.580002
"49","2011-05-31",36.57
"50","2011-06-01",36.099998
"51","2011-06-02",36.049999
"52","2011-06-03",35.799999
"53","2011-06-06",35.98
"54","2011-06-07",36.439999
"55","2011-06-08",36.970001
"56","2011-06-09",36.990002
"57","2011-06-10",36.330002
"58","2011-06-13",36.509998
"59","2011-06-14",36.580002
"60","2011-06-15",36.16
"61","2011-06-16",36
"62","2011-06-17",35.950001
"63","2011-06-20",35.990002
"64","2011-06-21",36.349998
"65","2011-06-22",36.150002
"66","2011-06-23",35.900002
"67","2011-06-24",35.59
"68","2011-06-27",35.200001
"69","2011-06-28",35.259998
"70","2011-06-29",34.82
"71","2011-06-30",34.5
"72","2011-07-01",34.610001
"73","2011-07-05",34.639999
"74","2011-07-06",35.25
"75","2011-07-07",34.490002
"76","2011-07-08",35
"77","2011-07-11",34.84
"78","2011-07-12",34.400002
"79","2011-07-13",34.040001
"80","2011-07-14",33.549999
"81","2011-07-15",33.52
"82","2011-07-18",33.200001
"83","2011-07-19",33.310001
"84","2011-07-20",33.23
"85","2011-07-21",33.419998
"86","2011-07-22",33.91
