"","date","ITIC"
"1","2007-01-03",53.400002
"2","2007-01-04",54.310001
"3","2007-01-05",54.310001
"4","2007-01-08",54.599998
"5","2007-01-09",54.599998
"6","2007-01-10",54.400002
"7","2007-01-11",54.400002
"8","2007-01-12",54.400002
"9","2007-01-16",53.509998
"10","2007-01-17",54.450001
"11","2007-01-18",54.450001
"12","2007-01-19",54.25
"13","2007-01-22",54.25
"14","2007-01-23",53.5
"15","2007-01-24",52.59
"16","2007-01-25",53.48
"17","2007-01-26",52.639999
"18","2007-01-29",52.639999
"19","2007-01-30",52.84
"20","2007-01-31",53.720001
"21","2007-02-01",52.52
"22","2007-02-02",52.509998
"23","2007-02-05",52.970001
"24","2007-02-06",52.970001
"25","2007-02-07",54.099998
"26","2007-02-08",53.400002
"27","2007-02-09",53.400002
"28","2007-02-12",53
"29","2007-02-13",53.400002
"30","2007-02-14",53.400002
"31","2007-02-15",53.400002
"32","2007-02-16",53.200001
"33","2007-02-20",52.52
"34","2007-02-21",49.82
"35","2007-02-22",49.68
"36","2007-02-23",50.849998
"37","2007-02-26",50.799999
"38","2007-02-27",50
"39","2007-02-28",49.959999
"40","2007-03-01",49.959999
"41","2007-03-02",50.580002
"42","2007-03-05",50.880001
"43","2007-03-06",49.869999
"44","2007-03-07",50.240002
"45","2007-03-08",50.150002
"46","2007-03-09",51.360001
"47","2007-03-12",52.5
"48","2007-03-13",51.779999
"49","2007-03-14",51.639999
"50","2007-03-15",51.09
"51","2007-03-16",51.09
"52","2007-03-19",51.209999
"53","2007-03-20",51.220001
"54","2007-03-21",51.220001
"55","2007-03-22",51.5
"56","2007-03-23",51.009998
"57","2007-03-26",50.330002
"58","2007-03-27",50.540001
"59","2007-03-28",50.540001
"60","2007-03-29",50.540001
"61","2007-03-30",50.330002
"62","2007-04-02",49.549999
"63","2007-04-03",49
"64","2007-04-04",49.169998
"65","2007-04-05",49
"66","2007-04-09",48.049999
"67","2007-04-10",48
"68","2007-04-11",48.099998
"69","2007-04-12",48.119999
"70","2007-04-13",48.98
"71","2007-04-16",48.43
