"","date","NNBR"
"1","2007-01-03",12.25
"2","2007-01-04",12.19
"3","2007-01-05",12.22
"4","2007-01-08",12.26
"5","2007-01-09",12.19
"6","2007-01-10",11.98
"7","2007-01-11",11.98
"8","2007-01-12",11.96
"9","2007-01-16",12.07
"10","2007-01-17",12.23
"11","2007-01-18",12.14
"12","2007-01-19",12.37
"13","2007-01-22",12.25
"14","2007-01-23",12.46
"15","2007-01-24",12.62
"16","2007-01-25",12.4
"17","2007-01-26",12.44
"18","2007-01-29",12.23
"19","2007-01-30",12.75
"20","2007-01-31",12.77
"21","2007-02-01",12.78
"22","2007-02-02",12.74
"23","2007-02-05",12.63
"24","2007-02-06",12.53
"25","2007-02-07",12.73
"26","2007-02-08",13.27
"27","2007-02-09",13.13
"28","2007-02-12",12.92
"29","2007-02-13",13.04
"30","2007-02-14",12.85
"31","2007-02-15",12.79
"32","2007-02-16",12.75
"33","2007-02-20",12.55
"34","2007-02-21",12.75
"35","2007-02-22",12.54
"36","2007-02-23",12.35
"37","2007-02-26",12.49
"38","2007-02-27",11.8
"39","2007-02-28",11.83
"40","2007-03-01",11.69
"41","2007-03-02",11.59
"42","2007-03-05",11.4
"43","2007-03-06",11.45
"44","2007-03-07",11.69
"45","2007-03-08",11.69
"46","2007-03-09",12.21
"47","2007-03-12",12.24
"48","2007-03-13",12.1
"49","2007-03-14",12.09
"50","2007-03-15",12.02
"51","2007-03-16",12.05
"52","2007-03-19",12.05
"53","2007-03-20",12.1
"54","2007-03-21",12.57
"55","2007-03-22",12.54
"56","2007-03-23",12.51
"57","2007-03-26",12.47
"58","2007-03-27",12.5
"59","2007-03-28",12.23
"60","2007-03-29",12.5
"61","2007-03-30",12.49
"62","2007-04-02",12.34
"63","2007-04-03",12.15
"64","2007-04-04",12.38
"65","2007-04-05",12.58
"66","2007-04-09",12.23
"67","2007-04-10",12.32
"68","2007-04-11",12.56
"69","2007-04-12",12.01
"70","2007-04-13",12.78
"71","2007-04-16",12.72
"72","2007-04-17",12.32
"73","2007-04-18",12.57
"74","2007-04-19",12.33
"75","2007-04-20",12.66
"76","2007-04-23",12.65
"77","2007-04-24",12.2
"78","2007-04-25",12.26
"79","2007-04-26",12.45
"80","2007-04-27",12.22
"81","2007-04-30",11.93
"82","2007-05-01",11.86
"83","2007-05-02",12
"84","2007-05-03",12.14
"85","2007-05-04",12.45
"86","2007-05-07",11.99
"87","2007-05-08",11.98
"88","2007-05-09",12.14
"89","2007-05-10",12
"90","2007-05-11",12.16
"91","2007-05-14",11.85
"92","2007-05-15",11.8
"93","2007-05-16",11.74
"94","2007-05-17",11.72
"95","2007-05-18",11.81
"96","2007-05-21",11.65
"97","2007-05-22",12.18
"98","2007-05-23",11.99
"99","2007-05-24",11.98
"100","2007-05-25",12.12
"101","2007-05-29",12.17
"102","2007-05-30",12.25
"103","2007-05-31",12.58
"104","2007-06-01",12.68
"105","2007-06-04",12.67
"106","2007-06-05",12.1
"107","2007-06-06",11.9
"108","2007-06-07",11.66
"109","2007-06-08",11.8
"110","2007-06-11",12.22
"111","2007-06-12",11.77
"112","2007-06-13",12.01
"113","2007-06-14",11.86
"114","2007-06-15",12.37
"115","2007-06-18",12.31
"116","2007-06-19",12.32
"117","2007-06-20",12.04
"118","2007-06-21",12.33
"119","2007-06-22",11.87
"120","2007-06-25",11.8
"121","2007-06-26",11.97
"122","2007-06-27",11.93
"123","2007-06-28",11.85
"124","2007-06-29",11.8
"125","2007-07-02",12.26
"126","2007-07-03",11.85
"127","2007-07-05",12.36
"128","2007-07-06",12.36
"129","2007-07-09",12.26
"130","2007-07-10",12.13
"131","2007-07-11",12.34
"132","2007-07-12",12.49
"133","2007-07-13",12.51
"134","2007-07-16",12.45
"135","2007-07-17",12.43
"136","2007-07-18",12.39
"137","2007-07-19",12.49
"138","2007-07-20",12.31
"139","2007-07-23",12.41
"140","2007-07-24",12.51
"141","2007-07-25",11.96
"142","2007-07-26",11.13
"143","2007-07-27",10.9
"144","2007-07-30",10.78
"145","2007-07-31",10.6
"146","2007-08-01",10.22
"147","2007-08-02",10.43
"148","2007-08-03",9.92
"149","2007-08-06",9.97
"150","2007-08-07",9.59
"151","2007-08-08",9.15
"152","2007-08-09",9
"153","2007-08-10",9.44
"154","2007-08-13",9.39
"155","2007-08-14",9.22
"156","2007-08-15",9.05
"157","2007-08-16",9.01
"158","2007-08-17",9.04
"159","2007-08-20",10.61
"160","2007-08-21",9.77
"161","2007-08-22",10.15
"162","2007-08-23",10.03
"163","2007-08-24",10.41
"164","2007-08-27",10.14
"165","2007-08-28",9.81
"166","2007-08-29",9.61
"167","2007-08-30",10.14
"168","2007-08-31",10.27
"169","2007-09-04",10.92
"170","2007-09-05",10.18
"171","2007-09-06",10.3
"172","2007-09-07",10.29
"173","2007-09-10",9.97
"174","2007-09-11",9.94
"175","2007-09-12",9.85
"176","2007-09-13",10.4
"177","2007-09-14",10.27
"178","2007-09-17",10.17
"179","2007-09-18",10.29
"180","2007-09-19",10.37
"181","2007-09-20",10.19
"182","2007-09-21",10.65
"183","2007-09-24",10.26
"184","2007-09-25",10.14
"185","2007-09-26",10.16
"186","2007-09-27",9.98
