"","date","ATCO"
"1","2007-01-03",23.93
"2","2007-01-04",23.98
"3","2007-01-05",23.65
"4","2007-01-08",23.33
"5","2007-01-09",23.969999
"6","2007-01-10",23.690001
"7","2007-01-11",24.469999
"8","2007-01-12",24.799999
"9","2007-01-16",24.799999
"10","2007-01-17",24.92
"11","2007-01-18",24.719999
"12","2007-01-19",25
"13","2007-01-22",25.17
"14","2007-01-23",25.68
"15","2007-01-24",25.33
"16","2007-01-25",25.51
"17","2007-01-26",25.16
"18","2007-01-29",25.4
"19","2007-01-30",25.040001
"20","2007-01-31",25.16
"21","2007-02-01",25.629999
"22","2007-02-02",25.860001
"23","2007-02-05",25.9
"24","2007-02-06",25.85
"25","2007-02-07",25.870001
"26","2007-02-08",25.68
"27","2007-02-09",25.98
"28","2007-02-12",25.85
"29","2007-02-13",25.84
"30","2007-02-14",26.049999
"31","2007-02-15",26.370001
"32","2007-02-16",25.860001
"33","2007-02-20",26.139999
"34","2007-02-21",26.139999
"35","2007-02-22",26.190001
"36","2007-02-23",26.23
"37","2007-02-26",25.82
"38","2007-02-27",25.059999
"39","2007-02-28",25.530001
"40","2007-03-01",25.190001
"41","2007-03-02",25.370001
"42","2007-03-05",24.26
"43","2007-03-06",24.84
"44","2007-03-07",25
"45","2007-03-08",25.120001
"46","2007-03-09",25.43
"47","2007-03-12",25.799999
"48","2007-03-13",25.67
"49","2007-03-14",25.620001
"50","2007-03-15",25.879999
"51","2007-03-16",26.23
"52","2007-03-19",26.52
"53","2007-03-20",26.879999
"54","2007-03-21",26.75
"55","2007-03-22",26.35
"56","2007-03-23",27.07
"57","2007-03-26",26.889999
"58","2007-03-27",26.6
"59","2007-03-28",26.91
"60","2007-03-29",26.629999
"61","2007-03-30",26.790001
"62","2007-04-02",26.879999
"63","2007-04-03",26.860001
"64","2007-04-04",26.92
"65","2007-04-05",26.950001
"66","2007-04-09",27.42
"67","2007-04-10",27.299999
"68","2007-04-11",27.18
"69","2007-04-12",28
"70","2007-04-13",28.85
"71","2007-04-16",29.120001
"72","2007-04-17",29.950001
"73","2007-04-18",29.75
"74","2007-04-19",28.809999
"75","2007-04-20",29.120001
"76","2007-04-23",29.120001
"77","2007-04-24",29.030001
"78","2007-04-25",28.969999
"79","2007-04-26",28.43
"80","2007-04-27",28.24
"81","2007-04-30",28.08
"82","2007-05-01",27.370001
"83","2007-05-02",27.85
"84","2007-05-03",28.08
"85","2007-05-04",28.190001
"86","2007-05-07",28.85
"87","2007-05-08",28.700001
"88","2007-05-09",28.84
"89","2007-05-10",28.440001
"90","2007-05-11",28.700001
"91","2007-05-14",28.440001
"92","2007-05-15",28.629999
"93","2007-05-16",28.99
"94","2007-05-17",29.4
"95","2007-05-18",29.389999
"96","2007-05-21",29.41
"97","2007-05-22",29.629999
"98","2007-05-23",29.59
"99","2007-05-24",28.76
"100","2007-05-25",29.17
"101","2007-05-29",29.41
"102","2007-05-30",29.290001
"103","2007-05-31",29.68
"104","2007-06-01",30.25
"105","2007-06-04",29.780001
"106","2007-06-05",29.549999
"107","2007-06-06",29.540001
"108","2007-06-07",29.440001
"109","2007-06-08",29.65
"110","2007-06-11",29.82
"111","2007-06-12",29.469999
"112","2007-06-13",30.450001
"113","2007-06-14",31.84
"114","2007-06-15",32.360001
"115","2007-06-18",31.809999
"116","2007-06-19",31.549999
"117","2007-06-20",31.379999
"118","2007-06-21",31.57
"119","2007-06-22",31.450001
"120","2007-06-25",31.139999
"121","2007-06-26",31.120001
"122","2007-06-27",31.09
"123","2007-06-28",31.620001
