"","date","CZZ"
"1","2007-09-04",10.95
"2","2007-09-05",10.62
"3","2007-09-06",10.35
"4","2007-09-07",10.05
"5","2007-09-10",10.2
"6","2007-09-11",10.46
"7","2007-09-12",10.68
"8","2007-09-13",11.11
"9","2007-09-14",11.3
"10","2007-09-17",11.19
"11","2007-09-18",11.45
"12","2007-09-19",11.48
"13","2007-09-20",11.64
"14","2007-09-21",12.25
"15","2007-09-24",12.4
"16","2007-09-25",12.11
"17","2007-09-26",12.57
"18","2007-09-27",12.93
"19","2007-09-28",12.9
"20","2007-10-01",13.28
"21","2007-10-02",13.03
"22","2007-10-03",12.43
"23","2007-10-04",12.95
"24","2007-10-05",13.24
"25","2007-10-08",13.1
"26","2007-10-09",13.1
"27","2007-10-10",12.96
"28","2007-10-11",12.41
"29","2007-10-12",12.28
"30","2007-10-15",12.34
"31","2007-10-16",12.2
"32","2007-10-17",12.09
"33","2007-10-18",12.24
"34","2007-10-19",12
"35","2007-10-22",12
"36","2007-10-23",12.12
"37","2007-10-24",12.19
"38","2007-10-25",12.18
"39","2007-10-26",12.39
"40","2007-10-29",12.4
"41","2007-10-30",12.49
"42","2007-10-31",12.7
"43","2007-11-01",12.61
"44","2007-11-02",12.15
"45","2007-11-05",11.85
"46","2007-11-06",11.96
"47","2007-11-07",11.53
"48","2007-11-08",11.27
"49","2007-11-09",11.04
"50","2007-11-12",10.3
"51","2007-11-13",10.8
"52","2007-11-14",11.01
"53","2007-11-15",10.62
"54","2007-11-16",11.54
"55","2007-11-19",10.92
"56","2007-11-20",10.8
"57","2007-11-21",10.33
"58","2007-11-23",10.45
"59","2007-11-26",10.1
"60","2007-11-27",10
"61","2007-11-28",10.6
"62","2007-11-29",11.11
"63","2007-11-30",10.85
"64","2007-12-03",10.95
"65","2007-12-04",10.87
"66","2007-12-05",11.03
"67","2007-12-06",10.9
"68","2007-12-07",10.93
"69","2007-12-10",10.72
"70","2007-12-11",10.9
"71","2007-12-12",10.63
"72","2007-12-13",10.39
"73","2007-12-14",10.83
"74","2007-12-17",10.35
"75","2007-12-18",10.87
"76","2007-12-19",10.8
"77","2007-12-20",10.99
"78","2007-12-21",11.23
"79","2007-12-24",11.48
"80","2007-12-26",11.59
"81","2007-12-27",11.7
"82","2007-12-28",12.51
"83","2007-12-31",12.6
"84","2008-01-02",12.19
"85","2008-01-03",12.28
"86","2008-01-04",12.15
"87","2008-01-07",12.3
"88","2008-01-08",12.9
"89","2008-01-09",13.94
"90","2008-01-10",13.5
"91","2008-01-11",13.59
"92","2008-01-14",13.88
"93","2008-01-15",13.32
"94","2008-01-16",12.68
"95","2008-01-17",13.17
"96","2008-01-18",13.59
"97","2008-01-22",12.97
"98","2008-01-23",12.48
"99","2008-01-24",12.47
"100","2008-01-25",12.56
"101","2008-01-28",13.56
"102","2008-01-29",13.57
"103","2008-01-30",13.65
"104","2008-01-31",14.35
"105","2008-02-01",14.54
"106","2008-02-04",14.05
"107","2008-02-05",12.98
"108","2008-02-06",12.71
"109","2008-02-07",12.58
"110","2008-02-08",12.9
"111","2008-02-11",13.96
"112","2008-02-12",13.7
"113","2008-02-13",13.9
"114","2008-02-14",13.88
"115","2008-02-15",13.9
"116","2008-02-19",14.07
"117","2008-02-20",14.28
"118","2008-02-21",14.85
"119","2008-02-22",14.64
"120","2008-02-25",14.5
"121","2008-02-26",14.43
"122","2008-02-27",14.7
"123","2008-02-28",14.99
"124","2008-02-29",15
"125","2008-03-03",15.75
"126","2008-03-04",15.14
"127","2008-03-05",15.53
"128","2008-03-06",15.03
"129","2008-03-07",14.65
"130","2008-03-10",13.58
"131","2008-03-11",14.39
"132","2008-03-12",14
"133","2008-03-13",14.23
"134","2008-03-14",13.87
"135","2008-03-17",12.68
"136","2008-03-18",12.7
"137","2008-03-19",12.06
"138","2008-03-20",12.32
"139","2008-03-24",12.73
"140","2008-03-25",12.86
"141","2008-03-26",12.34
"142","2008-03-27",11.85
"143","2008-03-28",12.05
"144","2008-03-31",12.32
"145","2008-04-01",11.85
"146","2008-04-02",12.38
"147","2008-04-03",12.65
"148","2008-04-04",12.56
"149","2008-04-07",13.11
"150","2008-04-08",13.09
"151","2008-04-09",12.77
"152","2008-04-10",12.87
"153","2008-04-11",12.77
"154","2008-04-14",13.15
"155","2008-04-15",13.64
"156","2008-04-16",14.54
"157","2008-04-17",14.8
"158","2008-04-18",13.75
"159","2008-04-21",13.92
"160","2008-04-22",13.44
"161","2008-04-23",13.11
"162","2008-04-24",12.55
"163","2008-04-25",13
"164","2008-04-28",13.11
"165","2008-04-29",12.77
"166","2008-04-30",13.26
"167","2008-05-01",13.31
"168","2008-05-02",13.39
"169","2008-05-05",13.31
"170","2008-05-06",13.45
"171","2008-05-07",13.23
"172","2008-05-08",13.29
"173","2008-05-09",13.21
"174","2008-05-12",13.69
"175","2008-05-13",13.61
"176","2008-05-14",13.1
"177","2008-05-15",13.36
"178","2008-05-16",13.59
"179","2008-05-19",13.36
"180","2008-05-20",13.47
"181","2008-05-21",13.24
"182","2008-05-22",13.19
"183","2008-05-23",12.5
"184","2008-05-27",12.28
"185","2008-05-28",12.02
"186","2008-05-29",12.25
"187","2008-05-30",11.78
"188","2008-06-02",11.58
"189","2008-06-03",11.56
"190","2008-06-04",11.41
"191","2008-06-05",11.43
"192","2008-06-06",11.5
"193","2008-06-09",11.38
"194","2008-06-10",11.03
"195","2008-06-11",11.32
"196","2008-06-12",11.11
"197","2008-06-13",11.27
"198","2008-06-16",11.51
"199","2008-06-17",12.66
"200","2008-06-18",12.84
"201","2008-06-19",12.32
"202","2008-06-20",12.31
"203","2008-06-23",12.16
"204","2008-06-24",12.57
"205","2008-06-25",12.79
"206","2008-06-26",12.58
"207","2008-06-27",12.63
"208","2008-06-30",12.65
"209","2008-07-01",13.49
"210","2008-07-02",13.75
"211","2008-07-03",13.99
"212","2008-07-07",12.87
"213","2008-07-08",12.69
"214","2008-07-09",12.92
"215","2008-07-10",12.97
"216","2008-07-11",13.24
"217","2008-07-14",13.45
"218","2008-07-15",13.15
"219","2008-07-16",13.11
"220","2008-07-17",12.86
"221","2008-07-18",12.77
"222","2008-07-21",12.95
"223","2008-07-22",13.02
"224","2008-07-23",12.95
"225","2008-07-24",13.27
"226","2008-07-25",13.45
"227","2008-07-28",13.45
"228","2008-07-29",13.41
"229","2008-07-30",13.8
"230","2008-07-31",13.11
"231","2008-08-01",13.33
"232","2008-08-04",12.76
"233","2008-08-05",11.91
"234","2008-08-06",12.06
"235","2008-08-07",12.53
"236","2008-08-08",12.13
"237","2008-08-11",11.79
"238","2008-08-12",11.79
"239","2008-08-13",11.95
"240","2008-08-14",12.17
"241","2008-08-15",11.62
"242","2008-08-18",11.83
"243","2008-08-19",12.08
"244","2008-08-20",12.23
"245","2008-08-21",12.29
"246","2008-08-22",12.12
"247","2008-08-25",12.06
"248","2008-08-26",12.05
"249","2008-08-27",12.11
"250","2008-08-28",12.19
"251","2008-08-29",11.98
"252","2008-09-02",11.33
"253","2008-09-03",11.09
"254","2008-09-04",10.42
"255","2008-09-05",10.2
"256","2008-09-08",9.77
"257","2008-09-09",8.56
"258","2008-09-10",8.02
"259","2008-09-11",8.15
"260","2008-09-12",8.27
"261","2008-09-15",8.01
"262","2008-09-16",8.01
"263","2008-09-17",7.49
"264","2008-09-18",7.74
"265","2008-09-19",9.95
"266","2008-09-22",8.28
"267","2008-09-23",7.65
"268","2008-09-24",7.68
"269","2008-09-25",7.71
"270","2008-09-26",8.12
"271","2008-09-29",9.5
"272","2008-09-30",7.98
"273","2008-10-01",8.32
"274","2008-10-02",7.43
"275","2008-10-03",7
"276","2008-10-06",5.49
"277","2008-10-07",4.75
"278","2008-10-08",5.06
"279","2008-10-09",4.33
"280","2008-10-10",3.72
"281","2008-10-13",3.9
"282","2008-10-14",3.69
"283","2008-10-15",3.5
"284","2008-10-16",3.2
"285","2008-10-17",3.02
