"","date","TW"
"1","2019-04-04",35.810001
"2","2019-04-05",36.580002
"3","2019-04-08",39.220001
"4","2019-04-09",38.599998
"5","2019-04-10",40.259998
"6","2019-04-11",42.060001
"7","2019-04-12",41.869999
"8","2019-04-15",42.330002
"9","2019-04-16",40.82
"10","2019-04-17",39.400002
"11","2019-04-18",39.360001
"12","2019-04-22",40.049999
"13","2019-04-23",39.299999
"14","2019-04-24",39.990002
"15","2019-04-25",39.799999
"16","2019-04-26",40.23
"17","2019-04-29",41.25
"18","2019-04-30",40.25
"19","2019-05-01",40.310001
"20","2019-05-02",39.450001
"21","2019-05-03",39.169998
"22","2019-05-06",40.25
"23","2019-05-07",39.25
"24","2019-05-08",39.889999
"25","2019-05-09",41.080002
"26","2019-05-10",43
"27","2019-05-13",42.98
"28","2019-05-14",43.43
"29","2019-05-15",42.470001
"30","2019-05-16",44.009998
"31","2019-05-17",43.290001
"32","2019-05-20",44.549999
"33","2019-05-21",43.459999
"34","2019-05-22",43.48
"35","2019-05-23",44.009998
"36","2019-05-24",44.25
"37","2019-05-28",43.330002
"38","2019-05-29",43.009998
"39","2019-05-30",43.970001
"40","2019-05-31",45.09
"41","2019-06-03",43.82
"42","2019-06-04",43.52
"43","2019-06-05",44.009998
"44","2019-06-06",43.59
"45","2019-06-07",42.900002
"46","2019-06-10",43.41
"47","2019-06-11",42.75
"48","2019-06-12",42.580002
"49","2019-06-13",41.84
"50","2019-06-14",41.439999
"51","2019-06-17",41.82
"52","2019-06-18",42.23
"53","2019-06-19",43.029999
"54","2019-06-20",42.950001
"55","2019-06-21",43.209999
"56","2019-06-24",41.509998
"57","2019-06-25",41.09
"58","2019-06-26",41.52
"59","2019-06-27",42.43
"60","2019-06-28",43.810001
"61","2019-07-01",43.869999
"62","2019-07-02",44.119999
"63","2019-07-03",45.5
"64","2019-07-05",46.32
"65","2019-07-08",46.849998
"66","2019-07-09",47.060001
"67","2019-07-10",47.880001
"68","2019-07-11",49.330002
"69","2019-07-12",48.25
"70","2019-07-15",47.389999
"71","2019-07-16",47.830002
"72","2019-07-17",48.400002
"73","2019-07-18",49.709999
"74","2019-07-19",49.5
"75","2019-07-22",50
"76","2019-07-23",50.040001
"77","2019-07-24",46.43
"78","2019-07-25",46.610001
"79","2019-07-26",48.169998
"80","2019-07-29",47.639999
"81","2019-07-30",47.220001
"82","2019-07-31",47.360001
"83","2019-08-01",45.700001
"84","2019-08-02",46.5
"85","2019-08-05",45.310001
"86","2019-08-06",45.400002
"87","2019-08-07",45.860001
"88","2019-08-08",44.240002
"89","2019-08-09",45.23
"90","2019-08-12",45.98
"91","2019-08-13",45.48
"92","2019-08-14",44.209999
"93","2019-08-15",44.990002
"94","2019-08-16",44.880001
"95","2019-08-19",44.990002
"96","2019-08-20",45.799999
"97","2019-08-21",45.849998
"98","2019-08-22",45.009998
"99","2019-08-23",44.209999
"100","2019-08-26",42.900002
"101","2019-08-27",42.790001
"102","2019-08-28",42.73
"103","2019-08-29",43.740002
"104","2019-08-30",42.59
