"","date","ITCI"
"1","2014-01-07",15
"2","2014-01-08",17
"3","2014-01-09",17.5
"4","2014-01-10",18
"5","2014-01-13",18.200001
"6","2014-01-14",18.1
"7","2014-01-15",18.200001
"8","2014-01-16",18.309999
"9","2014-01-17",19
"10","2014-01-21",20
"11","2014-01-22",20
"12","2014-01-23",20
"13","2014-01-24",19.799999
"14","2014-01-27",19
"15","2014-01-28",19
"16","2014-01-29",19
"17","2014-01-30",19
"18","2014-01-31",19.4
"19","2014-02-03",20
"20","2014-02-04",19
"21","2014-02-05",18.459999
"22","2014-02-06",16.889999
"23","2014-02-07",16.795
"24","2014-02-10",16.98
"25","2014-02-11",16.77
"26","2014-02-12",16.99
"27","2014-02-13",16.99
"28","2014-02-14",16.799999
"29","2014-02-18",16.879999
"30","2014-02-19",16.780001
"31","2014-02-20",16.299999
"32","2014-02-21",16.24
"33","2014-02-24",16.77
"34","2014-02-25",16.67
"35","2014-02-26",16.49
"36","2014-02-27",16.59
"37","2014-02-28",16.23
"38","2014-03-03",16.98
"39","2014-03-04",17.6
"40","2014-03-05",17.440001
"41","2014-03-06",18.299999
"42","2014-03-07",19.120001
"43","2014-03-10",19.59
"44","2014-03-11",20.09
"45","2014-03-12",20.25
"46","2014-03-13",20.25
"47","2014-03-14",20
"48","2014-03-17",18.280001
"49","2014-03-18",19.4
"50","2014-03-19",19.389999
"51","2014-03-20",19.780001
"52","2014-03-21",18.559999
"53","2014-03-24",18.98
"54","2014-03-25",18.73
"55","2014-03-26",17.92
"56","2014-03-27",18.700001
"57","2014-03-28",18.59
"58","2014-03-31",18.18
"59","2014-04-01",19
"60","2014-04-02",19
"61","2014-04-03",18.42
"62","2014-04-04",17.049999
"63","2014-04-07",17.49
"64","2014-04-08",16.5
"65","2014-04-09",18.360001
"66","2014-04-10",18.26
"67","2014-04-11",17.49
"68","2014-04-14",16.870001
"69","2014-04-15",16.209999
"70","2014-04-16",15.72
"71","2014-04-17",16.15
"72","2014-04-21",16.1
"73","2014-04-22",15.77
"74","2014-04-23",16.25
"75","2014-04-24",16.309999
"76","2014-04-25",16.219999
"77","2014-04-28",16.950001
"78","2014-04-29",16.540001
"79","2014-04-30",16.700001
"80","2014-05-01",16.5
"81","2014-05-02",16.08
"82","2014-05-05",15.58
"83","2014-05-06",15.75
"84","2014-05-07",15.42
"85","2014-05-08",16.27
"86","2014-05-09",15.95
