"","date","DG"
"1","2009-11-13",22.73
"2","2009-11-16",23.1
"3","2009-11-17",23.040001
"4","2009-11-18",22.549999
"5","2009-11-19",22.870001
"6","2009-11-20",23.209999
"7","2009-11-23",23.4
"8","2009-11-24",23.5
"9","2009-11-25",23.74
"10","2009-11-27",23.15
"11","2009-11-30",23
"12","2009-12-01",23.309999
"13","2009-12-02",23.6
"14","2009-12-03",23.309999
"15","2009-12-04",23.85
"16","2009-12-07",23.629999
"17","2009-12-08",23.629999
"18","2009-12-09",24
"19","2009-12-10",23.700001
"20","2009-12-11",23.34
"21","2009-12-14",22.799999
"22","2009-12-15",22.690001
"23","2009-12-16",22.73
"24","2009-12-17",22.440001
"25","2009-12-18",22.57
"26","2009-12-21",22.6
"27","2009-12-22",22.4
"28","2009-12-23",22.41
"29","2009-12-24",22.15
"30","2009-12-28",22.620001
"31","2009-12-29",22.610001
"32","2009-12-30",22.610001
"33","2009-12-31",22.43
"34","2010-01-04",23.08
"35","2010-01-05",23.26
"36","2010-01-06",23.58
"37","2010-01-07",23.74
"38","2010-01-08",23.870001
"39","2010-01-11",24
"40","2010-01-12",23.950001
"41","2010-01-13",24.299999
"42","2010-01-14",24.200001
"43","2010-01-15",24.360001
"44","2010-01-19",24.549999
"45","2010-01-20",24.51
"46","2010-01-21",23.98
"47","2010-01-22",23.34
"48","2010-01-25",23.35
"49","2010-01-26",23.530001
"50","2010-01-27",23.549999
"51","2010-01-28",23.84
"52","2010-01-29",23.49
"53","2010-02-01",23.370001
"54","2010-02-02",23.629999
"55","2010-02-03",23.84
"56","2010-02-04",22.469999
"57","2010-02-05",21.709999
"58","2010-02-08",22.389999
"59","2010-02-09",22.559999
"60","2010-02-10",22.049999
"61","2010-02-11",22.059999
"62","2010-02-12",22.549999
"63","2010-02-16",23.030001
"64","2010-02-17",22.76
"65","2010-02-18",23.280001
"66","2010-02-19",23.58
"67","2010-02-22",23.24
"68","2010-02-23",23.639999
"69","2010-02-24",24.16
"70","2010-02-25",23.799999
"71","2010-02-26",23.889999
"72","2010-03-01",24.09
"73","2010-03-02",24.040001
"74","2010-03-03",23.99
"75","2010-03-04",24.200001
"76","2010-03-05",24.52
"77","2010-03-08",24.67
"78","2010-03-09",25.120001
"79","2010-03-10",25.059999
"80","2010-03-11",25.110001
"81","2010-03-12",25.129999
"82","2010-03-15",25.030001
"83","2010-03-16",25.120001
"84","2010-03-17",25.82
"85","2010-03-18",25.24
"86","2010-03-19",25.6
"87","2010-03-22",25.01
"88","2010-03-23",25.18
"89","2010-03-24",25.25
"90","2010-03-25",24.43
"91","2010-03-26",24.99
"92","2010-03-29",25.35
"93","2010-03-30",25.790001
"94","2010-03-31",25.25
"95","2010-04-01",25.52
"96","2010-04-05",25.799999
"97","2010-04-06",27.01
"98","2010-04-07",26.549999
"99","2010-04-08",26.51
"100","2010-04-09",26.469999
"101","2010-04-12",26.24
"102","2010-04-13",27.030001
"103","2010-04-14",27.52
"104","2010-04-15",27
"105","2010-04-16",28.6
"106","2010-04-19",29.01
"107","2010-04-20",28.25
"108","2010-04-21",28.190001
"109","2010-04-22",29.530001
"110","2010-04-23",29.379999
"111","2010-04-26",29.58
"112","2010-04-27",28.99
"113","2010-04-28",29.01
"114","2010-04-29",29.129999
"115","2010-04-30",28.57
"116","2010-05-03",29.02
"117","2010-05-04",28.639999
"118","2010-05-05",28.52
"119","2010-05-06",27.91
"120","2010-05-07",27.190001
"121","2010-05-10",27.719999
"122","2010-05-11",27.98
"123","2010-05-12",29.360001
"124","2010-05-13",29.440001
"125","2010-05-14",29.27
"126","2010-05-17",29.450001
"127","2010-05-18",29.290001
"128","2010-05-19",29.700001
"129","2010-05-20",29.030001
"130","2010-05-21",29.549999
"131","2010-05-24",30.01
"132","2010-05-25",30.610001
"133","2010-05-26",30.440001
"134","2010-05-27",30.639999
"135","2010-05-28",30.23
"136","2010-06-01",30.540001
"137","2010-06-02",31.360001
"138","2010-06-03",30.700001
"139","2010-06-04",30.040001
"140","2010-06-07",29.23
"141","2010-06-08",29.83
"142","2010-06-09",30
"143","2010-06-10",29.98
"144","2010-06-11",29.969999
