"","date","REPL"
"1","2018-07-20",15.16
"2","2018-07-23",15
"3","2018-07-24",15.1
"4","2018-07-25",15.13
"5","2018-07-26",15
"6","2018-07-27",15
"7","2018-07-30",15.09
"8","2018-07-31",14.99
"9","2018-08-01",15.42
"10","2018-08-02",16.360001
"11","2018-08-03",16.02
"12","2018-08-06",15.82
"13","2018-08-07",15.8
"14","2018-08-08",16.34
"15","2018-08-09",16.299999
"16","2018-08-10",16.91
"17","2018-08-13",17.1
"18","2018-08-14",17.23
"19","2018-08-15",17
"20","2018-08-16",17.440001
"21","2018-08-17",17.440001
"22","2018-08-20",17.18
"23","2018-08-21",16.870001
"24","2018-08-22",16.77
"25","2018-08-23",16.65
"26","2018-08-24",16.620001
"27","2018-08-27",16.799999
"28","2018-08-28",19.25
"29","2018-08-29",20.540001
"30","2018-08-30",18.65
"31","2018-08-31",19.290001
"32","2018-09-04",22.139999
"33","2018-09-05",21.34
"34","2018-09-06",21.09
"35","2018-09-07",19.969999
"36","2018-09-10",19.200001
"37","2018-09-11",19.35
"38","2018-09-12",19.5
"39","2018-09-13",19.370001
"40","2018-09-14",19.34
"41","2018-09-17",18.459999
"42","2018-09-18",18.77
"43","2018-09-19",18.219999
"44","2018-09-20",18.33
"45","2018-09-21",18.700001
"46","2018-09-24",19.190001
"47","2018-09-25",18.190001
"48","2018-09-26",17.629999
"49","2018-09-27",17.27
"50","2018-09-28",16.1
"51","2018-10-01",15.57
"52","2018-10-02",14.59
"53","2018-10-03",13.92
"54","2018-10-04",12.94
"55","2018-10-05",12.69
"56","2018-10-08",12.41
"57","2018-10-09",11
"58","2018-10-10",10.96
"59","2018-10-11",11.11
"60","2018-10-12",13.01
"61","2018-10-15",12.51
"62","2018-10-16",13.12
"63","2018-10-17",13.41
"64","2018-10-18",12.12
"65","2018-10-19",11.61
"66","2018-10-22",11.73
"67","2018-10-23",11.86
"68","2018-10-24",11.72
"69","2018-10-25",12.91
"70","2018-10-26",12.97
"71","2018-10-29",12.45
"72","2018-10-30",12.11
"73","2018-10-31",12.88
"74","2018-11-01",13.55
"75","2018-11-02",14.07
"76","2018-11-05",14.47
"77","2018-11-06",14.39
"78","2018-11-07",14.8
"79","2018-11-08",14.9
"80","2018-11-09",14.41
"81","2018-11-12",14.2
"82","2018-11-13",13.7
"83","2018-11-14",14.08
"84","2018-11-15",13.8
"85","2018-11-16",14.05
"86","2018-11-19",14.92
"87","2018-11-20",13.33
"88","2018-11-21",14.49
"89","2018-11-23",14.55
"90","2018-11-26",14.75
"91","2018-11-27",14.55
"92","2018-11-28",15
"93","2018-11-29",14.74
"94","2018-11-30",14.99
"95","2018-12-03",15
"96","2018-12-04",14.69
"97","2018-12-06",14.69
"98","2018-12-07",14.32
"99","2018-12-10",14
"100","2018-12-11",13.93
"101","2018-12-12",14.575
"102","2018-12-13",14.94
"103","2018-12-14",14.68
"104","2018-12-17",14.98
"105","2018-12-18",14.9
"106","2018-12-19",14.09
"107","2018-12-20",13.71
"108","2018-12-21",13.5
"109","2018-12-24",13.14
"110","2018-12-26",13.89
"111","2018-12-27",11.08
"112","2018-12-28",9.97
"113","2018-12-31",10
"114","2019-01-02",10.5
"115","2019-01-03",10.53
"116","2019-01-04",10.55
"117","2019-01-07",10.99
"118","2019-01-08",10.26
"119","2019-01-09",10.275
"120","2019-01-10",10.62
"121","2019-01-11",10.97
"122","2019-01-14",10.36
"123","2019-01-15",10.54
"124","2019-01-16",10.52
"125","2019-01-17",10.68
"126","2019-01-18",10.45
"127","2019-01-22",10.6
"128","2019-01-23",10.95
"129","2019-01-24",10.6
"130","2019-01-25",11.01
"131","2019-01-28",10.64
"132","2019-01-29",10.99
"133","2019-01-30",11.38
"134","2019-01-31",12.11
"135","2019-02-01",12
"136","2019-02-04",11.79
"137","2019-02-05",13.13
"138","2019-02-06",13.44
"139","2019-02-07",13.24
"140","2019-02-08",13.64
"141","2019-02-11",16.24
"142","2019-02-12",15.27
"143","2019-02-13",13.94
"144","2019-02-14",13.43
"145","2019-02-15",14.07
"146","2019-02-19",13.57
"147","2019-02-20",13.81
"148","2019-02-21",13.45
"149","2019-02-22",13.05
"150","2019-02-25",12.95
"151","2019-02-26",13.97
"152","2019-02-27",14.32
"153","2019-02-28",13.72
"154","2019-03-01",13.37
"155","2019-03-04",13.04
"156","2019-03-05",13.17
"157","2019-03-06",11.83
"158","2019-03-07",11.31
"159","2019-03-08",12.29
"160","2019-03-11",11.14
"161","2019-03-12",11.23
"162","2019-03-13",11.16
"163","2019-03-14",11.49
"164","2019-03-15",11.5
"165","2019-03-18",13.13
"166","2019-03-19",13.4
"167","2019-03-20",14.11
"168","2019-03-21",14.89
"169","2019-03-22",13.73
"170","2019-03-25",15.1
"171","2019-03-26",14.99
"172","2019-03-27",15.06
"173","2019-03-28",14.72
"174","2019-03-29",15.22
"175","2019-04-01",15.5
"176","2019-04-02",16.360001
"177","2019-04-03",15.81
"178","2019-04-04",15.35
"179","2019-04-05",17.280001
"180","2019-04-08",16.75
"181","2019-04-09",15.32
"182","2019-04-10",15.61
"183","2019-04-11",15.3
"184","2019-04-12",15.11
"185","2019-04-15",13.03
"186","2019-04-16",12.51
"187","2019-04-17",12.71
"188","2019-04-18",14.5
"189","2019-04-22",13.68
"190","2019-04-23",14.61
"191","2019-04-24",15.33
"192","2019-04-25",16.35
"193","2019-04-26",15.73
"194","2019-04-29",15.54
"195","2019-04-30",16.77
"196","2019-05-01",14.95
"197","2019-05-02",15.59
"198","2019-05-03",16.030001
"199","2019-05-06",15.8
"200","2019-05-07",15.43
"201","2019-05-08",15.97
"202","2019-05-09",16.17
"203","2019-05-10",15.5
"204","2019-05-13",14.17
"205","2019-05-14",14.48
"206","2019-05-15",14.31
"207","2019-05-16",15.14
"208","2019-05-17",14.76
"209","2019-05-20",14.54
"210","2019-05-21",14.95
"211","2019-05-22",14.37
"212","2019-05-23",14.47
"213","2019-05-24",14.87
"214","2019-05-28",14.6
"215","2019-05-29",13.92
"216","2019-05-30",13.3
"217","2019-05-31",13.52
"218","2019-06-03",13.9
"219","2019-06-04",13.56
"220","2019-06-05",13.07
"221","2019-06-06",12.69
"222","2019-06-07",12.94
"223","2019-06-10",13.03
"224","2019-06-11",12.75
"225","2019-06-12",12.83
"226","2019-06-13",13
"227","2019-06-14",12.59
"228","2019-06-17",13.05
"229","2019-06-18",12.87
"230","2019-06-19",12.99
"231","2019-06-20",13.17
"232","2019-06-21",13.5
"233","2019-06-24",12.81
"234","2019-06-25",14.31
"235","2019-06-26",13.46
"236","2019-06-27",13.81
"237","2019-06-28",14.66
"238","2019-07-01",14
"239","2019-07-02",13.83
"240","2019-07-03",14
"241","2019-07-05",13.68
"242","2019-07-08",13.7
"243","2019-07-09",13.7
"244","2019-07-10",13.93
"245","2019-07-11",13.13
"246","2019-07-12",13.12
"247","2019-07-15",13.97
"248","2019-07-16",14.02
"249","2019-07-17",13.58
"250","2019-07-18",12.64
"251","2019-07-19",12.11
"252","2019-07-22",12.34
"253","2019-07-23",12.31
"254","2019-07-24",13.21
"255","2019-07-25",12.73
"256","2019-07-26",13.02
"257","2019-07-29",12.44
"258","2019-07-30",12.77
"259","2019-07-31",12.42
"260","2019-08-01",12.79
"261","2019-08-02",12.7
"262","2019-08-05",11.57
"263","2019-08-06",10.93
"264","2019-08-07",10.66
"265","2019-08-08",11.17
"266","2019-08-09",10.67
"267","2019-08-12",10.2
"268","2019-08-13",10.48
"269","2019-08-14",10.05
"270","2019-08-15",10.4
"271","2019-08-16",11
"272","2019-08-19",11.14
"273","2019-08-20",10.94
"274","2019-08-21",10.69
"275","2019-08-22",10.78
"276","2019-08-23",10.12
"277","2019-08-26",10.3
"278","2019-08-27",10.15
"279","2019-08-28",10.74
"280","2019-08-29",10.45
"281","2019-08-30",10.38
"282","2019-09-03",10.01
"283","2019-09-04",10.17
"284","2019-09-05",10.5
"285","2019-09-06",10.76
"286","2019-09-09",10.95
"287","2019-09-10",11.05
"288","2019-09-11",11.78
"289","2019-09-12",12.14
"290","2019-09-13",12.43
"291","2019-09-16",12.2
"292","2019-09-17",12.62
"293","2019-09-18",13
"294","2019-09-19",14.45
"295","2019-09-20",16.870001
"296","2019-09-23",15.75
"297","2019-09-24",15.72
"298","2019-09-25",14.86
"299","2019-09-26",13.96
"300","2019-09-27",13.4
"301","2019-09-30",13.9
"302","2019-10-01",13.17
"303","2019-10-02",12.41
"304","2019-10-03",12.19
"305","2019-10-04",12.72
"306","2019-10-07",12.38
"307","2019-10-08",11.61
"308","2019-10-09",12.18
"309","2019-10-10",12.21
"310","2019-10-11",12.43
"311","2019-10-14",12.18
"312","2019-10-15",14.01
"313","2019-10-16",14.33
"314","2019-10-17",14.45
"315","2019-10-18",14.01
"316","2019-10-21",14.76
"317","2019-10-22",14.84
"318","2019-10-23",14.77
"319","2019-10-24",15.14
"320","2019-10-25",15.61
"321","2019-10-28",16.01
"322","2019-10-29",16.309999
"323","2019-10-30",16.42
"324","2019-10-31",17
"325","2019-11-01",17.040001
"326","2019-11-04",16.91
"327","2019-11-05",17.02
"328","2019-11-06",17.07
"329","2019-11-07",16.85
"330","2019-11-08",16.92
"331","2019-11-11",17.209999
"332","2019-11-12",16.700001
"333","2019-11-13",13.61
"334","2019-11-14",13.64
"335","2019-11-15",12.2
"336","2019-11-18",11.93
"337","2019-11-19",12.5
"338","2019-11-20",13.27
"339","2019-11-21",13.61
"340","2019-11-22",13.41
"341","2019-11-25",13.35
"342","2019-11-26",13.46
"343","2019-11-27",13.58
"344","2019-11-29",13.9
"345","2019-12-02",14.42
"346","2019-12-03",13.68
"347","2019-12-04",13.55
"348","2019-12-05",13.47
"349","2019-12-06",13.88
"350","2019-12-09",14.08
"351","2019-12-10",13.68
"352","2019-12-11",14.8
"353","2019-12-12",15.21
"354","2019-12-13",15.28
"355","2019-12-16",14.94
"356","2019-12-17",14.54
"357","2019-12-18",14.47
"358","2019-12-19",14.58
"359","2019-12-20",14.8
"360","2019-12-23",15.26
"361","2019-12-24",15.82
"362","2019-12-26",15.96
"363","2019-12-27",15.46
