"","date","LFAC"
"1","2018-06-29",9.63
"2","2018-07-02",9.59
"3","2018-07-03",9.6
"4","2018-07-05",9.61
"5","2018-07-06",9.61
"6","2018-07-09",9.61
"7","2018-07-10",9.61
"8","2018-07-11",9.6
"9","2018-07-12",9.6
"10","2018-07-13",9.6
"11","2018-07-16",9.58
"12","2018-07-17",9.63
"13","2018-07-18",9.63
"14","2018-07-19",9.63
"15","2018-07-20",9.63
"16","2018-07-23",9.63
"17","2018-07-24",9.63
"18","2018-07-25",9.63
"19","2018-07-26",9.61
"20","2018-07-27",9.61
"21","2018-07-30",9.61
"22","2018-07-31",9.61
"23","2018-08-01",9.61
"24","2018-08-02",9.58
"25","2018-08-03",9.57
"26","2018-08-06",9.57
"27","2018-08-07",9.58
"28","2018-08-08",9.58
"29","2018-08-09",9.58
"30","2018-08-10",9.58
"31","2018-08-13",9.56
"32","2018-08-14",9.62
"33","2018-08-15",9.6
"34","2018-08-16",9.6
"35","2018-08-17",9.6
"36","2018-08-20",9.6
"37","2018-08-21",9.6
"38","2018-08-22",9.61
"39","2018-08-23",9.61
"40","2018-08-24",9.6
"41","2018-08-27",9.6
"42","2018-08-28",9.6
"43","2018-08-29",9.6
"44","2018-08-30",9.6
"45","2018-08-31",9.6
"46","2018-09-04",9.6
"47","2018-09-05",9.6
"48","2018-09-06",9.6
"49","2018-09-07",9.6
"50","2018-09-10",9.6
"51","2018-09-11",9.6
"52","2018-09-12",9.6
"53","2018-09-13",9.6
"54","2018-09-14",9.6
"55","2018-09-17",9.6
"56","2018-09-18",9.6
"57","2018-09-19",9.6
"58","2018-09-20",9.6
"59","2018-09-21",9.59
"60","2018-09-24",9.59
"61","2018-09-25",9.6
"62","2018-09-26",9.6
"63","2018-09-27",9.6
"64","2018-09-28",9.6
"65","2018-10-01",9.6
"66","2018-10-02",9.6
"67","2018-10-03",9.6
"68","2018-10-04",9.6
"69","2018-10-05",9.6
"70","2018-10-08",9.6
"71","2018-10-09",9.6
"72","2018-10-10",9.6
"73","2018-10-11",9.6
"74","2018-10-12",9.6
"75","2018-10-15",9.6
"76","2018-10-16",9.6
"77","2018-10-17",9.6
"78","2018-10-18",9.63
"79","2018-10-19",9.63
"80","2018-10-22",9.63
"81","2018-10-23",9.63
"82","2018-10-24",9.63
"83","2018-10-25",9.63
"84","2018-10-26",9.63
"85","2018-10-29",9.61
"86","2018-10-30",9.61
"87","2018-10-31",9.61
"88","2018-11-01",9.61
"89","2018-11-02",9.57
"90","2018-11-05",9.56
"91","2018-11-06",9.65
"92","2018-11-07",9.56
"93","2018-11-08",9.56
"94","2018-11-09",9.63
"95","2018-11-12",9.65
"96","2018-11-13",9.64
"97","2018-11-14",9.69
"98","2018-11-15",9.69
"99","2018-11-16",9.69
"100","2018-11-19",9.69
"101","2018-11-20",9.66
"102","2018-11-21",9.66
"103","2018-11-23",9.66
"104","2018-11-26",9.68
"105","2018-11-27",9.69
"106","2018-11-28",9.7
"107","2018-11-29",9.75
"108","2018-11-30",9.75
"109","2018-12-03",9.75
"110","2018-12-04",9.75
"111","2018-12-06",9.75
"112","2018-12-07",9.74
"113","2018-12-10",9.74
"114","2018-12-11",9.73
"115","2018-12-12",9.76
"116","2018-12-13",9.75
"117","2018-12-14",9.75
"118","2018-12-17",9.75
"119","2018-12-18",9.75
"120","2018-12-19",9.74
"121","2018-12-20",9.74
"122","2018-12-21",9.73
"123","2018-12-24",9.73
"124","2018-12-26",9.7
"125","2018-12-27",9.72
"126","2018-12-28",9.78
"127","2018-12-31",9.78
"128","2019-01-02",9.77
"129","2019-01-03",9.8
"130","2019-01-04",9.78
"131","2019-01-07",9.79
"132","2019-01-08",9.78
"133","2019-01-09",9.8
"134","2019-01-10",9.8
"135","2019-01-11",9.8
"136","2019-01-14",9.82
"137","2019-01-15",9.8
"138","2019-01-16",9.8
"139","2019-01-17",9.8
"140","2019-01-18",9.8
"141","2019-01-22",9.8
"142","2019-01-23",9.8
"143","2019-01-24",9.88
"144","2019-01-25",9.86
"145","2019-01-28",9.9
"146","2019-01-29",9.92
"147","2019-01-30",9.92
"148","2019-01-31",9.96
"149","2019-02-01",9.925
"150","2019-02-04",9.925
"151","2019-02-05",9.91
"152","2019-02-06",9.91
"153","2019-02-07",9.99
"154","2019-02-08",9.98
"155","2019-02-11",9.96
"156","2019-02-12",9.97
"157","2019-02-13",9.97
"158","2019-02-14",9.95
"159","2019-02-15",9.95
"160","2019-02-19",9.97
"161","2019-02-20",9.96
"162","2019-02-21",9.96
"163","2019-02-22",9.97
"164","2019-02-25",9.97
"165","2019-02-26",10
"166","2019-02-27",10
"167","2019-02-28",9.97
"168","2019-03-01",9.97
"169","2019-03-04",9.97
"170","2019-03-05",9.97
"171","2019-03-06",10
"172","2019-03-07",10.03
"173","2019-03-08",10.04
"174","2019-03-11",10.04
"175","2019-03-12",10.04
"176","2019-03-13",10.04
"177","2019-03-14",10.04
"178","2019-03-15",10.04
"179","2019-03-18",10.03
"180","2019-03-19",10.026
"181","2019-03-20",10.03
"182","2019-03-21",10.04
"183","2019-03-22",10.04
"184","2019-03-25",10.05
"185","2019-03-26",10.05
"186","2019-03-27",10.05
"187","2019-03-28",10.05
"188","2019-03-29",10.05
"189","2019-04-01",10.05
"190","2019-04-02",10.05
"191","2019-04-03",10.05
"192","2019-04-04",10.1
"193","2019-04-05",10.1
"194","2019-04-08",10.08
"195","2019-04-09",10.06
"196","2019-04-10",10.07
"197","2019-04-11",10.07
"198","2019-04-12",10.07
"199","2019-04-15",10.11
"200","2019-04-16",10.11
"201","2019-04-17",10.11
"202","2019-04-18",10.11
"203","2019-04-22",10.11
"204","2019-04-23",10.11
"205","2019-04-24",10.11
"206","2019-04-25",10.08
"207","2019-04-26",10.08
"208","2019-04-29",10.08
"209","2019-04-30",10.08
"210","2019-05-01",10.06
"211","2019-05-02",10.08
"212","2019-05-03",10.08
"213","2019-05-06",10.1
"214","2019-05-07",10.09
"215","2019-05-08",10.08
"216","2019-05-09",10.09
"217","2019-05-10",10.1
"218","2019-05-13",10.1
"219","2019-05-14",10.1
"220","2019-05-15",10.1
"221","2019-05-16",10.1
"222","2019-05-17",10.1
"223","2019-05-20",10.11
"224","2019-05-21",10.1
"225","2019-05-22",10.1
"226","2019-05-23",10.1
"227","2019-05-24",10.1
"228","2019-05-28",10.1
"229","2019-05-29",10.1
"230","2019-05-30",10.1
"231","2019-05-31",10.1
"232","2019-06-03",10.1
"233","2019-06-04",10.12
"234","2019-06-05",10.13
"235","2019-06-06",10.13
