"","date","LGVW"
"1","2020-07-13",9.9
"2","2020-07-14",9.92
"3","2020-07-15",10
"4","2020-07-16",10.1
"5","2020-07-17",10.12
"6","2020-07-20",10.1
"7","2020-07-21",10.07
"8","2020-07-22",10.12
"9","2020-07-23",9.99
"10","2020-07-24",9.985
"11","2020-07-27",10.1
"12","2020-07-28",10.08
"13","2020-07-29",10.05
"14","2020-07-30",10.025
"15","2020-07-31",9.97
"16","2020-08-03",9.92
"17","2020-08-04",9.92
"18","2020-08-05",9.92
"19","2020-08-06",9.9
"20","2020-08-07",9.9
"21","2020-08-10",9.88
"22","2020-08-11",9.92
"23","2020-08-12",9.87
"24","2020-08-13",9.89
"25","2020-08-14",9.9
"26","2020-08-17",9.905
"27","2020-08-18",9.89
"28","2020-08-19",9.85
"29","2020-08-20",9.85
"30","2020-08-21",9.8
"31","2020-08-24",9.83
"32","2020-08-25",9.82
"33","2020-08-26",9.82
"34","2020-08-27",9.8
"35","2020-08-28",9.9
"36","2020-08-31",9.9
"37","2020-09-01",9.9
"38","2020-09-02",9.9
"39","2020-09-03",9.9
"40","2020-09-04",9.95
"41","2020-09-08",9.875
"42","2020-09-09",9.84
"43","2020-09-10",9.78
"44","2020-09-11",9.78
"45","2020-09-14",9.85
"46","2020-09-15",9.82
"47","2020-09-16",9.89
"48","2020-09-17",9.89
"49","2020-09-18",9.86
"50","2020-09-21",9.84
"51","2020-09-22",9.84
"52","2020-09-23",9.85
"53","2020-09-24",9.81
"54","2020-09-25",9.81
"55","2020-09-28",9.82
"56","2020-09-29",9.84
"57","2020-09-30",9.82
"58","2020-10-01",9.83
"59","2020-10-02",9.83
"60","2020-10-05",9.85
"61","2020-10-06",9.86
"62","2020-10-07",9.8
"63","2020-10-08",9.9
"64","2020-10-09",9.8
"65","2020-10-12",9.816
"66","2020-10-13",9.34
"67","2020-10-14",9.78
"68","2020-10-15",9.75
"69","2020-10-16",9.77
"70","2020-10-19",9.75
"71","2020-10-20",9.788
"72","2020-10-21",9.76
"73","2020-10-22",9.75
"74","2020-10-23",9.75
"75","2020-10-26",9.79
"76","2020-10-27",9.75
"77","2020-10-28",9.72
"78","2020-10-29",9.7
"79","2020-10-30",9.79
"80","2020-11-02",9.7
"81","2020-11-03",9.76
"82","2020-11-04",9.75
"83","2020-11-05",9.82
"84","2020-11-06",9.81
"85","2020-11-09",9.8
"86","2020-11-10",9.81
"87","2020-11-11",9.8
"88","2020-11-12",9.8
"89","2020-11-13",9.78
"90","2020-11-16",9.83
"91","2020-11-17",9.83
"92","2020-11-18",9.83
"93","2020-11-19",9.86
"94","2020-11-20",12.5
"95","2020-11-23",13.6
"96","2020-11-24",16.25
"97","2020-11-25",17.370001
"98","2020-11-27",16.549999
