"","date","ERYP"
"1","2017-10-26",29.700001
"2","2017-10-27",29.700001
"3","2017-10-30",29.700001
"4","2017-10-31",29.700001
"5","2017-11-01",29.700001
"6","2017-11-02",29.700001
"7","2017-11-03",29.700001
"8","2017-11-06",29.700001
"9","2017-11-07",29.700001
"10","2017-11-08",29.700001
"11","2017-11-09",29.700001
"12","2017-11-10",24.75
"13","2017-11-13",25.6
"14","2017-11-14",26.629999
"15","2017-11-15",25.639999
"16","2017-11-16",25.950001
"17","2017-11-17",26.620001
"18","2017-11-20",26.08
"19","2017-11-21",26.01
"20","2017-11-22",26.799999
"21","2017-11-24",26.610001
"22","2017-11-27",27.299999
"23","2017-11-28",28.66
"24","2017-11-29",28.139999
"25","2017-11-30",28.450001
"26","2017-12-01",27.75
"27","2017-12-04",29.360001
"28","2017-12-05",30.299999
"29","2017-12-06",28.870001
"30","2017-12-07",27.940001
"31","2017-12-08",19.200001
"32","2017-12-11",18.290001
"33","2017-12-12",18.559999
"34","2017-12-13",18.5
"35","2017-12-14",18.6
"36","2017-12-15",18.389999
"37","2017-12-18",18.389999
"38","2017-12-19",19.02
"39","2017-12-20",17.93
"40","2017-12-21",18.73
"41","2017-12-22",18.700001
"42","2017-12-26",18.620001
"43","2017-12-27",19.75
"44","2017-12-28",20.57
"45","2017-12-29",22.02
"46","2018-01-02",21.645
"47","2018-01-03",21.4
"48","2018-01-04",21.226999
"49","2018-01-05",21.4
"50","2018-01-08",22.028
"51","2018-01-09",22.620001
"52","2018-01-10",22.77
"53","2018-01-11",21.799999
"54","2018-01-12",22.43
"55","2018-01-16",22.049999
"56","2018-01-17",22.5
"57","2018-01-18",22.5
"58","2018-01-19",22.049999
"59","2018-01-22",23.030001
"60","2018-01-23",23.15
"61","2018-01-24",23.073999
"62","2018-01-25",22.799999
"63","2018-01-26",22.799999
"64","2018-01-29",23.280001
"65","2018-01-30",23.280001
"66","2018-01-31",22.620001
"67","2018-02-01",22.639999
"68","2018-02-02",22.518
"69","2018-02-05",20
"70","2018-02-06",20.629999
"71","2018-02-07",20.860001
"72","2018-02-08",20.860001
"73","2018-02-09",20.299999
"74","2018-02-12",20.299999
"75","2018-02-13",20.219999
"76","2018-02-14",20.84
"77","2018-02-15",20.959999
"78","2018-02-16",21.51
"79","2018-02-20",21.01
"80","2018-02-21",21.01
"81","2018-02-22",20.360001
"82","2018-02-23",20.49
"83","2018-02-26",20.49
"84","2018-02-27",20.49
"85","2018-02-28",20.74
"86","2018-03-01",20.299999
"87","2018-03-02",20.42
"88","2018-03-05",20.16
"89","2018-03-06",20.610001
"90","2018-03-07",20.379999
"91","2018-03-08",20.75
"92","2018-03-09",20.620001
"93","2018-03-12",20.5
"94","2018-03-13",20.5
"95","2018-03-14",20.6
"96","2018-03-15",20.6
"97","2018-03-16",20.6
"98","2018-03-19",20.290001
"99","2018-03-20",20.43
"100","2018-03-21",20.360001
"101","2018-03-22",20.200001
"102","2018-03-23",20.200001
"103","2018-03-26",20.6
"104","2018-03-27",20.6
"105","2018-03-28",20.6
"106","2018-03-29",21
"107","2018-04-02",20.25
"108","2018-04-03",20.309999
"109","2018-04-04",20.559999
"110","2018-04-05",20.559999
"111","2018-04-06",20.440001
"112","2018-04-09",20.440001
"113","2018-04-10",21.110001
"114","2018-04-11",20.83
"115","2018-04-12",21.01
"116","2018-04-13",20.92
"117","2018-04-16",20.690001
"118","2018-04-17",20.690001
"119","2018-04-18",20.690001
"120","2018-04-19",21.41
"121","2018-04-20",21.41
"122","2018-04-23",20.84
"123","2018-04-24",21
"124","2018-04-25",20.85
"125","2018-04-26",20.5
"126","2018-04-27",20.65
"127","2018-04-30",20.65
"128","2018-05-01",20.450001
"129","2018-05-02",20.309999
"130","2018-05-03",20.440001
"131","2018-05-04",20.440001
"132","2018-05-07",20.43
"133","2018-05-08",20.43
"134","2018-05-09",20.43
"135","2018-05-10",20.41
"136","2018-05-11",20.309999
"137","2018-05-14",20.309999
"138","2018-05-15",20.275
"139","2018-05-16",20.275
"140","2018-05-17",20
"141","2018-05-18",20
"142","2018-05-21",20
"143","2018-05-22",19.757
"144","2018-05-23",19.757
"145","2018-05-24",19.757
"146","2018-05-25",19.757
"147","2018-05-29",18
"148","2018-05-30",18.99
"149","2018-05-31",18.450001
"150","2018-06-01",18.200001
"151","2018-06-04",18.200001
"152","2018-06-05",18.302999
