"","date","RWLK"
"1","2014-09-12",640
"2","2014-09-15",928.75
"3","2014-09-16",923.75
"4","2014-09-17",842.5
"5","2014-09-18",706.25
"6","2014-09-19",694.5
"7","2014-09-22",793
"8","2014-09-23",777.5
"9","2014-09-24",753.75
"10","2014-09-25",762.25
"11","2014-09-26",775
"12","2014-09-29",827.5
"13","2014-09-30",853.75
"14","2014-10-01",817.5
"15","2014-10-02",791.25
"16","2014-10-03",773.25
"17","2014-10-06",730
"18","2014-10-07",722.5
"19","2014-10-08",746.25
"20","2014-10-09",756.75
"21","2014-10-10",725
"22","2014-10-13",640.25
"23","2014-10-14",637
"24","2014-10-15",622.5
"25","2014-10-16",699.5
"26","2014-10-17",719.25
"27","2014-10-20",722.25
"28","2014-10-21",702.5
"29","2014-10-22",671.75
"30","2014-10-23",660.25
"31","2014-10-24",648
"32","2014-10-27",727.5
"33","2014-10-28",731.25
"34","2014-10-29",721.25
"35","2014-10-30",761
"36","2014-10-31",766.25
"37","2014-11-03",754.5
"38","2014-11-04",758
"39","2014-11-05",750
"40","2014-11-06",749.5
"41","2014-11-07",750.5
"42","2014-11-10",753.75
"43","2014-11-11",739.75
"44","2014-11-12",730.5
"45","2014-11-13",702.5
"46","2014-11-14",697.5
"47","2014-11-17",678.75
"48","2014-11-18",684
"49","2014-11-19",674.5
"50","2014-11-20",667.75
"51","2014-11-21",684.25
"52","2014-11-24",687.5
"53","2014-11-25",667.5
"54","2014-11-26",665.75
"55","2014-11-28",659.5
"56","2014-12-01",635.5
"57","2014-12-02",626.5
"58","2014-12-03",603.25
"59","2014-12-04",555.75
"60","2014-12-05",591.75
"61","2014-12-08",575
"62","2014-12-09",570.5
"63","2014-12-10",535.75
"64","2014-12-11",537.5
"65","2014-12-12",530.5
"66","2014-12-15",519.25
"67","2014-12-16",479.5
"68","2014-12-17",468.75
"69","2014-12-18",500
"70","2014-12-19",540.5
"71","2014-12-22",581.25
"72","2014-12-23",538.75
"73","2014-12-24",541.5
"74","2014-12-26",519.75
"75","2014-12-29",512.5
"76","2014-12-30",499.75
"77","2014-12-31",472
"78","2015-01-02",490.25
"79","2015-01-05",495.25
"80","2015-01-06",507.5
"81","2015-01-07",510
"82","2015-01-08",531.5
"83","2015-01-09",524.25
"84","2015-01-12",554.25
"85","2015-01-13",518.5
"86","2015-01-14",516.75
