"","date","NRT"
"1","2007-01-03",35.650002
"2","2007-01-04",34.75
"3","2007-01-05",34.650002
"4","2007-01-08",34.299999
"5","2007-01-09",34.959999
"6","2007-01-10",34.549999
"7","2007-01-11",33.700001
"8","2007-01-12",34.060001
"9","2007-01-16",35.189999
"10","2007-01-17",34.75
"11","2007-01-18",33.560001
"12","2007-01-19",34.650002
"13","2007-01-22",36
"14","2007-01-23",36.290001
"15","2007-01-24",36.349998
"16","2007-01-25",36.75
"17","2007-01-26",36.990002
"18","2007-01-29",37.849998
"19","2007-01-30",37.650002
"20","2007-01-31",38.189999
"21","2007-02-01",38.150002
"22","2007-02-02",38.5
"23","2007-02-05",39
"24","2007-02-06",39.5
"25","2007-02-07",38.709999
"26","2007-02-08",38.849998
"27","2007-02-09",37.700001
"28","2007-02-12",37.32
"29","2007-02-13",38.279999
"30","2007-02-14",37.720001
"31","2007-02-15",37.650002
"32","2007-02-16",36.849998
"33","2007-02-20",36.900002
"34","2007-02-21",36.759998
"35","2007-02-22",37.740002
"36","2007-02-23",38.099998
"37","2007-02-26",38
"38","2007-02-27",37
"39","2007-02-28",37.560001
"40","2007-03-01",36.130001
"41","2007-03-02",36
"42","2007-03-05",35.450001
"43","2007-03-06",36.040001
"44","2007-03-07",36.240002
"45","2007-03-08",36.509998
"46","2007-03-09",36.150002
"47","2007-03-12",36.189999
"48","2007-03-13",35.860001
"49","2007-03-14",36.740002
"50","2007-03-15",36.700001
"51","2007-03-16",36
"52","2007-03-19",35.900002
"53","2007-03-20",35.650002
"54","2007-03-21",35.599998
"55","2007-03-22",36.169998
"56","2007-03-23",35.700001
"57","2007-03-26",36.48
"58","2007-03-27",36
"59","2007-03-28",36.939999
"60","2007-03-29",36.990002
"61","2007-03-30",37.25
"62","2007-04-02",37.549999
"63","2007-04-03",37.060001
"64","2007-04-04",36.799999
"65","2007-04-05",37.5
"66","2007-04-09",37.150002
"67","2007-04-10",37.299999
"68","2007-04-11",37.490002
"69","2007-04-12",36.900002
"70","2007-04-13",37.349998
"71","2007-04-16",37.490002
"72","2007-04-17",37.849998
"73","2007-04-18",38
"74","2007-04-19",38.5
"75","2007-04-20",37.439999
"76","2007-04-23",39.25
"77","2007-04-24",39.110001
"78","2007-04-25",39.560001
"79","2007-04-26",39.84
"80","2007-04-27",40.459999
"81","2007-04-30",40.139999
"82","2007-05-01",38.209999
"83","2007-05-02",37.290001
"84","2007-05-03",38.880001
"85","2007-05-04",39.650002
"86","2007-05-07",39.549999
"87","2007-05-08",39.82
"88","2007-05-09",38.41
"89","2007-05-10",39.049999
"90","2007-05-11",39.25
"91","2007-05-14",39.119999
"92","2007-05-15",39.299999
"93","2007-05-16",38.799999
"94","2007-05-17",38.849998
"95","2007-05-18",39.07
"96","2007-05-21",39.259998
"97","2007-05-22",39.450001
"98","2007-05-23",39.07
"99","2007-05-24",39.25
"100","2007-05-25",39.169998
"101","2007-05-29",39.25
"102","2007-05-30",38.810001
"103","2007-05-31",38.779999
"104","2007-06-01",38.799999
"105","2007-06-04",38.75
"106","2007-06-05",38.669998
"107","2007-06-06",38
"108","2007-06-07",38.25
"109","2007-06-08",38.41
"110","2007-06-11",38.400002
"111","2007-06-12",38.849998
"112","2007-06-13",38.900002
"113","2007-06-14",38.52
"114","2007-06-15",38.599998
"115","2007-06-18",38.66
"116","2007-06-19",38.599998
"117","2007-06-20",38.75
"118","2007-06-21",38.310001
"119","2007-06-22",39.48
"120","2007-06-25",39.209999
"121","2007-06-26",39.630001
"122","2007-06-27",39.330002
"123","2007-06-28",39.560001
"124","2007-06-29",39.419998
"125","2007-07-02",38.82
"126","2007-07-03",39.02
"127","2007-07-05",39.240002
"128","2007-07-06",38.959999
"129","2007-07-09",39.310001
"130","2007-07-10",39.189999
"131","2007-07-11",39.380001
"132","2007-07-12",39.599998
"133","2007-07-13",39.48
"134","2007-07-16",39.900002
"135","2007-07-17",39.799999
"136","2007-07-18",39.599998
"137","2007-07-19",39.549999
"138","2007-07-20",39.400002
"139","2007-07-23",39.32
"140","2007-07-24",39.240002
"141","2007-07-25",38
"142","2007-07-26",37.799999
"143","2007-07-27",38.040001
"144","2007-07-30",37.639999
"145","2007-07-31",36.549999
"146","2007-08-01",36.549999
"147","2007-08-02",37.619999
"148","2007-08-03",36.400002
"149","2007-08-06",35.919998
"150","2007-08-07",36.5
"151","2007-08-08",35.029999
"152","2007-08-09",35.060001
"153","2007-08-10",33.919998
"154","2007-08-13",35.279999
"155","2007-08-14",35.290001
"156","2007-08-15",34.25
"157","2007-08-16",31.5
"158","2007-08-17",33.25
"159","2007-08-20",32.75
"160","2007-08-21",33.25
"161","2007-08-22",34.299999
"162","2007-08-23",34.700001
"163","2007-08-24",35.669998
"164","2007-08-27",36.009998
"165","2007-08-28",35.110001
"166","2007-08-29",36
"167","2007-08-30",37
"168","2007-08-31",36.150002
"169","2007-09-04",35.950001
"170","2007-09-05",35.040001
"171","2007-09-06",34.700001
"172","2007-09-07",34.5
"173","2007-09-10",33.5
"174","2007-09-11",33.560001
"175","2007-09-12",33.549999
"176","2007-09-13",33.540001
"177","2007-09-14",32.900002
"178","2007-09-17",32.849998
"179","2007-09-18",32.849998
"180","2007-09-19",33
"181","2007-09-20",33.400002
"182","2007-09-21",33.5
"183","2007-09-24",32.959999
"184","2007-09-25",32.700001
"185","2007-09-26",33.16
"186","2007-09-27",33.470001
"187","2007-09-28",33.400002
"188","2007-10-01",32.630001
"189","2007-10-02",33
"190","2007-10-03",32.299999
"191","2007-10-04",32.419998
"192","2007-10-05",32.799999
"193","2007-10-08",32.41
"194","2007-10-09",32.799999
"195","2007-10-10",32.900002
"196","2007-10-11",32.950001
"197","2007-10-12",33.400002
"198","2007-10-15",33.619999
"199","2007-10-16",33.5
"200","2007-10-17",34.119999
"201","2007-10-18",33.900002
"202","2007-10-19",34.389999
"203","2007-10-22",33.549999
"204","2007-10-23",34.25
"205","2007-10-24",33.849998
"206","2007-10-25",34.16
"207","2007-10-26",34.400002
"208","2007-10-29",34.599998
"209","2007-10-30",34.849998
"210","2007-10-31",35.07
