"","date","LOAK"
"1","2020-05-28",4.7
"2","2020-05-29",4.7
"3","2020-06-01",9.66
"4","2020-06-02",9.66
"5","2020-06-03",9.63
"6","2020-06-04",9.74
"7","2020-06-05",9.75
"8","2020-06-08",9.718
"9","2020-06-09",9.72
"10","2020-06-10",9.69
"11","2020-06-11",9.69
"12","2020-06-12",9.63
"13","2020-06-15",9.65
"14","2020-06-16",9.65
"15","2020-06-17",9.65
"16","2020-06-18",9.68
"17","2020-06-19",9.68
"18","2020-06-22",9.69
"19","2020-06-23",9.75
"20","2020-06-24",9.8
"21","2020-06-25",9.8
"22","2020-06-26",9.81
"23","2020-06-29",9.77
"24","2020-06-30",9.8
"25","2020-07-01",9.75
"26","2020-07-02",9.82
"27","2020-07-06",9.77
"28","2020-07-07",9.84
"29","2020-07-08",9.84
"30","2020-07-09",9.84
"31","2020-07-10",9.82
"32","2020-07-13",9.93
"33","2020-07-14",9.875
"34","2020-07-15",9.96
"35","2020-07-16",10
"36","2020-07-17",10.12
"37","2020-07-20",10.07
"38","2020-07-21",10.08
"39","2020-07-22",10.06
"40","2020-07-23",10
"41","2020-07-24",9.96
"42","2020-07-27",10.221
"43","2020-07-28",10.01
"44","2020-07-29",10.03
"45","2020-07-30",10.03
"46","2020-07-31",10
"47","2020-08-03",10
"48","2020-08-04",10.02
"49","2020-08-05",10.02
"50","2020-08-06",9.98
"51","2020-08-07",10.03
"52","2020-08-10",9.977
"53","2020-08-11",9.95
"54","2020-08-12",9.95
"55","2020-08-13",9.95
"56","2020-08-14",10
"57","2020-08-17",9.87
"58","2020-08-18",9.9
"59","2020-08-19",9.92
"60","2020-08-20",9.85
"61","2020-08-21",9.851
"62","2020-08-24",9.87
"63","2020-08-25",9.85
"64","2020-08-26",9.81
"65","2020-08-27",9.75
"66","2020-08-28",9.8
"67","2020-08-31",9.83
"68","2020-09-01",9.83
"69","2020-09-02",9.85
"70","2020-09-03",9.85
"71","2020-09-04",9.95
"72","2020-09-08",9.95
"73","2020-09-09",10.01
"74","2020-09-10",9.99
"75","2020-09-11",10.05
"76","2020-09-14",10.05
"77","2020-09-15",10.08
"78","2020-09-16",10.12
"79","2020-09-17",10.15
"80","2020-09-18",10.201
"81","2020-09-21",9.75
"82","2020-09-22",10.11
"83","2020-09-23",10.115
"84","2020-09-24",10.035
"85","2020-09-25",10.1
"86","2020-09-28",10.195
"87","2020-09-29",10.16
"88","2020-09-30",10.08
"89","2020-10-01",10.21
"90","2020-10-02",10.25
"91","2020-10-05",10.25
"92","2020-10-06",10.25
"93","2020-10-07",10.215
"94","2020-10-08",10.14
"95","2020-10-09",10.25
"96","2020-10-12",10.42
"97","2020-10-13",10.55
"98","2020-10-14",10.85
"99","2020-10-15",10.9
"100","2020-10-16",11.65
"101","2020-10-19",11.5
"102","2020-10-20",11.5
"103","2020-10-21",11.48
"104","2020-10-22",11.45
"105","2020-10-23",11.4
"106","2020-10-26",10.95
"107","2020-10-27",10.86
"108","2020-10-28",10.75
"109","2020-10-29",10.78
"110","2020-10-30",10.99
"111","2020-11-02",11.05
"112","2020-11-03",11.4
"113","2020-11-04",11.39
"114","2020-11-05",11.44
"115","2020-11-06",11.42
"116","2020-11-09",11.05
"117","2020-11-10",10.87
"118","2020-11-11",10.8
"119","2020-11-12",10.77
"120","2020-11-13",10.88
"121","2020-11-16",11.01
"122","2020-11-17",10.97
"123","2020-11-18",11.21
"124","2020-11-19",11.4
"125","2020-11-20",11.55
"126","2020-11-23",11.57
"127","2020-11-24",11.55
"128","2020-11-25",11.49
"129","2020-11-27",11.76
