"","date","MAA"
"1","2007-01-03",56.599998
"2","2007-01-04",56.810001
"3","2007-01-05",55.98
"4","2007-01-08",56.439999
"5","2007-01-09",57.27
"6","2007-01-10",57.189999
"7","2007-01-11",57.959999
"8","2007-01-12",58.419998
"9","2007-01-16",59.279999
"10","2007-01-17",59.330002
"11","2007-01-18",59.110001
"12","2007-01-19",59.98
"13","2007-01-22",59.470001
"14","2007-01-23",59.700001
"15","2007-01-24",60.009998
"16","2007-01-25",60.369999
"17","2007-01-26",59.73
"18","2007-01-29",60
"19","2007-01-30",60.23
"20","2007-01-31",60.119999
"21","2007-02-01",60.110001
"22","2007-02-02",59.599998
"23","2007-02-05",59.599998
"24","2007-02-06",60
"25","2007-02-07",60.48
"26","2007-02-08",60.09
"27","2007-02-09",59.799999
"28","2007-02-12",59.240002
"29","2007-02-13",59.709999
"30","2007-02-14",59.59
"31","2007-02-15",59.630001
"32","2007-02-16",59.07
"33","2007-02-20",59.84
"34","2007-02-21",59.380001
"35","2007-02-22",59.02
"36","2007-02-23",58.389999
"37","2007-02-26",57.759998
"38","2007-02-27",55.490002
"39","2007-02-28",55.23
"40","2007-03-01",54.959999
"41","2007-03-02",53.689999
"42","2007-03-05",51.779999
"43","2007-03-06",53.259998
"44","2007-03-07",52.279999
"45","2007-03-08",53.080002
"46","2007-03-09",53.450001
"47","2007-03-12",53.889999
"48","2007-03-13",53.369999
"49","2007-03-14",54.619999
"50","2007-03-15",55.200001
"51","2007-03-16",54.799999
"52","2007-03-19",55.450001
"53","2007-03-20",56.389999
"54","2007-03-21",57.189999
"55","2007-03-22",57.610001
"56","2007-03-23",57.189999
"57","2007-03-26",56.689999
"58","2007-03-27",56.099998
"59","2007-03-28",55.98
"60","2007-03-29",56.049999
"61","2007-03-30",56.259998
"62","2007-04-02",56.82
"63","2007-04-03",57.349998
"64","2007-04-04",57.610001
"65","2007-04-05",57.43
"66","2007-04-09",56.93
"67","2007-04-10",57.34
"68","2007-04-11",56.130001
"69","2007-04-12",55.599998
"70","2007-04-13",56.18
"71","2007-04-16",56.169998
"72","2007-04-17",56.389999
"73","2007-04-18",55.599998
"74","2007-04-19",55.169998
"75","2007-04-20",55.860001
"76","2007-04-23",56.43
"77","2007-04-24",55.849998
"78","2007-04-25",55.93
"79","2007-04-26",56.02
"80","2007-04-27",56.080002
"81","2007-04-30",53.950001
"82","2007-05-01",53.330002
"83","2007-05-02",53.689999
"84","2007-05-03",53.400002
"85","2007-05-04",53.700001
"86","2007-05-07",53.439999
"87","2007-05-08",54.290001
"88","2007-05-09",54.700001
"89","2007-05-10",54.5
"90","2007-05-11",56.529999
"91","2007-05-14",55.77
"92","2007-05-15",55.16
"93","2007-05-16",54.57
"94","2007-05-17",53.900002
"95","2007-05-18",53.66
"96","2007-05-21",53.360001
"97","2007-05-22",53.75
"98","2007-05-23",53.93
"99","2007-05-24",54.099998
"100","2007-05-25",54.049999
"101","2007-05-29",56.560001
"102","2007-05-30",58.700001
"103","2007-05-31",58.75
"104","2007-06-01",58.75
"105","2007-06-04",58.900002
"106","2007-06-05",57.580002
"107","2007-06-06",58.349998
"108","2007-06-07",56
"109","2007-06-08",56.459999
"110","2007-06-11",55.66
"111","2007-06-12",54.900002
"112","2007-06-13",55.939999
"113","2007-06-14",55.119999
"114","2007-06-15",55.900002
