"","date","MLM"
"1","2007-01-03",103.330002
"2","2007-01-04",102.790001
"3","2007-01-05",100.82
"4","2007-01-08",99.93
"5","2007-01-09",100.239998
"6","2007-01-10",100.830002
"7","2007-01-11",106.419998
"8","2007-01-12",108.230003
"9","2007-01-16",112.089996
"10","2007-01-17",112.150002
"11","2007-01-18",110.650002
"12","2007-01-19",110.900002
"13","2007-01-22",110.349998
"14","2007-01-23",112.949997
"15","2007-01-24",113.389999
"16","2007-01-25",111.919998
"17","2007-01-26",112.919998
"18","2007-01-29",113.400002
"19","2007-01-30",114.199997
"20","2007-01-31",115.419998
"21","2007-02-01",117.559998
"22","2007-02-02",117.720001
"23","2007-02-05",118.339996
"24","2007-02-06",118.559998
"25","2007-02-07",118.25
"26","2007-02-08",123.849998
"27","2007-02-09",122.419998
"28","2007-02-12",120.309998
"29","2007-02-13",124.589996
"30","2007-02-14",128.160004
"31","2007-02-15",126.68
"32","2007-02-16",126.400002
"33","2007-02-20",129.600006
"34","2007-02-21",132.929993
"35","2007-02-22",132.399994
"36","2007-02-23",131.820007
"37","2007-02-26",132.070007
"38","2007-02-27",125.550003
"39","2007-02-28",125.32
"40","2007-03-01",125.419998
"41","2007-03-02",124.790001
"42","2007-03-05",121.559998
"43","2007-03-06",122.68
"44","2007-03-07",125.339996
"45","2007-03-08",128.399994
"46","2007-03-09",129.089996
"47","2007-03-12",127.68
"48","2007-03-13",123.150002
"49","2007-03-14",125.510002
"50","2007-03-15",126.970001
"51","2007-03-16",125.610001
"52","2007-03-19",126.879997
"53","2007-03-20",129.479996
"54","2007-03-21",133.929993
"55","2007-03-22",134.789993
"56","2007-03-23",133.820007
"57","2007-03-26",135.009995
"58","2007-03-27",134.880005
"59","2007-03-28",134.869995
"60","2007-03-29",136.139999
"61","2007-03-30",135.199997
"62","2007-04-02",135.75
"63","2007-04-03",137.490005
"64","2007-04-04",137.869995
"65","2007-04-05",138.229996
"66","2007-04-09",138.679993
"67","2007-04-10",137.580002
"68","2007-04-11",136.490005
"69","2007-04-12",136.309998
"70","2007-04-13",135.309998
"71","2007-04-16",135.039993
"72","2007-04-17",134.179993
"73","2007-04-18",132.919998
"74","2007-04-19",133.089996
"75","2007-04-20",138.199997
"76","2007-04-23",141.220001
"77","2007-04-24",141.880005
"78","2007-04-25",143.429993
