"","date","CRBP"
"1","2014-10-27",3
"2","2014-10-28",3
"3","2014-10-29",3
"4","2014-10-30",3
"5","2014-10-31",3
"6","2014-11-03",3
"7","2014-11-04",3
"8","2014-11-05",3
"9","2014-11-06",3
"10","2014-11-07",3
"11","2014-11-10",3
"12","2014-11-11",3
"13","2014-11-12",3
"14","2014-11-13",4.5
"15","2014-11-14",3.5
"16","2014-11-17",3.25
"17","2014-11-18",3.25
"18","2014-11-19",3.15
"19","2014-11-20",3.3
"20","2014-11-21",3.1
"21","2014-11-24",2.95
"22","2014-11-25",3
"23","2014-11-26",3.05
"24","2014-11-28",3
"25","2014-12-01",4
"26","2014-12-02",3.59
"27","2014-12-03",3.4
"28","2014-12-04",3.15
"29","2014-12-05",4.95
"30","2014-12-08",3.99
"31","2014-12-09",4
"32","2014-12-10",3.9
"33","2014-12-11",3.9
"34","2014-12-12",3.7
"35","2014-12-15",3.7
"36","2014-12-16",3.6
"37","2014-12-17",3.38
"38","2014-12-18",3.6
"39","2014-12-19",3.3
"40","2014-12-22",3
"41","2014-12-23",3
"42","2014-12-24",2.75
"43","2014-12-26",2.72
"44","2014-12-29",2.79
"45","2014-12-30",2.85
"46","2014-12-31",2.99
"47","2015-01-02",2.84
"48","2015-01-05",2.71
"49","2015-01-06",2.8
"50","2015-01-07",2.9
"51","2015-01-08",2.9
"52","2015-01-09",3.01
"53","2015-01-12",2.75
"54","2015-01-13",2.69
"55","2015-01-14",2.55
"56","2015-01-15",2.65
"57","2015-01-16",2.45
"58","2015-01-20",2.25
"59","2015-01-21",2
"60","2015-01-22",2.2
"61","2015-01-23",2.24
"62","2015-01-26",2.2
"63","2015-01-27",2.45
"64","2015-01-28",2.21
"65","2015-01-29",2.187
"66","2015-01-30",2.1
"67","2015-02-02",2.09
"68","2015-02-03",2.02
"69","2015-02-04",2.15
"70","2015-02-05",2.047
"71","2015-02-06",2.054
"72","2015-02-09",2.11
"73","2015-02-10",2.1
"74","2015-02-11",2.1
"75","2015-02-12",2.2
"76","2015-02-13",2.12
"77","2015-02-17",2.18
"78","2015-02-18",2.1
"79","2015-02-19",2.18
"80","2015-02-20",2.15
"81","2015-02-23",2.17
"82","2015-02-24",2.12
"83","2015-02-25",2.02
"84","2015-02-26",2.5
"85","2015-02-27",2.5
"86","2015-03-02",2.49
"87","2015-03-03",2.65
"88","2015-03-04",2.9
"89","2015-03-05",3.1
"90","2015-03-06",3
"91","2015-03-09",3.086
"92","2015-03-10",3.05
"93","2015-03-11",3.05
"94","2015-03-12",3
"95","2015-03-13",3.08
"96","2015-03-16",3.05
"97","2015-03-17",3
"98","2015-03-18",2.988
"99","2015-03-19",2.99
"100","2015-03-20",2.99
"101","2015-03-23",2.75
"102","2015-03-24",2.776
"103","2015-03-25",2.788
"104","2015-03-26",2.77
"105","2015-03-27",2.77
"106","2015-03-30",2.88
"107","2015-03-31",2.81
"108","2015-04-01",2.9
"109","2015-04-02",2.9
"110","2015-04-06",2.95
"111","2015-04-07",2.9
"112","2015-04-08",2.86
"113","2015-04-09",3
"114","2015-04-10",2.9
"115","2015-04-13",3.39
"116","2015-04-14",3.18
"117","2015-04-15",3.4
"118","2015-04-16",3.1
"119","2015-04-17",3.17
"120","2015-04-20",2.75
"121","2015-04-21",2.77
"122","2015-04-22",3.25
"123","2015-04-23",3.18
"124","2015-04-24",3.5
"125","2015-04-27",3.02
"126","2015-04-28",3.03
"127","2015-04-29",3.01
"128","2015-04-30",3.15
"129","2015-05-01",3.16
"130","2015-05-04",3.05
"131","2015-05-05",3.3
"132","2015-05-06",3.62
"133","2015-05-07",3.454
"134","2015-05-08",3.63
"135","2015-05-11",3.84
"136","2015-05-12",4
"137","2015-05-13",4
"138","2015-05-14",3.9
"139","2015-05-15",4
"140","2015-05-18",4.15
"141","2015-05-19",4.05
"142","2015-05-20",3.86
"143","2015-05-21",3.89
"144","2015-05-22",3.85
"145","2015-05-26",3.8
"146","2015-05-27",3.435
"147","2015-05-28",3.3
"148","2015-05-29",3.31
"149","2015-06-01",3.215
"150","2015-06-02",3.18
"151","2015-06-03",2.99
"152","2015-06-04",3.01
"153","2015-06-05",3.14
"154","2015-06-08",3.03
"155","2015-06-09",3.03
"156","2015-06-10",3.03
"157","2015-06-11",3.56
"158","2015-06-12",3.15
"159","2015-06-15",3.37
"160","2015-06-16",3.45
"161","2015-06-17",3.27
"162","2015-06-18",3.24
"163","2015-06-19",3.17
"164","2015-06-22",3.24
"165","2015-06-23",3.16
"166","2015-06-24",3.16
"167","2015-06-25",3.2
"168","2015-06-26",3.25
"169","2015-06-29",3.19
"170","2015-06-30",3.08
"171","2015-07-01",3.06
"172","2015-07-02",3.04
"173","2015-07-06",3.05
"174","2015-07-07",3.07
"175","2015-07-08",3.03
"176","2015-07-09",3
"177","2015-07-10",2.99
"178","2015-07-13",2.94
"179","2015-07-14",2.93
"180","2015-07-15",2.835
"181","2015-07-16",2.86
"182","2015-07-17",2.9
"183","2015-07-20",2.86
"184","2015-07-21",2.86
"185","2015-07-22",2.814
"186","2015-07-23",2.82
"187","2015-07-24",2.58
"188","2015-07-27",2.05
"189","2015-07-28",1.93
"190","2015-07-29",1.97
"191","2015-07-30",2.02
"192","2015-07-31",1.95
"193","2015-08-03",2.023
"194","2015-08-04",2.02
"195","2015-08-05",2.19
"196","2015-08-06",2
"197","2015-08-07",1.87
"198","2015-08-10",1.9
"199","2015-08-11",2
"200","2015-08-12",1.97
"201","2015-08-13",1.82
"202","2015-08-14",1.85
"203","2015-08-17",1.92
"204","2015-08-18",1.86
"205","2015-08-19",2.5
"206","2015-08-20",2.05
"207","2015-08-21",2.05
"208","2015-08-24",1.92
"209","2015-08-25",1.91
"210","2015-08-26",1.85
"211","2015-08-27",1.93
"212","2015-08-28",1.92
"213","2015-08-31",1.91
"214","2015-09-01",1.92
"215","2015-09-02",1.91
"216","2015-09-03",1.81
"217","2015-09-04",1.86
"218","2015-09-08",1.82
"219","2015-09-09",1.841
"220","2015-09-10",1.85
"221","2015-09-11",1.99
"222","2015-09-14",2.13
"223","2015-09-15",2.09
"224","2015-09-16",2.065
"225","2015-09-17",2.075
"226","2015-09-18",2.24
"227","2015-09-21",2.24
"228","2015-09-22",2.18
"229","2015-09-23",2.09
"230","2015-09-24",1.99
"231","2015-09-25",1.98
"232","2015-09-28",1.79
"233","2015-09-29",1.573
"234","2015-09-30",1.57
"235","2015-10-01",1.65
"236","2015-10-02",1.63
"237","2015-10-05",1.76
"238","2015-10-06",1.75
"239","2015-10-07",1.8
"240","2015-10-08",1.88
"241","2015-10-09",1.88
"242","2015-10-12",1.76
"243","2015-10-13",1.73
"244","2015-10-14",1.74
"245","2015-10-15",1.82
"246","2015-10-16",1.76
"247","2015-10-19",1.76
"248","2015-10-20",1.9
"249","2015-10-21",1.82
"250","2015-10-22",1.79
"251","2015-10-23",1.71
"252","2015-10-26",1.69
"253","2015-10-27",1.68
"254","2015-10-28",1.72
"255","2015-10-29",1.68
"256","2015-10-30",1.63
"257","2015-11-02",1.66
"258","2015-11-03",1.75
"259","2015-11-04",1.78
"260","2015-11-05",1.67
"261","2015-11-06",1.68
"262","2015-11-09",1.68
"263","2015-11-10",1.65
"264","2015-11-11",1.65
"265","2015-11-12",1.71
"266","2015-11-13",1.7
"267","2015-11-16",1.7
"268","2015-11-17",1.71
"269","2015-11-18",1.68
"270","2015-11-19",1.68
"271","2015-11-20",1.7
"272","2015-11-23",1.75
"273","2015-11-24",1.77
"274","2015-11-25",1.76
"275","2015-11-27",1.8
