"","date","BEKE"
"1","2020-08-13",37.439999
"2","2020-08-14",33
"3","2020-08-17",38.720001
"4","2020-08-18",40.5
"5","2020-08-19",42.369999
"6","2020-08-20",40.75
"7","2020-08-21",41.869999
"8","2020-08-24",46.060001
"9","2020-08-25",51.200001
"10","2020-08-26",49.77
"11","2020-08-27",46.900002
"12","2020-08-28",49.75
"13","2020-08-31",51.290001
"14","2020-09-01",54
"15","2020-09-02",49.5
"16","2020-09-03",46.689999
"17","2020-09-04",45.439999
"18","2020-09-08",44.07
"19","2020-09-09",45.790001
"20","2020-09-10",49.639999
"21","2020-09-11",48.529999
"22","2020-09-14",52.709999
"23","2020-09-15",54.18
"24","2020-09-16",60.720001
"25","2020-09-17",57.549999
"26","2020-09-18",58.369999
"27","2020-09-21",53.509998
"28","2020-09-22",52.380001
"29","2020-09-23",53.98
"30","2020-09-24",56.220001
"31","2020-09-25",56.970001
"32","2020-09-28",61.389999
"33","2020-09-29",65.629997
"34","2020-09-30",61.299999
"35","2020-10-01",62.049999
"36","2020-10-02",59
"37","2020-10-05",60
"38","2020-10-06",64.18
"39","2020-10-07",62.66
"40","2020-10-08",64.839996
"41","2020-10-09",66.449997
"42","2020-10-12",64.449997
"43","2020-10-13",64.459999
"44","2020-10-14",65.389999
"45","2020-10-15",69.720001
"46","2020-10-16",71.339996
"47","2020-10-19",69.57
"48","2020-10-20",69.449997
"49","2020-10-21",71.129997
"50","2020-10-22",75.760002
"51","2020-10-23",69.989998
"52","2020-10-26",69.839996
"53","2020-10-27",70.599998
"54","2020-10-28",73.050003
"55","2020-10-29",71.580002
"56","2020-10-30",69.75
"57","2020-11-02",69.82
"58","2020-11-03",66.82
"59","2020-11-04",75.32
"60","2020-11-05",72.690002
"61","2020-11-06",75.650002
"62","2020-11-09",72
"63","2020-11-10",67.699997
"64","2020-11-11",69.599998
"65","2020-11-12",67.639999
"66","2020-11-13",72.529999
"67","2020-11-16",73.559998
"68","2020-11-17",67.599998
"69","2020-11-18",61.169998
"70","2020-11-19",59.349998
"71","2020-11-20",60.799999
"72","2020-11-23",62.970001
"73","2020-11-24",64.080002
"74","2020-11-25",60.5
"75","2020-11-27",64.459999
