"","date","GOOGL"
"1","2007-01-03",234.029022
"2","2007-01-04",241.871872
"3","2007-01-05",243.838837
"4","2007-01-08",242.032028
"5","2007-01-09",242.992996
"6","2007-01-10",244.974976
"7","2007-01-11",250.110107
"8","2007-01-12",252.752747
"9","2007-01-16",252.392395
"10","2007-01-17",248.888885
"11","2007-01-18",244.159164
"12","2007-01-19",245.120117
"13","2007-01-22",240.66066
"14","2007-01-23",239.764771
"15","2007-01-24",249.78479
"16","2007-01-25",244.289291
"17","2007-01-26",248.168167
"18","2007-01-29",246.481476
"19","2007-01-30",247.40741
"20","2007-01-31",251.001007
"21","2007-02-01",241.116119
"22","2007-02-02",240.990997
"23","2007-02-05",233.813812
"24","2007-02-06",235.975983
"25","2007-02-07",235.240234
"26","2007-02-08",235.750748
"27","2007-02-09",231.176178
"28","2007-02-12",229.374374
"29","2007-02-13",229.779785
"30","2007-02-14",233.198196
"31","2007-02-15",230.965973
"32","2007-02-16",235.2052
"33","2007-02-20",236.286285
"34","2007-02-21",238.168167
"35","2007-02-22",238.163162
"36","2007-02-23",235.545547
"37","2007-02-26",232.697693
"38","2007-02-27",224.609604
"39","2007-02-28",224.949951
"40","2007-03-01",224.33934
"41","2007-03-02",219.559555
"42","2007-03-05",220.695694
"43","2007-03-06",229.003998
"44","2007-03-07",228.04805
"45","2007-03-08",227.587585
"46","2007-03-09",226.706711
"47","2007-03-12",227.6026
"48","2007-03-13",221.73674
"49","2007-03-14",224.224228
"50","2007-03-15",223.318314
"51","2007-03-16",220.645645
"52","2007-03-19",223.838837
"53","2007-03-20",222.862869
"54","2007-03-21",228.50351
"55","2007-03-22",231.251251
"56","2007-03-23",231.146149
"57","2007-03-26",232.732727
"58","2007-03-27",232.042038
"59","2007-03-28",231.171173
"60","2007-03-29",230.690689
"61","2007-03-30",229.309311
"62","2007-04-02",229.494492
"63","2007-04-03",236.53653
"64","2007-04-04",235.745743
"65","2007-04-05",235.990997
"66","2007-04-09",234.33934
"67","2007-04-10",233.48349
