"","date","STIM"
"1","2018-06-28",27.780001
"2","2018-06-29",26.610001
"3","2018-07-02",26.41
"4","2018-07-03",26.959999
"5","2018-07-05",25.879999
"6","2018-07-06",25.5
"7","2018-07-09",25.110001
"8","2018-07-10",26.120001
"9","2018-07-11",26.139999
"10","2018-07-12",25.77
"11","2018-07-13",24.99
"12","2018-07-16",27.290001
"13","2018-07-17",26.799999
"14","2018-07-18",26.860001
"15","2018-07-19",26.530001
"16","2018-07-20",26.25
"17","2018-07-23",26.02
"18","2018-07-24",26.17
"19","2018-07-25",25.92
"20","2018-07-26",25.92
"21","2018-07-27",25.700001
"22","2018-07-30",25.540001
"23","2018-07-31",24.950001
"24","2018-08-01",26.07
"25","2018-08-02",24.32
"26","2018-08-03",24.6
"27","2018-08-06",25.799999
"28","2018-08-07",26
"29","2018-08-08",28.42
"30","2018-08-09",30.799999
"31","2018-08-10",33.509998
"32","2018-08-13",33.130001
"33","2018-08-14",32.490002
"34","2018-08-15",32.669998
"35","2018-08-16",32.25
"36","2018-08-17",31.27
"37","2018-08-20",31.950001
"38","2018-08-21",32.119999
"39","2018-08-22",33.82
"40","2018-08-23",32.889999
"41","2018-08-24",33.43
"42","2018-08-27",33.279999
"43","2018-08-28",32.689999
"44","2018-08-29",33.860001
"45","2018-08-30",33.490002
"46","2018-08-31",33.049999
"47","2018-09-04",33.799999
"48","2018-09-05",34.669998
"49","2018-09-06",35.810001
"50","2018-09-07",36.189999
"51","2018-09-10",37.540001
"52","2018-09-11",37.139999
"53","2018-09-12",36.93
"54","2018-09-13",35.380001
"55","2018-09-14",34.950001
"56","2018-09-17",33.59
"57","2018-09-18",33.900002
"58","2018-09-19",33.470001
"59","2018-09-20",33.169998
"60","2018-09-21",34.310001
"61","2018-09-24",33.23
"62","2018-09-25",34.450001
"63","2018-09-26",32.669998
"64","2018-09-27",32.950001
"65","2018-09-28",32.060001
"66","2018-10-01",31.84
"67","2018-10-02",30.110001
"68","2018-10-03",29.09
"69","2018-10-04",28.280001
"70","2018-10-05",27.120001
"71","2018-10-08",27.129999
"72","2018-10-09",27.360001
"73","2018-10-10",24.26
"74","2018-10-11",23.32
"75","2018-10-12",24.370001
"76","2018-10-15",23.700001
"77","2018-10-16",24.190001
"78","2018-10-17",22.469999
"79","2018-10-18",23.16
"80","2018-10-19",24.860001
"81","2018-10-22",24.940001
"82","2018-10-23",24.709999
"83","2018-10-24",24.040001
"84","2018-10-25",23.02
"85","2018-10-26",23.049999
"86","2018-10-29",23.35
"87","2018-10-30",24.120001
"88","2018-10-31",25.48
"89","2018-11-01",25.43
"90","2018-11-02",24.690001
"91","2018-11-05",24.690001
"92","2018-11-06",25.629999
"93","2018-11-07",25.379999
"94","2018-11-08",25.450001
"95","2018-11-09",24.75
"96","2018-11-12",22.01
"97","2018-11-13",21.66
"98","2018-11-14",18.58
"99","2018-11-15",17.549999
"100","2018-11-16",18.1
"101","2018-11-19",16
"102","2018-11-20",16.1
"103","2018-11-21",18.190001
"104","2018-11-23",17.809999
"105","2018-11-26",17.889999
"106","2018-11-27",17.459999
"107","2018-11-28",17.9
"108","2018-11-29",17.99
"109","2018-11-30",17.84
"110","2018-12-03",18
"111","2018-12-04",18.540001
"112","2018-12-06",19.889999
"113","2018-12-07",19.67
"114","2018-12-10",19.889999
"115","2018-12-11",20.67
"116","2018-12-12",19.66
"117","2018-12-13",19.91
"118","2018-12-14",20.09
"119","2018-12-17",19.16
"120","2018-12-18",19.67
"121","2018-12-19",19.27
"122","2018-12-20",18.780001
"123","2018-12-21",19.379999
"124","2018-12-24",18.66
"125","2018-12-26",19.07
"126","2018-12-27",18.92
"127","2018-12-28",18.99
"128","2018-12-31",19.35
"129","2019-01-02",19.58
"130","2019-01-03",18.83
"131","2019-01-04",19.190001
"132","2019-01-07",17.629999
"133","2019-01-08",17
"134","2019-01-09",17.370001
"135","2019-01-10",17.5
"136","2019-01-11",17.200001
"137","2019-01-14",15.77
"138","2019-01-15",15.32
"139","2019-01-16",14.96
"140","2019-01-17",14.76
"141","2019-01-18",14.4
"142","2019-01-22",13.84
"143","2019-01-23",13.6
"144","2019-01-24",13.98
"145","2019-01-25",15.09
"146","2019-01-28",16.26
"147","2019-01-29",16.73
"148","2019-01-30",16.84
"149","2019-01-31",17.120001
"150","2019-02-01",17.120001
"151","2019-02-04",17.23
"152","2019-02-05",17.129999
"153","2019-02-06",17.09
"154","2019-02-07",17.15
"155","2019-02-08",17.209999
"156","2019-02-11",17.34
"157","2019-02-12",17.59
"158","2019-02-13",17.450001
"159","2019-02-14",17.43
"160","2019-02-15",17.99
"161","2019-02-19",17.25
"162","2019-02-20",17.65
"163","2019-02-21",17
"164","2019-02-22",16.15
"165","2019-02-25",17.719999
"166","2019-02-26",17.049999
"167","2019-02-27",17.200001
"168","2019-02-28",17.450001
"169","2019-03-01",17.42
"170","2019-03-04",16.059999
"171","2019-03-05",16.530001
"172","2019-03-06",17.02
"173","2019-03-07",15.65
"174","2019-03-08",16.42
"175","2019-03-11",17.120001
"176","2019-03-12",16.43
"177","2019-03-13",16.530001
"178","2019-03-14",16.209999
"179","2019-03-15",16.09
"180","2019-03-18",16.389999
"181","2019-03-19",17.49
"182","2019-03-20",16.950001
"183","2019-03-21",16.700001
"184","2019-03-22",14.5
"185","2019-03-25",14.51
"186","2019-03-26",14.66
"187","2019-03-27",14.75
"188","2019-03-28",15.34
"189","2019-03-29",15.25
"190","2019-04-01",14.75
"191","2019-04-02",15.76
"192","2019-04-03",15.78
"193","2019-04-04",17.129999
"194","2019-04-05",17.030001
