"","date","ADAP"
"1","2015-05-06",16
"2","2015-05-07",17.23
"3","2015-05-08",17.18
"4","2015-05-11",17
"5","2015-05-12",16.879999
"6","2015-05-13",16.940001
"7","2015-05-14",16.93
"8","2015-05-15",16.85
"9","2015-05-18",16.610001
"10","2015-05-19",15.98
"11","2015-05-20",15.2
"12","2015-05-21",15.08
"13","2015-05-22",15.6
"14","2015-05-26",15.23
"15","2015-05-27",15.62
"16","2015-05-28",15.33
"17","2015-05-29",15.43
"18","2015-06-01",14.82
"19","2015-06-02",14.81
"20","2015-06-03",15.13
"21","2015-06-04",15.1
"22","2015-06-05",15.34
"23","2015-06-08",16.1
"24","2015-06-09",16.43
"25","2015-06-10",17.030001
"26","2015-06-11",17.41
"27","2015-06-12",19.290001
"28","2015-06-15",19.799999
"29","2015-06-16",21.120001
"30","2015-06-17",20.02
"31","2015-06-18",19.950001
"32","2015-06-19",19.85
"33","2015-06-22",20.309999
"34","2015-06-23",19.690001
"35","2015-06-24",19.280001
"36","2015-06-25",17.889999
"37","2015-06-26",18.5
"38","2015-06-29",18.02
"39","2015-06-30",18.33
"40","2015-07-01",17.559999
"41","2015-07-02",17.99
"42","2015-07-06",17.68
"43","2015-07-07",17.450001
"44","2015-07-08",16.1
"45","2015-07-09",16.23
"46","2015-07-10",15.66
"47","2015-07-13",16.02
"48","2015-07-14",17.059999
"49","2015-07-15",17.370001
"50","2015-07-16",19.17
"51","2015-07-17",20.24
"52","2015-07-20",18.74
"53","2015-07-21",19.360001
"54","2015-07-22",17.67
"55","2015-07-23",16.59
"56","2015-07-24",15.81
"57","2015-07-27",14.81
"58","2015-07-28",15.3
"59","2015-07-29",16.26
"60","2015-07-30",15.1
"61","2015-07-31",15.05
"62","2015-08-03",14.97
"63","2015-08-04",14.33
"64","2015-08-05",14.82
"65","2015-08-06",14.93
"66","2015-08-07",13.69
"67","2015-08-10",13.73
"68","2015-08-11",13.47
"69","2015-08-12",13.99
"70","2015-08-13",14.3
"71","2015-08-14",14.36
"72","2015-08-17",15.53
"73","2015-08-18",15.46
"74","2015-08-19",14.76
"75","2015-08-20",14.77
"76","2015-08-21",12.53
"77","2015-08-24",11.1
"78","2015-08-25",11.45
"79","2015-08-26",11.45
"80","2015-08-27",11.28
"81","2015-08-28",11.66
"82","2015-08-31",10.96
"83","2015-09-01",11.3
"84","2015-09-02",11.55
"85","2015-09-03",11.3
"86","2015-09-04",11.13
"87","2015-09-08",11.21
"88","2015-09-09",11.24
"89","2015-09-10",11.31
"90","2015-09-11",11.33
"91","2015-09-14",11.67
"92","2015-09-15",12.65
"93","2015-09-16",12.65
"94","2015-09-17",13.05
"95","2015-09-18",12.57
"96","2015-09-21",11.77
"97","2015-09-22",11.7
"98","2015-09-23",11.8
"99","2015-09-24",12.14
"100","2015-09-25",11.54
"101","2015-09-28",11.67
"102","2015-09-29",11.71
"103","2015-09-30",11.97
"104","2015-10-01",10.22
"105","2015-10-02",9.31
"106","2015-10-05",8.83
"107","2015-10-06",8.92
"108","2015-10-07",8.71
"109","2015-10-08",8.21
"110","2015-10-09",8.01
"111","2015-10-12",7.59
"112","2015-10-13",7.96
"113","2015-10-14",7.53
"114","2015-10-15",7.53
"115","2015-10-16",7.28
"116","2015-10-19",8.2
"117","2015-10-20",9.49
"118","2015-10-21",9.13
"119","2015-10-22",9.52
"120","2015-10-23",9.71
"121","2015-10-26",10.1
"122","2015-10-27",10.51
"123","2015-10-28",10.49
"124","2015-10-29",10.51
"125","2015-10-30",10.66
"126","2015-11-02",11.24
"127","2015-11-03",11.12
"128","2015-11-04",11.59
"129","2015-11-05",13.12
"130","2015-11-06",11.67
"131","2015-11-09",11.01
"132","2015-11-10",11.33
"133","2015-11-11",11.06
"134","2015-11-12",10.64
"135","2015-11-13",10.87
"136","2015-11-16",9.52
"137","2015-11-17",9.89
"138","2015-11-18",9.11
"139","2015-11-19",8.8
"140","2015-11-20",8.96
"141","2015-11-23",9.01
"142","2015-11-24",8.92
"143","2015-11-25",8.92
"144","2015-11-27",9.1
"145","2015-11-30",9.04
"146","2015-12-01",9.39
"147","2015-12-02",9.91
"148","2015-12-03",10.3
"149","2015-12-04",10.59
"150","2015-12-07",10.07
"151","2015-12-08",9.95
"152","2015-12-09",9.87
"153","2015-12-10",10
"154","2015-12-11",9.71
"155","2015-12-14",9.05
"156","2015-12-15",8.88
"157","2015-12-16",9.15
"158","2015-12-17",8.86
"159","2015-12-18",9.49
"160","2015-12-21",9.9
"161","2015-12-22",10.06
"162","2015-12-23",11.03
"163","2015-12-24",11
"164","2015-12-28",10.62
"165","2015-12-29",11.35
"166","2015-12-30",12.18
"167","2015-12-31",12.06
"168","2016-01-04",11.82
"169","2016-01-05",12.29
"170","2016-01-06",11.68
"171","2016-01-07",10.65
"172","2016-01-08",10.53
"173","2016-01-11",9.42
"174","2016-01-12",8.51
"175","2016-01-13",7.18
"176","2016-01-14",7.55
"177","2016-01-15",7.66
"178","2016-01-19",7.62
"179","2016-01-20",8.05
"180","2016-01-21",8.02
"181","2016-01-22",8.81
"182","2016-01-25",8.5
"183","2016-01-26",8.34
"184","2016-01-27",7.76
"185","2016-01-28",7.23
"186","2016-01-29",7.07
"187","2016-02-01",7.39
"188","2016-02-02",7.93
"189","2016-02-03",7.4
"190","2016-02-04",7.55
"191","2016-02-05",7.12
"192","2016-02-08",7.15
"193","2016-02-09",6.52
"194","2016-02-10",7.05
"195","2016-02-11",7.5
"196","2016-02-12",7.85
"197","2016-02-16",8.34
"198","2016-02-17",8.53
"199","2016-02-18",8.27
"200","2016-02-19",8.22
"201","2016-02-22",8.39
"202","2016-02-23",7.63
"203","2016-02-24",7.38
"204","2016-02-25",7.67
"205","2016-02-26",7.82
"206","2016-02-29",7.19
"207","2016-03-01",7.45
"208","2016-03-02",8.38
"209","2016-03-03",8.33
"210","2016-03-04",8.24
"211","2016-03-07",9.06
"212","2016-03-08",8.92
"213","2016-03-09",8.34
"214","2016-03-10",7.76
"215","2016-03-11",8.23
"216","2016-03-14",8.13
"217","2016-03-15",7.87
"218","2016-03-16",7.91
"219","2016-03-17",7.53
"220","2016-03-18",7.61
"221","2016-03-21",7.82
"222","2016-03-22",8.4
"223","2016-03-23",7.76
"224","2016-03-24",7.92
"225","2016-03-28",7.8
"226","2016-03-29",7.99
"227","2016-03-30",7.74
"228","2016-03-31",8.13
"229","2016-04-01",8.3
"230","2016-04-04",8.62
"231","2016-04-05",8.85
"232","2016-04-06",9.48
"233","2016-04-07",9.99
"234","2016-04-08",9.82
"235","2016-04-11",9.29
"236","2016-04-12",9.11
"237","2016-04-13",9.41
"238","2016-04-14",9.48
"239","2016-04-15",9.63
"240","2016-04-18",9.31
"241","2016-04-19",9.19
"242","2016-04-20",8.92
"243","2016-04-21",9.44
"244","2016-04-22",10.38
"245","2016-04-25",9.84
"246","2016-04-26",9.45
"247","2016-04-27",9.42
"248","2016-04-28",9.45
"249","2016-04-29",9.69
"250","2016-05-02",9.77
"251","2016-05-03",9.71
"252","2016-05-04",9.15
"253","2016-05-05",8.75
"254","2016-05-06",8.69
"255","2016-05-09",9.53
"256","2016-05-10",9.87
"257","2016-05-11",8.85
"258","2016-05-12",8.25
"259","2016-05-13",8.4
"260","2016-05-16",9.22
"261","2016-05-17",9.04
"262","2016-05-18",9.32
"263","2016-05-19",9.55
"264","2016-05-20",10.11
"265","2016-05-23",10.55
"266","2016-05-24",10.43
"267","2016-05-25",10.27
"268","2016-05-26",10
"269","2016-05-27",9.85
"270","2016-05-31",10.29
"271","2016-06-01",10.2
"272","2016-06-02",11.06
"273","2016-06-03",11.12
"274","2016-06-06",11.03
"275","2016-06-07",10.89
"276","2016-06-08",10.28
"277","2016-06-09",9.17
"278","2016-06-10",9.34
"279","2016-06-13",9.05
"280","2016-06-14",9.16
"281","2016-06-15",9.1
"282","2016-06-16",9.26
"283","2016-06-17",9.05
"284","2016-06-20",9.1
"285","2016-06-21",8.98
"286","2016-06-22",8.88
"287","2016-06-23",9.23
"288","2016-06-24",8.59
"289","2016-06-27",8.02
"290","2016-06-28",8.12
"291","2016-06-29",8.26
"292","2016-06-30",8.15
"293","2016-07-01",9.13
"294","2016-07-05",8.91
"295","2016-07-06",8.7
"296","2016-07-07",8.78
"297","2016-07-08",8.8
"298","2016-07-11",8.94
"299","2016-07-12",8.72
"300","2016-07-13",8.4
"301","2016-07-14",8.14
"302","2016-07-15",8.03
"303","2016-07-18",7.8
