"","date","NUS"
"1","2007-01-03",18.540001
"2","2007-01-04",18.51
"3","2007-01-05",18.02
"4","2007-01-08",18.139999
"5","2007-01-09",18.33
"6","2007-01-10",18.08
"7","2007-01-11",18.23
"8","2007-01-12",18.24
"9","2007-01-16",18.15
"10","2007-01-17",17.950001
"11","2007-01-18",17.690001
"12","2007-01-19",18
"13","2007-01-22",17.75
"14","2007-01-23",18.02
"15","2007-01-24",18.08
"16","2007-01-25",17.77
"17","2007-01-26",17.93
"18","2007-01-29",18.040001
"19","2007-01-30",18.290001
"20","2007-01-31",18.450001
"21","2007-02-01",18.549999
"22","2007-02-02",18.6
"23","2007-02-05",18.34
"24","2007-02-06",18.879999
"25","2007-02-07",17.5
"26","2007-02-08",17.290001
"27","2007-02-09",17.43
"28","2007-02-12",17.209999
"29","2007-02-13",17.48
"30","2007-02-14",17.49
"31","2007-02-15",17.559999
"32","2007-02-16",17.719999
"33","2007-02-20",18.07
"34","2007-02-21",17.99
"35","2007-02-22",17.99
"36","2007-02-23",17.74
"37","2007-02-26",17.75
"38","2007-02-27",17.16
"39","2007-02-28",16.969999
"40","2007-03-01",16.99
"41","2007-03-02",16.74
"42","2007-03-05",16.639999
"43","2007-03-06",16.780001
"44","2007-03-07",16.620001
"45","2007-03-08",16.700001
"46","2007-03-09",16.799999
"47","2007-03-12",16.85
"48","2007-03-13",16.59
"49","2007-03-14",16.610001
"50","2007-03-15",16.610001
"51","2007-03-16",16.280001
"52","2007-03-19",16.51
"53","2007-03-20",16.59
"54","2007-03-21",16.74
"55","2007-03-22",16.700001
"56","2007-03-23",16.690001
"57","2007-03-26",16.59
"58","2007-03-27",16.49
"59","2007-03-28",16.48
"60","2007-03-29",16.530001
"61","2007-03-30",16.52
"62","2007-04-02",16.5
"63","2007-04-03",16.33
"64","2007-04-04",16.4
"65","2007-04-05",16.42
"66","2007-04-09",16.700001
"67","2007-04-10",16.48
"68","2007-04-11",15.8
"69","2007-04-12",15.97
"70","2007-04-13",16.469999
"71","2007-04-16",17
"72","2007-04-17",16.969999
"73","2007-04-18",16.790001
"74","2007-04-19",16.639999
"75","2007-04-20",16.92
"76","2007-04-23",16.82
"77","2007-04-24",16.58
"78","2007-04-25",16.549999
"79","2007-04-26",17.17
"80","2007-04-27",17.51
"81","2007-04-30",17.33
"82","2007-05-01",17.190001
"83","2007-05-02",17.59
"84","2007-05-03",17.610001
"85","2007-05-04",17.98
"86","2007-05-07",17.889999
"87","2007-05-08",17.9
"88","2007-05-09",17.93
"89","2007-05-10",17.75
"90","2007-05-11",18
"91","2007-05-14",17.76
"92","2007-05-15",17.74
"93","2007-05-16",17.610001
"94","2007-05-17",17.379999
"95","2007-05-18",17.379999
"96","2007-05-21",17.91
"97","2007-05-22",17.92
"98","2007-05-23",17.629999
"99","2007-05-24",17.639999
"100","2007-05-25",17.48
"101","2007-05-29",17.5
"102","2007-05-30",17.209999
"103","2007-05-31",17.540001
"104","2007-06-01",17.6
"105","2007-06-04",17.440001
"106","2007-06-05",17.23
"107","2007-06-06",17.030001
"108","2007-06-07",16.790001
"109","2007-06-08",16.950001
"110","2007-06-11",16.940001
"111","2007-06-12",16.83
"112","2007-06-13",17.17
"113","2007-06-14",16.83
"114","2007-06-15",17.6
"115","2007-06-18",17.290001
"116","2007-06-19",17.34
"117","2007-06-20",16.93
"118","2007-06-21",16.809999
"119","2007-06-22",16.6
"120","2007-06-25",16.35
"121","2007-06-26",16.23
"122","2007-06-27",16.35
"123","2007-06-28",16.639999
"124","2007-06-29",16.5
"125","2007-07-02",16.799999
"126","2007-07-03",16.99
"127","2007-07-05",16.969999
"128","2007-07-06",17.01
"129","2007-07-09",16.780001
"130","2007-07-10",16.6
"131","2007-07-11",16.74
"132","2007-07-12",17.059999
