"","date","CCK"
"1","2007-01-03",21.1
"2","2007-01-04",21.18
"3","2007-01-05",21.139999
"4","2007-01-08",21.16
"5","2007-01-09",21.469999
"6","2007-01-10",21.379999
"7","2007-01-11",21.5
"8","2007-01-12",21.620001
"9","2007-01-16",21.639999
"10","2007-01-17",21.549999
"11","2007-01-18",21.940001
"12","2007-01-19",21.99
"13","2007-01-22",21.780001
"14","2007-01-23",22.200001
"15","2007-01-24",22.110001
"16","2007-01-25",21.98
"17","2007-01-26",21.73
"18","2007-01-29",22.440001
"19","2007-01-30",22.440001
"20","2007-01-31",22.07
"21","2007-02-01",21.92
"22","2007-02-02",22.34
"23","2007-02-05",22.43
"24","2007-02-06",22.719999
"25","2007-02-07",22.540001
"26","2007-02-08",22.629999
"27","2007-02-09",22.629999
"28","2007-02-12",22.66
"29","2007-02-13",23.139999
"30","2007-02-14",23.389999
"31","2007-02-15",23.620001
"32","2007-02-16",23.52
"33","2007-02-20",23.450001
"34","2007-02-21",23.4
"35","2007-02-22",23.17
"36","2007-02-23",23.309999
"37","2007-02-26",23.25
"38","2007-02-27",22.459999
"39","2007-02-28",22.790001
"40","2007-03-01",22.799999
"41","2007-03-02",22.780001
"42","2007-03-05",22.700001
"43","2007-03-06",23.1
"44","2007-03-07",23.32
"45","2007-03-08",23.41
"46","2007-03-09",23.57
"47","2007-03-12",23.77
"48","2007-03-13",23.309999
"49","2007-03-14",23.6
"50","2007-03-15",23.84
"51","2007-03-16",23.860001
"52","2007-03-19",23.879999
"53","2007-03-20",24.280001
"54","2007-03-21",24.639999
"55","2007-03-22",24.75
"56","2007-03-23",24.540001
"57","2007-03-26",24.700001
"58","2007-03-27",24.76
"59","2007-03-28",24.469999
"60","2007-03-29",24.290001
"61","2007-03-30",24.459999
"62","2007-04-02",24.92
"63","2007-04-03",24.950001
"64","2007-04-04",25.459999
"65","2007-04-05",24.99
"66","2007-04-09",25.24
"67","2007-04-10",25.879999
"68","2007-04-11",25.459999
"69","2007-04-12",25.48
"70","2007-04-13",25.68
"71","2007-04-16",25.440001
"72","2007-04-17",25.5
"73","2007-04-18",24.219999
"74","2007-04-19",24.200001
"75","2007-04-20",24.389999
"76","2007-04-23",24.040001
"77","2007-04-24",24.26
"78","2007-04-25",24.23
"79","2007-04-26",24.639999
"80","2007-04-27",24.540001
"81","2007-04-30",24.17
"82","2007-05-01",24.370001
"83","2007-05-02",24.620001
"84","2007-05-03",24.860001
"85","2007-05-04",24.67
"86","2007-05-07",24.92
"87","2007-05-08",24.67
"88","2007-05-09",24.74
"89","2007-05-10",24.450001
"90","2007-05-11",24.75
"91","2007-05-14",24.43
"92","2007-05-15",24.08
"93","2007-05-16",24.18
"94","2007-05-17",24.43
"95","2007-05-18",24.67
"96","2007-05-21",24.809999
"97","2007-05-22",24.74
"98","2007-05-23",24.469999
"99","2007-05-24",24.26
"100","2007-05-25",24.610001
"101","2007-05-29",24.98
"102","2007-05-30",25.200001
"103","2007-05-31",24.93
"104","2007-06-01",25.25
"105","2007-06-04",25.139999
"106","2007-06-05",25.35
"107","2007-06-06",24.99
"108","2007-06-07",24.459999
"109","2007-06-08",24.709999
"110","2007-06-11",24.52
"111","2007-06-12",24.48
"112","2007-06-13",24.360001
"113","2007-06-14",25.4
"114","2007-06-15",25.440001
"115","2007-06-18",25.309999
"116","2007-06-19",25.200001
"117","2007-06-20",24.809999
"118","2007-06-21",25.049999
"119","2007-06-22",24.879999
"120","2007-06-25",24.73
"121","2007-06-26",24.719999
"122","2007-06-27",24.77
"123","2007-06-28",24.77
"124","2007-06-29",24.969999
