"","date","BHE"
"1","2007-01-03",24.66
"2","2007-01-04",25.17
"3","2007-01-05",24.889999
"4","2007-01-08",24.549999
"5","2007-01-09",24.190001
"6","2007-01-10",24.1
"7","2007-01-11",24.389999
"8","2007-01-12",24.549999
"9","2007-01-16",24.1
"10","2007-01-17",23.709999
"11","2007-01-18",23.49
"12","2007-01-19",23.549999
"13","2007-01-22",23.209999
"14","2007-01-23",23.26
"15","2007-01-24",23.299999
"16","2007-01-25",22.799999
"17","2007-01-26",22.889999
"18","2007-01-29",22.530001
"19","2007-01-30",22.75
"20","2007-01-31",22.65
"21","2007-02-01",22.83
"22","2007-02-02",22.969999
"23","2007-02-05",22.25
"24","2007-02-06",23.49
"25","2007-02-07",23.25
"26","2007-02-08",22.469999
"27","2007-02-09",22.379999
"28","2007-02-12",22.15
"29","2007-02-13",22.059999
"30","2007-02-14",22.15
"31","2007-02-15",22.059999
"32","2007-02-16",22.049999
"33","2007-02-20",22.24
"34","2007-02-21",22.15
"35","2007-02-22",22.110001
"36","2007-02-23",22.1
"37","2007-02-26",21.959999
"38","2007-02-27",21.6
"39","2007-02-28",21.49
"40","2007-03-01",21.07
"41","2007-03-02",20.389999
"42","2007-03-05",20.16
"43","2007-03-06",20.549999
"44","2007-03-07",20.48
"45","2007-03-08",20.440001
"46","2007-03-09",20.389999
"47","2007-03-12",20.41
"48","2007-03-13",20.219999
"49","2007-03-14",20.32
"50","2007-03-15",20.469999
"51","2007-03-16",20.370001
"52","2007-03-19",20.41
"53","2007-03-20",20.4
"54","2007-03-21",20.379999
"55","2007-03-22",20.43
"56","2007-03-23",20.52
"57","2007-03-26",20.549999
"58","2007-03-27",20.440001
"59","2007-03-28",20.5
"60","2007-03-29",20.459999
"61","2007-03-30",20.66
"62","2007-04-02",20.58
"63","2007-04-03",20.99
"64","2007-04-04",20.91
"65","2007-04-05",20.959999
"66","2007-04-09",20.92
"67","2007-04-10",21.120001
"68","2007-04-11",20.860001
"69","2007-04-12",20.959999
"70","2007-04-13",21.530001
"71","2007-04-16",21.9
"72","2007-04-17",21.98
"73","2007-04-18",21.940001
"74","2007-04-19",22.030001
"75","2007-04-20",22.33
"76","2007-04-23",22.1
"77","2007-04-24",21.059999
"78","2007-04-25",21.209999
"79","2007-04-26",21.190001
"80","2007-04-27",21.309999
"81","2007-04-30",21.18
"82","2007-05-01",21.4
"83","2007-05-02",21.57
"84","2007-05-03",21.469999
"85","2007-05-04",21.34
"86","2007-05-07",21.219999
"87","2007-05-08",21.139999
"88","2007-05-09",21.35
"89","2007-05-10",20.889999
"90","2007-05-11",21.209999
"91","2007-05-14",21.02
"92","2007-05-15",20.6
"93","2007-05-16",20.9
"94","2007-05-17",20.34
"95","2007-05-18",20.559999
"96","2007-05-21",20.82
"97","2007-05-22",20.83
"98","2007-05-23",21.51
"99","2007-05-24",21.17
"100","2007-05-25",21.280001
"101","2007-05-29",21.370001
"102","2007-05-30",21.23
"103","2007-05-31",22.110001
"104","2007-06-01",21.91
"105","2007-06-04",22.75
"106","2007-06-05",22.68
"107","2007-06-06",22.23
"108","2007-06-07",22.02
"109","2007-06-08",22.290001
"110","2007-06-11",22.26
"111","2007-06-12",22.040001
"112","2007-06-13",22.34
"113","2007-06-14",22.639999
"114","2007-06-15",23.08
"115","2007-06-18",22.860001
"116","2007-06-19",23.4
"117","2007-06-20",23.01
"118","2007-06-21",23.200001
"119","2007-06-22",23.049999
"120","2007-06-25",23.15
"121","2007-06-26",23.09
"122","2007-06-27",23.32
"123","2007-06-28",23.129999
"124","2007-06-29",22.620001
"125","2007-07-02",23.18
"126","2007-07-03",23.5
"127","2007-07-05",23.299999
"128","2007-07-06",23.190001
"129","2007-07-09",23.379999
"130","2007-07-10",23.1
