"","date","AMRX"
"1","2018-05-07",15.01
"2","2018-05-08",14.71
"3","2018-05-09",14.47
"4","2018-05-10",13.95
"5","2018-05-11",14.7
"6","2018-05-14",15.15
"7","2018-05-15",15.09
"8","2018-05-16",15.37
"9","2018-05-17",16.809999
"10","2018-05-18",17.17
"11","2018-05-21",16.700001
"12","2018-05-22",17.33
"13","2018-05-23",17.68
"14","2018-05-24",17.9
"15","2018-05-25",18.290001
"16","2018-05-29",18.84
"17","2018-05-30",19.82
"18","2018-05-31",19.74
"19","2018-06-01",19.860001
"20","2018-06-04",18.940001
"21","2018-06-05",18.620001
"22","2018-06-06",18.98
"23","2018-06-07",18.959999
"24","2018-06-08",18.99
"25","2018-06-11",19.16
"26","2018-06-12",19.610001
"27","2018-06-13",19.530001
"28","2018-06-14",19.73
"29","2018-06-15",19.58
"30","2018-06-18",19.530001
"31","2018-06-19",18.84
"32","2018-06-20",18.219999
"33","2018-06-21",17.049999
"34","2018-06-22",17.290001
"35","2018-06-25",17.059999
"36","2018-06-26",16.889999
"37","2018-06-27",16.08
"38","2018-06-28",16.370001
"39","2018-06-29",16.41
"40","2018-07-02",16.51
"41","2018-07-03",16.4
"42","2018-07-05",16.9
"43","2018-07-06",17.09
"44","2018-07-09",17.639999
"45","2018-07-10",17.65
"46","2018-07-11",18.08
"47","2018-07-12",18.32
"48","2018-07-13",18.76
"49","2018-07-16",18.530001
"50","2018-07-17",18.690001
"51","2018-07-18",18.450001
"52","2018-07-19",18.49
"53","2018-07-20",18.52
"54","2018-07-23",19.27
"55","2018-07-24",19.25
"56","2018-07-25",19.1
"57","2018-07-26",18.98
"58","2018-07-27",18.629999
"59","2018-07-30",18.940001
"60","2018-07-31",19.17
"61","2018-08-01",19.25
"62","2018-08-02",19.200001
"63","2018-08-03",19.370001
"64","2018-08-06",19.82
"65","2018-08-07",20.280001
"66","2018-08-08",20.18
"67","2018-08-09",20.139999
"68","2018-08-10",20.299999
"69","2018-08-13",21.43
"70","2018-08-14",22.15
"71","2018-08-15",21.93
"72","2018-08-16",21.629999
"73","2018-08-17",21.52
"74","2018-08-20",24.27
"75","2018-08-21",23.76
"76","2018-08-22",24
"77","2018-08-23",23.67
"78","2018-08-24",23.07
"79","2018-08-27",23.02
"80","2018-08-28",23.059999
"81","2018-08-29",22.700001
"82","2018-08-30",22.49
"83","2018-08-31",23.1
"84","2018-09-04",23.5
"85","2018-09-05",23.85
"86","2018-09-06",23.690001
"87","2018-09-07",24.09
"88","2018-09-10",23.1
"89","2018-09-11",23.33
"90","2018-09-12",23.360001
"91","2018-09-13",23.709999
"92","2018-09-14",23.469999
"93","2018-09-17",22.809999
"94","2018-09-18",23.459999
"95","2018-09-19",23.799999
"96","2018-09-20",24.190001
"97","2018-09-21",23.559999
"98","2018-09-24",23.4
"99","2018-09-25",22.67
"100","2018-09-26",22.07
"101","2018-09-27",21.879999
"102","2018-09-28",22.190001
"103","2018-10-01",21.49
"104","2018-10-02",21.1
"105","2018-10-03",20.700001
"106","2018-10-04",20.42
"107","2018-10-05",20.540001
"108","2018-10-08",19.99
"109","2018-10-09",19.280001
"110","2018-10-10",19.08
"111","2018-10-11",18.65
"112","2018-10-12",18.809999
"113","2018-10-15",18.73
