"","date","KIM"
"1","2007-01-03",45.110001
"2","2007-01-04",44.75
"3","2007-01-05",44.080002
"4","2007-01-08",43.919998
"5","2007-01-09",44.610001
"6","2007-01-10",45.939999
"7","2007-01-11",46.779999
"8","2007-01-12",46.939999
"9","2007-01-16",47.619999
"10","2007-01-17",47.779999
"11","2007-01-18",47.639999
"12","2007-01-19",48.259998
"13","2007-01-22",47.52
"14","2007-01-23",47.59
"15","2007-01-24",48.560001
"16","2007-01-25",48.66
"17","2007-01-26",48.919998
"18","2007-01-29",49
"19","2007-01-30",49.48
"20","2007-01-31",49.599998
"21","2007-02-01",50.009998
"22","2007-02-02",50.470001
"23","2007-02-05",50.43
"24","2007-02-06",50.790001
"25","2007-02-07",52.290001
"26","2007-02-08",52.189999
"27","2007-02-09",51.880001
"28","2007-02-12",50.720001
"29","2007-02-13",52
"30","2007-02-14",52.130001
"31","2007-02-15",52.93
"32","2007-02-16",52.389999
"33","2007-02-20",53.139999
"34","2007-02-21",53.41
"35","2007-02-22",53.049999
"36","2007-02-23",52.09
"37","2007-02-26",51.84
"38","2007-02-27",49.860001
"39","2007-02-28",50.27
"40","2007-03-01",49.77
"41","2007-03-02",48.93
"42","2007-03-05",47.110001
"43","2007-03-06",48.650002
"44","2007-03-07",47.75
"45","2007-03-08",48.889999
"46","2007-03-09",49.549999
"47","2007-03-12",49.810001
"48","2007-03-13",48.049999
"49","2007-03-14",48.130001
"50","2007-03-15",48.75
"51","2007-03-16",48.490002
"52","2007-03-19",49.189999
"53","2007-03-20",49.450001
"54","2007-03-21",50.529999
"55","2007-03-22",50.459999
"56","2007-03-23",50.419998
"57","2007-03-26",49.66
"58","2007-03-27",49.099998
"59","2007-03-28",48.57
"60","2007-03-29",48.299999
"61","2007-03-30",48.740002
"62","2007-04-02",48.939999
"63","2007-04-03",49.369999
"64","2007-04-04",48.830002
"65","2007-04-05",48.700001
"66","2007-04-09",48.77
"67","2007-04-10",49.060001
"68","2007-04-11",48.110001
"69","2007-04-12",47.849998
