"","date","SLCT"
"1","2007-01-03",16.299999
"2","2007-01-04",16.200001
"3","2007-01-05",16.1
"4","2007-01-08",16.1
"5","2007-01-09",16.110001
"6","2007-01-10",16.110001
"7","2007-01-11",16.33
"8","2007-01-12",16.040001
"9","2007-01-16",16.1
"10","2007-01-17",16.07
"11","2007-01-18",15.96
"12","2007-01-19",16.02
"13","2007-01-22",16.02
"14","2007-01-23",16.02
"15","2007-01-24",16
"16","2007-01-25",15.95
"17","2007-01-26",15.75
"18","2007-01-29",15.8
"19","2007-01-30",15.8
"20","2007-01-31",15.9
"21","2007-02-01",15.99
"22","2007-02-02",15.99
"23","2007-02-05",15.99
"24","2007-02-06",15.81
"25","2007-02-07",15.9
"26","2007-02-08",15.9
"27","2007-02-09",15.9
"28","2007-02-12",15.9
"29","2007-02-13",15.75
"30","2007-02-14",15.75
"31","2007-02-15",15.66
"32","2007-02-16",15.66
"33","2007-02-20",15.11
"34","2007-02-21",15.45
"35","2007-02-22",15.42
"36","2007-02-23",15.42
"37","2007-02-26",15.76
"38","2007-02-27",16
"39","2007-02-28",15.85
"40","2007-03-01",15.85
"41","2007-03-02",15.85
"42","2007-03-05",15.85
"43","2007-03-06",15.36
"44","2007-03-07",15.36
"45","2007-03-08",15.61
"46","2007-03-09",15.42
"47","2007-03-12",15.11
"48","2007-03-13",15.54
"49","2007-03-14",15.15
"50","2007-03-15",15.14
"51","2007-03-16",14.86
"52","2007-03-19",14.75
"53","2007-03-20",14.8
"54","2007-03-21",14.8
"55","2007-03-22",15.25
"56","2007-03-23",14.96
"57","2007-03-26",14.88
"58","2007-03-27",15.25
"59","2007-03-28",14.96
"60","2007-03-29",14.9
"61","2007-03-30",14.79
"62","2007-04-02",14.79
"63","2007-04-03",14.74
"64","2007-04-04",14.9
"65","2007-04-05",14.6
"66","2007-04-09",14.55
"67","2007-04-10",13.96
"68","2007-04-11",13.95
"69","2007-04-12",13.69
"70","2007-04-13",13.62
"71","2007-04-16",13.11
"72","2007-04-17",13.16
"73","2007-04-18",13.23
"74","2007-04-19",13.49
"75","2007-04-20",13.8
"76","2007-04-23",13.65
"77","2007-04-24",13.8
"78","2007-04-25",13.45
"79","2007-04-26",13.46
"80","2007-04-27",13.73
"81","2007-04-30",13.7
"82","2007-05-01",13.7
"83","2007-05-02",13.7
"84","2007-05-03",13.55
"85","2007-05-04",13.6
"86","2007-05-07",13.69
"87","2007-05-08",14.14
"88","2007-05-09",14.1
"89","2007-05-10",14.03
"90","2007-05-11",14.03
"91","2007-05-14",14
"92","2007-05-15",14
"93","2007-05-16",14.04
"94","2007-05-17",14.02
"95","2007-05-18",14.02
"96","2007-05-21",13.84
"97","2007-05-22",13.84
"98","2007-05-23",13.84
"99","2007-05-24",13.84
"100","2007-05-25",13.75
