"","date","RSG"
"1","2007-01-03",27.333334
"2","2007-01-04",27.586666
"3","2007-01-05",27.52
"4","2007-01-08",27.48
"5","2007-01-09",27.646667
"6","2007-01-10",27.753334
"7","2007-01-11",27.986666
"8","2007-01-12",27.913334
"9","2007-01-16",28.286667
"10","2007-01-17",28.506666
"11","2007-01-18",28.166666
"12","2007-01-19",28.213333
"13","2007-01-22",28.326666
"14","2007-01-23",28.533333
"15","2007-01-24",28.48
"16","2007-01-25",28.286667
"17","2007-01-26",28.34
"18","2007-01-29",28.5
"19","2007-01-30",28.860001
"20","2007-01-31",28.833334
"21","2007-02-01",28.833334
"22","2007-02-02",29.313334
"23","2007-02-05",29.200001
"24","2007-02-06",29.280001
"25","2007-02-07",29.553333
"26","2007-02-08",28.98
"27","2007-02-09",28.700001
"28","2007-02-12",28.586666
"29","2007-02-13",28.913334
"30","2007-02-14",29.059999
"31","2007-02-15",28.959999
"32","2007-02-16",29.146667
"33","2007-02-20",28.973333
"34","2007-02-21",29
"35","2007-02-22",28.58
"36","2007-02-23",28.719999
"37","2007-02-26",28.74
"38","2007-02-27",27.879999
"39","2007-02-28",28.059999
"40","2007-03-01",27.873333
"41","2007-03-02",27.713333
"42","2007-03-05",27.433332
"43","2007-03-06",27.593334
"44","2007-03-07",27.606667
"45","2007-03-08",27.326666
"46","2007-03-09",27.366667
"47","2007-03-12",27.333334
"48","2007-03-13",26.700001
"49","2007-03-14",26.606667
"50","2007-03-15",26.933332
"51","2007-03-16",26.986666
"52","2007-03-19",27.4
"53","2007-03-20",27.15
"54","2007-03-21",27.68
"55","2007-03-22",27.85
"56","2007-03-23",28.280001
"57","2007-03-26",28.139999
"58","2007-03-27",27.610001
"59","2007-03-28",27.860001
"60","2007-03-29",27.68
"61","2007-03-30",27.82
"62","2007-04-02",27.870001
"63","2007-04-03",28.120001
"64","2007-04-04",27.889999
"65","2007-04-05",27.860001
"66","2007-04-09",27.49
"67","2007-04-10",27.190001
"68","2007-04-11",27.25
"69","2007-04-12",27.459999
"70","2007-04-13",27.5
"71","2007-04-16",28.219999
"72","2007-04-17",28.450001
"73","2007-04-18",28.09
"74","2007-04-19",27.620001
"75","2007-04-20",27.629999
"76","2007-04-23",27.59
"77","2007-04-24",27.690001
"78","2007-04-25",27.879999
"79","2007-04-26",27.84
"80","2007-04-27",28.559999
"81","2007-04-30",27.93
"82","2007-05-01",27.860001
"83","2007-05-02",28.43
"84","2007-05-03",28.540001
"85","2007-05-04",28.58
"86","2007-05-07",28.870001
"87","2007-05-08",28.780001
"88","2007-05-09",28.719999
"89","2007-05-10",28.610001
"90","2007-05-11",28.65
"91","2007-05-14",28.620001
"92","2007-05-15",28.370001
"93","2007-05-16",29.059999
"94","2007-05-17",28.709999
"95","2007-05-18",29.02
"96","2007-05-21",29.32
"97","2007-05-22",29.34
"98","2007-05-23",29.280001
"99","2007-05-24",28.700001
"100","2007-05-25",29.41
"101","2007-05-29",30.08
"102","2007-05-30",30.43
"103","2007-05-31",30.280001
"104","2007-06-01",30.43
"105","2007-06-04",31
"106","2007-06-05",30.690001
"107","2007-06-06",30.65
"108","2007-06-07",30.120001
"109","2007-06-08",30.209999
"110","2007-06-11",30.280001
"111","2007-06-12",30.02
"112","2007-06-13",30.59
"113","2007-06-14",30.49
"114","2007-06-15",30.5
"115","2007-06-18",30.719999
"116","2007-06-19",30.91
"117","2007-06-20",30.709999
"118","2007-06-21",30.75
"119","2007-06-22",30.389999
"120","2007-06-25",30.290001
"121","2007-06-26",30
"122","2007-06-27",30.129999
"123","2007-06-28",30.4
"124","2007-06-29",30.639999
"125","2007-07-02",31.23
"126","2007-07-03",31.459999
"127","2007-07-05",31.43
"128","2007-07-06",31.18
"129","2007-07-09",30.82
"130","2007-07-10",30.49
"131","2007-07-11",30.959999
"132","2007-07-12",31.26
"133","2007-07-13",32.23
"134","2007-07-16",31.74
"135","2007-07-17",31.73
"136","2007-07-18",30.940001
"137","2007-07-19",31.17
"138","2007-07-20",30.52
"139","2007-07-23",30.82
"140","2007-07-24",30.459999
"141","2007-07-25",30.379999
"142","2007-07-26",29.68
"143","2007-07-27",31.290001
"144","2007-07-30",31.879999
"145","2007-07-31",31.950001
"146","2007-08-01",32.84
