"","date","TMDI"
"1","2010-01-05",11.7
"2","2010-01-06",12.6
"3","2010-01-07",12.6
"4","2010-01-08",11.4
"5","2010-01-11",11.7
"6","2010-01-12",10.8
"7","2010-01-13",10.8
"8","2010-01-14",10.8
"9","2010-01-15",10.8
"10","2010-01-19",10.8
"11","2010-01-20",10.8
"12","2010-01-21",10.8
"13","2010-01-22",10.8
"14","2010-01-25",10.2
"15","2010-01-26",10.2
"16","2010-01-27",11.1
"17","2010-01-28",11.4
"18","2010-01-29",11.4
"19","2010-02-01",11.4
"20","2010-02-02",11.4
"21","2010-02-03",10.5
"22","2010-02-04",10.5
"23","2010-02-05",10.5
"24","2010-02-08",11.1
"25","2010-02-09",11.1
"26","2010-02-10",10.8
"27","2010-02-11",10.8
"28","2010-02-12",10.8
"29","2010-02-16",10.8
"30","2010-02-17",11.1
"31","2010-02-18",11.1
"32","2010-02-19",11.1
"33","2010-02-22",11.1
"34","2010-02-23",11.1
"35","2010-02-24",11.1
"36","2010-02-25",11.1
"37","2010-02-26",11.1
"38","2010-03-01",11.1
"39","2010-03-02",11.1
"40","2010-03-03",11.1
"41","2010-03-04",12.6
"42","2010-03-05",12.6
"43","2010-03-08",12.3
"44","2010-03-09",12.3
"45","2010-03-10",12.3
"46","2010-03-11",11.1
"47","2010-03-12",12.3
"48","2010-03-15",12.3
"49","2010-03-16",11.7
"50","2010-03-17",11.7
"51","2010-03-18",11.4
"52","2010-03-19",11.4
"53","2010-03-22",11.4
"54","2010-03-23",11.4
"55","2010-03-24",11.4
"56","2010-03-25",11.4
"57","2010-03-26",11.4
"58","2010-03-29",11.4
"59","2010-03-30",11.4
"60","2010-03-31",11.4
"61","2010-04-01",11.4
"62","2010-04-05",11.1
"63","2010-04-06",11.1
"64","2010-04-07",10.5
"65","2010-04-08",10.5
"66","2010-04-09",10.5
"67","2010-04-12",9.6
"68","2010-04-13",9.6
"69","2010-04-14",9.9
"70","2010-04-15",9.3
"71","2010-04-16",9.3
"72","2010-04-19",9.6
"73","2010-04-20",9.6
"74","2010-04-21",9
"75","2010-04-22",9
"76","2010-04-23",8.7
"77","2010-04-26",8.7
"78","2010-04-27",8.4
"79","2010-04-28",8.1
"80","2010-04-29",8.1
"81","2010-04-30",8.1
"82","2010-05-03",8.7
"83","2010-05-04",8.4
"84","2010-05-05",8.4
"85","2010-05-06",8.7
"86","2010-05-07",8.7
"87","2010-05-10",8.7
"88","2010-05-11",9
"89","2010-05-12",8.7
"90","2010-05-13",8.7
"91","2010-05-14",8.7
"92","2010-05-17",8.4
