"","date","ANY"
"1","2013-08-12",210
"2","2013-08-13",210
"3","2013-08-14",232.600006
"4","2013-08-15",232.600006
"5","2013-08-16",214
"6","2013-08-19",269
"7","2013-08-20",286
"8","2013-08-21",286.799988
"9","2013-08-22",358.600006
"10","2013-08-23",402
"11","2013-08-26",376
"12","2013-08-27",345.600006
"13","2013-08-28",424.799988
"14","2013-08-29",458
"15","2013-08-30",505.200012
"16","2013-09-03",533.200012
"17","2013-09-04",518.799988
"18","2013-09-05",489.200012
"19","2013-09-06",539.400024
"20","2013-09-09",513.400024
"21","2013-09-10",470
"22","2013-09-11",505.200012
"23","2013-09-12",532.400024
"24","2013-09-13",520
"25","2013-09-16",519.400024
"26","2013-09-17",512
"27","2013-09-18",488.399994
"28","2013-09-19",482
"29","2013-09-20",480
"30","2013-09-23",469
"31","2013-09-24",478.399994
"32","2013-09-25",486.799988
"33","2013-09-26",471.600006
"34","2013-09-27",484
"35","2013-09-30",490
"36","2013-10-01",524.200012
"37","2013-10-02",598.400024
"38","2013-10-03",614.599976
"39","2013-10-04",622
"40","2013-10-07",632.799988
"41","2013-10-08",602
"42","2013-10-09",585.599976
"43","2013-10-10",590.799988
"44","2013-10-11",610.200012
"45","2013-10-14",610.200012
"46","2013-10-15",608.400024
"47","2013-10-16",616
"48","2013-10-17",618.599976
"49","2013-10-18",620
"50","2013-10-21",630
"51","2013-10-22",719
"52","2013-10-23",750
"53","2013-10-24",763
"54","2013-10-25",748.400024
"55","2013-10-28",824.599976
"56","2013-10-29",820
"57","2013-10-30",820
"58","2013-10-31",829.200012
"59","2013-11-01",817.400024
"60","2013-11-04",770
"61","2013-11-05",758.599976
"62","2013-11-06",767.400024
"63","2013-11-07",784.400024
"64","2013-11-08",784.400024
"65","2013-11-11",890
"66","2013-11-12",913.400024
"67","2013-11-13",1020.400024
"68","2013-11-14",1051.599976
"69","2013-11-15",1144.400024
"70","2013-11-18",1144
"71","2013-11-19",1180.400024
"72","2013-11-20",1040.800049
"73","2013-11-21",935.599976
"74","2013-11-22",1063
"75","2013-11-25",1071.599976
"76","2013-11-26",1080.599976
"77","2013-11-27",1051.599976
"78","2013-11-29",1051.599976
"79","2013-12-02",1156
"80","2013-12-03",1202
"81","2013-12-04",1150.199951
"82","2013-12-05",1049.800049
"83","2013-12-06",1080
"84","2013-12-09",1048
"85","2013-12-10",1118
"86","2013-12-11",1082
"87","2013-12-12",1026
"88","2013-12-13",1020
"89","2013-12-16",1102
"90","2013-12-17",1124.400024
"91","2013-12-18",1192
"92","2013-12-19",1201.199951
"93","2013-12-20",1233.199951
"94","2013-12-23",1192.800049
"95","2013-12-24",1208.800049
"96","2013-12-26",1266
"97","2013-12-27",1194
"98","2013-12-30",1210
"99","2013-12-31",1238
"100","2014-01-02",1215.400024
"101","2014-01-03",1222
"102","2014-01-06",1173.400024
"103","2014-01-07",1136
"104","2014-01-08",1078.800049
"105","2014-01-09",1118
"106","2014-01-10",1177.599976
"107","2014-01-13",1157.800049
"108","2014-01-14",1144.199951
"109","2014-01-15",1148.800049
"110","2014-01-16",1152
"111","2014-01-17",1081.199951
"112","2014-01-21",1055.400024
"113","2014-01-22",1089.199951
"114","2014-01-23",1097.400024
"115","2014-01-24",1078.599976
"116","2014-01-27",1112.800049
"117","2014-01-28",1148
"118","2014-01-29",1161.599976
"119","2014-01-30",1176
"120","2014-01-31",1204.800049
"121","2014-02-03",1201
"122","2014-02-04",1182.800049
"123","2014-02-05",1171.800049
"124","2014-02-06",1179.400024
"125","2014-02-07",1217.800049
"126","2014-02-10",1286.400024
"127","2014-02-11",1273.599976
"128","2014-02-12",1408
"129","2014-02-13",1434.199951
"130","2014-02-14",1387.199951
"131","2014-02-18",1346.599976
"132","2014-02-19",1271
"133","2014-02-20",1298
"134","2014-02-21",1284.400024
"135","2014-02-24",1349.199951
"136","2014-02-25",1364.800049
"137","2014-02-26",1404.599976
"138","2014-02-27",1396
"139","2014-02-28",1454
"140","2014-03-03",1430
"141","2014-03-04",1533
"142","2014-03-05",1539
"143","2014-03-06",1462.400024
"144","2014-03-07",1470
"145","2014-03-10",1481.199951
"146","2014-03-11",1470
"147","2014-03-12",1416
"148","2014-03-13",1436
"149","2014-03-14",1421.599976
"150","2014-03-17",1419
"151","2014-03-18",1390.800049
"152","2014-03-19",1344.800049
"153","2014-03-20",1348
"154","2014-03-21",1388
"155","2014-03-24",1290
"156","2014-03-25",1308
