"","date","CSTE"
"1","2012-03-22",11.11
"2","2012-03-23",11.01
"3","2012-03-26",11.16
"4","2012-03-27",11.2
"5","2012-03-28",11.96
"6","2012-03-29",11.68
"7","2012-03-30",11.62
"8","2012-04-02",11.7
"9","2012-04-03",11.7
"10","2012-04-04",11.77
"11","2012-04-05",12.32
"12","2012-04-09",12.2
"13","2012-04-10",12.21
"14","2012-04-11",12.21
"15","2012-04-12",12.3
"16","2012-04-13",12.44
"17","2012-04-16",12.37
"18","2012-04-17",12.4
"19","2012-04-18",12.35
"20","2012-04-19",12.41
"21","2012-04-20",12.36
"22","2012-04-23",12.31
"23","2012-04-24",12.3
"24","2012-04-25",12.26
"25","2012-04-26",12.37
"26","2012-04-27",12.25
"27","2012-04-30",12.38
"28","2012-05-01",13.01
"29","2012-05-02",13.25
"30","2012-05-03",13.25
"31","2012-05-04",12.8
"32","2012-05-07",13.09
"33","2012-05-08",13
"34","2012-05-09",12.95
"35","2012-05-10",12.94
"36","2012-05-11",13
"37","2012-05-14",12.97
"38","2012-05-15",12.77
"39","2012-05-16",12.6
"40","2012-05-17",12.15
"41","2012-05-18",12.35
"42","2012-05-21",12.25
"43","2012-05-22",11.57
"44","2012-05-23",11.05
"45","2012-05-24",11.45
"46","2012-05-25",11.81
"47","2012-05-29",12.09
"48","2012-05-30",11.78
"49","2012-05-31",12.03
"50","2012-06-01",11.7
"51","2012-06-04",11.87
"52","2012-06-05",11.76
"53","2012-06-06",11.96
"54","2012-06-07",11.87
"55","2012-06-08",11.8
"56","2012-06-11",11.9
"57","2012-06-12",11.9
"58","2012-06-13",11.84
"59","2012-06-14",11.91
"60","2012-06-15",11.73
"61","2012-06-18",11.81
"62","2012-06-19",12.01
"63","2012-06-20",11.91
"64","2012-06-21",12.15
"65","2012-06-22",11.79
"66","2012-06-25",11.77
"67","2012-06-26",11.94
"68","2012-06-27",12.05
"69","2012-06-28",12.16
"70","2012-06-29",12.15
"71","2012-07-02",12.05
"72","2012-07-03",12.05
"73","2012-07-05",12.01
"74","2012-07-06",12
"75","2012-07-09",11.69
"76","2012-07-10",11.78
"77","2012-07-11",11.77
"78","2012-07-12",11.62
"79","2012-07-13",11.34
"80","2012-07-16",11.19
"81","2012-07-17",11.65
"82","2012-07-18",11.52
"83","2012-07-19",11.99
"84","2012-07-20",11.48
"85","2012-07-23",11.74
"86","2012-07-24",11.22
"87","2012-07-25",11.97
"88","2012-07-26",11.84
"89","2012-07-27",11.86
"90","2012-07-30",11.74
"91","2012-07-31",11.74
"92","2012-08-01",11.32
"93","2012-08-02",11.58
"94","2012-08-03",11.59
"95","2012-08-06",11.65
"96","2012-08-07",11.45
"97","2012-08-08",11.28
"98","2012-08-09",11.06
"99","2012-08-10",10.6
"100","2012-08-13",10.85
"101","2012-08-14",11.72
"102","2012-08-15",11.75
"103","2012-08-16",11.6
"104","2012-08-17",11.79
"105","2012-08-20",11.78
"106","2012-08-21",11.6
"107","2012-08-22",11.86
"108","2012-08-23",11.7
"109","2012-08-24",11.95
"110","2012-08-27",11.7
"111","2012-08-28",11.71
"112","2012-08-29",11.8
"113","2012-08-30",11.75
"114","2012-08-31",11.7
"115","2012-09-04",11.73
"116","2012-09-05",11.52
"117","2012-09-06",11.8
"118","2012-09-07",11.9
"119","2012-09-10",12.07
"120","2012-09-11",12.3
"121","2012-09-12",12.5
"122","2012-09-13",12.75
"123","2012-09-14",13.64
"124","2012-09-17",13.5
"125","2012-09-18",13.67
