"","date","MTL"
"1","2007-01-03",17.033333
"2","2007-01-04",16.4
"3","2007-01-05",16.453333
"4","2007-01-08",17.146667
"5","2007-01-09",16.306667
"6","2007-01-10",16.26
"7","2007-01-11",16.193333
"8","2007-01-12",15.82
"9","2007-01-16",16.333334
"10","2007-01-17",16.799999
"11","2007-01-18",16.393333
"12","2007-01-19",16.706667
"13","2007-01-22",17.033333
"14","2007-01-23",17.139999
"15","2007-01-24",17.4
"16","2007-01-25",17.646667
"17","2007-01-26",17.913334
"18","2007-01-29",17.666666
"19","2007-01-30",18
"20","2007-01-31",18.866667
"21","2007-02-01",19.333334
"22","2007-02-02",19.086666
"23","2007-02-05",19.58
"24","2007-02-06",20.006666
"25","2007-02-07",19.959999
"26","2007-02-08",19.406666
"27","2007-02-09",19.253334
"28","2007-02-12",19.1
"29","2007-02-13",19.513334
"30","2007-02-14",20.333334
"31","2007-02-15",20.433332
"32","2007-02-16",20.366667
"33","2007-02-20",21.26
"34","2007-02-21",21.686666
"35","2007-02-22",21.833334
"36","2007-02-23",22.533333
"37","2007-02-26",22.466667
"38","2007-02-27",21.093334
"39","2007-02-28",20.933332
"40","2007-03-01",20.68
"41","2007-03-02",20.299999
"42","2007-03-05",19.293333
"43","2007-03-06",20.040001
"44","2007-03-07",20.073334
"45","2007-03-08",20.98
"46","2007-03-09",20.946667
"47","2007-03-12",20.780001
"48","2007-03-13",19.780001
"49","2007-03-14",20
"50","2007-03-15",20.573334
"51","2007-03-16",19.92
"52","2007-03-19",20.933332
"53","2007-03-20",20.68
"54","2007-03-21",21.346666
"55","2007-03-22",21.906666
"56","2007-03-23",21.686666
"57","2007-03-26",21.373333
"58","2007-03-27",21.166666
"59","2007-03-28",20.993334
"60","2007-03-29",21.959999
"61","2007-03-30",22.166666
"62","2007-04-02",21.966667
"63","2007-04-03",22.233334
"64","2007-04-04",23.513334
"65","2007-04-05",23.133333
"66","2007-04-09",23.16
"67","2007-04-10",23.186666
"68","2007-04-11",22.82
"69","2007-04-12",22.746666
"70","2007-04-13",22.786667
"71","2007-04-16",22.799999
"72","2007-04-17",22.586666
"73","2007-04-18",22.093334
"74","2007-04-19",21.826666
"75","2007-04-20",22.346666
"76","2007-04-23",22.693333
"77","2007-04-24",22.273333
"78","2007-04-25",22
"79","2007-04-26",21.76
"80","2007-04-27",21.326666
"81","2007-04-30",21.773333
"82","2007-05-01",22.073334
"83","2007-05-02",22.506666
"84","2007-05-03",22.906666
"85","2007-05-04",23.333334
"86","2007-05-07",24.273333
"87","2007-05-08",23.379999
"88","2007-05-09",23.866667
"89","2007-05-10",23
"90","2007-05-11",23.333334
"91","2007-05-14",23.860001
"92","2007-05-15",24.946667
"93","2007-05-16",24.633333
"94","2007-05-17",24.213333
"95","2007-05-18",24.473333
"96","2007-05-21",23.68
"97","2007-05-22",22.633333
"98","2007-05-23",22.573334
"99","2007-05-24",22.106667
"100","2007-05-25",23.58
"101","2007-05-29",22.466667
"102","2007-05-30",22.66
"103","2007-05-31",22.799999
"104","2007-06-01",23.586666
"105","2007-06-04",23.326666
"106","2007-06-05",23.426666
"107","2007-06-06",22.9
"108","2007-06-07",21.860001
"109","2007-06-08",22.333334
"110","2007-06-11",22.786667
"111","2007-06-12",22.360001
"112","2007-06-13",23.793333
"113","2007-06-14",25.233334
"114","2007-06-15",25.666666
"115","2007-06-18",25.986666
"116","2007-06-19",25.700001
"117","2007-06-20",25.386667
"118","2007-06-21",25.546667
"119","2007-06-22",25.573334
"120","2007-06-25",25.486666
"121","2007-06-26",24.686666
"122","2007-06-27",25.806667
"123","2007-06-28",24.566668
"124","2007-06-29",24.353333
"125","2007-07-02",25.753334
"126","2007-07-03",26.593334
"127","2007-07-05",27.953333
"128","2007-07-06",27.799999
"129","2007-07-09",28.906666
"130","2007-07-10",28.24
"131","2007-07-11",29.360001
"132","2007-07-12",31.799999
"133","2007-07-13",30.573334
"134","2007-07-16",29.746666
"135","2007-07-17",29.306667
